#0:PFC	1:FBS_max	2:Gene1	3:Gene2	4:FBS_PPI	5:FBS_Metabolic	6:FBS_Signaling	7:FBS_Complex	8:LLR_MEX	9:LLR_PIN	10:LLR_SCL	11:LLR_PHP	12:LLR_MIR	13:LLR_TFB	14:LLR_PEX	15:LLR_GIN	16:LLR_DOM	17:LLR_QMS	18:LLR_HSA	19:LLR_MMU	20:LLR_RNO	21:LLR_CFA	22:LLR_GGA	23:LLR_DRE	24:LLR_CIN	25:LLR_DME	26:LLR_CEL	27:LLR_BTA	28:LLR_SCE	29:LLR_ATH	30:LLR_SPO	31:LLR_BSU	32:LLR_ECO	33:LLR_PFA	34:LLR_OSA	35:Max_category
1.000	27.234	OLA1	KRS1	16.907	20.206	-1.142	27.234	5.665	13.908	0.000	4.009	0.089	0.683	0.381			2.499	6.495	4.083	1.961	0.525	-0.185			1.302	1.516		19.470	4.672	0.958	0.470	-0.243	1.284		Complex
1.000	17.784	LEU1	KRS1	5.047	8.061	1.003	17.784	2.462	12.489	0.000	0.989		1.220			-0.305	0.927											15.592	2.095	-0.016	0.332	0.618		0.870	Complex
1.000	20.837	TUB2	KRS1	6.361	6.938	-4.401	20.837	1.902	13.480	-0.278	2.850	-0.093	0.683	0.075			2.218	3.438	1.951	-0.595	-0.282	-0.303			-0.336	0.389	0.000	16.984	1.486	0.523			-0.305	0.520	Complex
0.999	14.038	RVB1	TEF1	13.484	7.678	-3.555	14.038	1.977	7.812	0.000	2.850	-0.093	-0.373	-0.075			1.939	3.397	2.106	-0.497	-0.189	0.523	-0.091		-0.508	-0.322	-0.206	9.694	0.462				1.195	1.051	Complex
1.000	18.998	ATP1	PAB1	9.164	9.087	-2.601	18.998	0.934	14.588	0.000	2.029	-0.093	0.324	-0.075			1.290	4.017	2.508	-0.597	0.215	-0.105	0.080		-0.112	0.108	-0.206	16.369	-0.841	-0.016			-1.286		Complex
1.000	19.191	TIF2	TEF1	15.220	15.221	2.424	19.191	5.082	8.513	0.680	2.331	-0.093	0.500	-0.075		0.210	2.043	3.748	2.279	0.392	0.590	0.618	0.080		1.466	0.873	0.474	12.546	3.800				1.930	1.584	Complex
0.984	11.019	TUB2	POL30	11.019	8.940	1.912	3.703	3.714	2.926	-0.273	2.407		0.486	0.000			1.760	5.623	1.882	-0.460	0.770	-0.353	0.126		-1.307	1.626	-0.016	4.385	1.274	-0.343			3.012	-0.548	PPI
1.000	18.718	RVB2	CAA42329	5.316	4.950	-2.933	18.718	1.682	13.738		2.331	0.089		-0.075			0.953	2.267	0.088	0.422	0.219		0.000		-0.383	0.638		14.522	-0.837	-0.201			1.252	0.766	Complex
1.000	21.981	HSC82	SAH1	11.150	13.446	1.192	21.981	2.149	13.797	-0.278	2.850		1.169	0.075			2.219	5.607	3.267	0.307	-0.529	-0.105	-0.091		1.272	0.775	-0.206	15.632	-0.679	-0.201			-0.322		Complex
1.000	21.953	ILV5	EFT2	9.759	13.487	0.627	21.953	5.926	12.170	0.000	0.989		1.940				0.927											19.057	5.020	1.831				-1.106	Complex
1.000	26.863	ATP1	PGK1	18.841	20.372	2.035	26.863	3.795	15.322	0.000	2.850	0.089	2.173	-0.075			2.709	3.902	1.949	1.229	1.237	1.826	1.943		1.374	2.914	-0.206	17.272	2.370	-0.201	0.356	1.618	-0.405		Complex
1.000	17.136	TIF2	LEU1	4.989	6.352	1.788	17.136	2.394	12.514	0.000	0.989		0.683			0.210	0.346											15.984	1.254	-0.201	0.113			0.196	Complex
1.000	19.827	TUB2	PGI1	10.080	8.902	-1.101	19.827	0.980	12.995	-0.672	2.850	-0.093	1.492	0.000			2.273	2.084	1.900	-0.717	-0.162	-0.254	1.069		-0.559	-0.273	-0.206	16.977	-0.322	0.242			-0.277	-0.270	Complex
1.000	18.500	EFT2	LEU1	7.208	9.231	1.630	18.500	3.052	12.179	0.000	1.268		1.073				0.927											15.437	3.644	-0.016				-0.566	Complex
1.000	21.940	PAB1	RPS11A	11.133	11.898	-2.522	21.940	3.720	13.470	0.680	2.331	-0.093	0.324	0.075		0.210	1.222	3.724	1.005	0.972	0.182	-0.303	-0.091		-0.112	0.824	0.000	18.765	0.827				-0.393	0.660	Complex
1.000	20.107	ATP1	PRP43	9.253	10.493	-5.025	20.107	3.142	13.467	0.000	2.029	-0.093	-0.301	-0.075			1.939	3.999	1.206	1.950	1.197	0.000	0.187		0.448	0.705	-0.206	14.322	0.266	-0.201		-0.243	-0.439		Complex
1.000	18.385	RVB2	DBP2	5.987	7.471	-2.613	18.385	0.907	13.798	-0.278	2.331	-0.093	-0.169	0.075		0.210	1.604	3.135	0.675	0.763	0.409		0.080		-0.330	-0.605		14.149	0.576	0.242			1.009	-0.576	Complex
0.954	9.945	RVB2	TUB2	8.946	5.556	-1.399	9.945	1.904	4.077	0.000	2.959	-0.093	0.221	-0.075			0.953	2.958	2.014	-0.461	1.121		0.000		0.158	0.549		6.685	-0.706	-0.201			-0.416	-0.292	Complex
1.000	18.432	RPP0	CAR2	8.170	10.418	-7.894	18.432	2.084	12.539	-0.278	1.163		1.710	-0.075			1.290	0.347	1.731	1.858	-0.282	-0.114	0.080		0.142	0.736	-0.206	15.291	-0.699	0.242			1.317	-0.582	Complex
1.000	22.270	TUB2	EFT1	10.034	11.461	-1.812	22.270	1.138	14.452	-0.278	4.009	-0.093	0.443	0.381			2.218	4.710	1.866	-0.943	-0.282	-0.185	-0.091		0.101	-0.161	0.000	17.376	1.981	-0.201			-0.129	-0.508	Complex
1.000	25.176	EFT2	TEF1	25.176	23.621	3.627	21.492	7.031	9.063	0.602	3.906		1.474	0.000		0.814	2.288	6.310	1.768	-0.942	-0.297	1.171	-0.110		1.453	1.927	-0.281	17.194	5.591				3.103	0.250	PPI
1.000	21.878	ATP1	RPL20A	10.296	12.760	-4.280	21.878	3.042	13.590	0.000	2.029		0.683	-0.075			2.610	3.601	0.255	1.540	0.458	0.000	1.836		0.074	0.364	-0.206	16.902	-0.858				-0.284		Complex
0.999	13.757	RVB2	SSC1	9.533	9.659	-0.595	13.757	2.040	7.739	0.293	2.029	-0.093	0.221	-0.075			1.604	4.673	1.067	-0.624			0.080		0.146	0.926		7.908	0.944	-0.016			1.185	0.969	Complex
1.000	26.090	TUB2	TEF2	16.740	16.004	0.291	26.090	1.017	16.772	0.293	4.009	-0.093	1.806	-0.075			2.361	4.287	2.321	-0.899	-0.396	-0.203	0.962		2.671	-0.372	-0.265	19.700	2.939				-0.119	-0.292	Complex
1.000	19.284	BMH1	PAB1	9.303	7.088	-1.678	19.284	1.364	14.357	-0.278	2.959	-0.093	-0.301	-0.075		0.210	1.142	2.322	2.378	0.222	0.263	-0.303	-0.548		-0.112	0.223	0.086	16.035	-0.420	-0.016			-0.288	-0.227	Complex
1.000	25.653	EFT2	KRS1	16.090	16.164	-1.387	25.653	5.147	13.796	0.000	2.850	-0.093	1.073	0.381			2.499	6.495	3.738	-0.197	1.132	0.623			0.390	0.593	0.283	19.285	2.636	0.242			1.715	0.369	Complex
1.000	21.201	ILV5	HSP60	11.789	13.737	2.555	21.201	4.024	11.937	2.291	0.601		1.710		-0.289		0.927											17.563	4.618	0.242	-0.029	0.208			Complex
1.000	26.966	EFT2	SAH1	16.986	18.603	-0.066	26.966	5.916	13.797	0.000	2.850		1.523	0.381			2.499	8.103	3.323	-0.465	-0.105	0.725	-0.091		1.579	1.856	-0.206	19.758	1.280	0.242			-0.190		Complex
1.000	21.917	RVB2	SUB2	11.340	12.076	0.168	21.917	2.956	13.798	0.680	2.331	0.089	0.324	-0.075		0.210	1.604	3.914	2.650	2.224	0.362		-0.091		2.119	0.922		17.159	1.170	-0.201			1.030	1.644	Complex
1.000	15.463	EFT2	POL30	13.894	15.463	-2.604	6.771	4.722	1.975	-0.218	3.899	0.098	0.939	2.534			1.515	9.641	0.150	-1.538	1.357	0.611	-1.585		-0.902	2.149	0.000	4.203	1.115	-0.071			-1.069	-0.517	Metabolic
1.000	18.478	ILV5	OLA1	6.804	9.156	-0.761	18.478	3.293	12.487	-0.278	0.601		1.448				0.927											16.455	3.197	0.523	0.113	0.208			Complex
1.000	22.414	BMH1	RPL20A	13.271	11.861	-0.679	22.414	2.506	12.540	-0.278	4.009		1.288	0.000			2.349	1.299	1.644	1.442	-0.060	0.102	0.962		0.429	-0.207	0.000	18.730	0.191				-0.277	-0.227	Complex
1.000	16.474	CAR2	TEF1	3.100	1.093	-3.308	16.474	0.254	12.541	0.000	2.029	-0.093	0.528	-0.075			1.290	0.263	1.115	-0.611	-0.224	0.237	0.080		0.131	0.589	0.283	14.519	-0.675				0.622	-0.582	Complex
1.000	15.340	EFT2	PGI1	10.879	14.709	-3.813	15.340	2.469	6.259	-0.278	2.850	-0.093	1.710	-0.075			2.499	2.094	1.785	-0.548	0.138	-0.303	-0.091		-0.468	0.501	0.000	11.488	0.391	-0.201			1.984	-0.270	Complex
0.998	13.401	PRO2	PMS1	2.258	1.761	-4.869	13.401	1.032	12.063	-0.278	1.163	0.089	-0.038	0.075			-0.704	-0.279	0.981	0.930	-0.179				-0.362	-0.841	0.000	12.562	-0.673	-0.185	0.356				Complex
1.000	18.669	PAB1	TEF4	18.669	17.721	1.249	15.846	6.365	6.257	2.450	1.448		0.318	-0.109		0.359	1.581	4.709	3.446	0.125	0.558				-0.063	-0.029	0.000	15.417	1.236	0.141			-0.311	0.859	PPI
1.000	19.931	TUB2	ADO1	9.605	8.768	-4.657	19.931	2.992	12.540	-0.278	2.331	-0.093	0.958	-0.075			1.557	0.938	1.016	-0.750	0.219	-0.254	0.080		-0.049	0.436	-0.206	17.167	3.031	0.000				0.520	Complex
1.000	21.875	CAR2	PGI1	8.080	9.864	-6.633	21.875	3.336	12.539	-0.278	2.029	0.089	1.940	0.000			2.219	2.549	1.792	2.531	0.182	0.217	0.187		0.318	0.403	0.474	15.987	0.374	0.242	0.356		1.640	-0.772	Complex
1.000	18.487	BMH1	PGK1	13.474	16.243	0.555	18.487	2.746	7.517	0.680	2.850	-0.093	1.940	-0.075			2.921	3.498	0.616	0.333	0.118	1.078	1.664		-0.565	1.273	0.000	13.454	0.206	-0.201			-0.334	-0.399	Complex
1.000	16.953	ILV5	TUB2	6.050	7.375	-0.139	16.953	1.794	12.170	-0.278	1.268		1.073				0.927											16.106	1.682	-0.016				-0.619	Complex
1.000	18.820	CAR2	KRS1	5.096	9.286	-7.211	18.820	1.841	12.540	-0.278	2.029	0.089	0.683	-0.075			1.992	0.171	1.728	1.568	-0.282	-0.185			0.448	0.342	0.757	13.783	-0.539	0.523	-0.138		0.480	0.578	Complex
1.000	20.277	OLA1	CAR2	6.107	9.736	-6.247	20.277	2.898	12.540	-0.278	2.029	0.089	0.855	-0.075			2.219	2.125	1.378	1.177	-0.224	-0.185	0.000		0.453	0.622		14.168	2.029	0.242	-0.138		0.260		Complex
1.000	22.083	ATP1	EFT2	11.032	12.635	-1.717	22.083	1.575	14.017	0.000	2.029	-0.093	1.448	0.887			2.219	5.369	3.098	-0.339	-0.060	0.107	-0.091		0.934	1.209	-0.206	16.261	-0.592	-0.016			-0.439		Complex
1.000	24.239	ATP1	RPL4A	13.874	15.083	-6.599	24.239	4.492	14.164	0.000	2.029	-0.093	1.220	-0.075			2.501	5.338	3.689	2.036	0.000	0.107	0.962		-0.014	-0.107	-0.206	17.621	-0.902	0.242			-0.439		Complex
1.000	20.065	TIF2	CAR2	6.725	9.160	-6.017	20.065	2.299	13.810	-0.278	1.163	0.089	0.855	-0.075		0.210	1.992	2.273	2.954	0.535	0.403	0.607	0.187		0.375	2.122	0.283	13.478	-0.615	-0.016	-0.357		0.562	-0.559	Complex
0.998	12.970	RVB2	TIF2	12.937	11.538	-1.013	12.970	3.153	6.025	0.000	2.331	0.089	-0.366	-0.075		0.210	1.604	3.740	1.377	1.225	-0.097		0.000		0.413	2.128		7.859	0.140	-0.201			1.804	1.752	Complex
1.000	17.442	ILV5	TEF1	6.485	7.990	-1.870	17.442	2.358	12.175	0.000	1.298		0.683				0.927											15.339	2.386					0.855	Complex
1.000	23.432	OLA1	SAH1	11.453	14.823	-0.820	23.432	4.841	12.538	0.000	2.850		0.779	-0.075			2.499	4.066	3.447	1.430	-0.322	-0.041	-0.091		1.418	0.637		19.193	1.052	-0.201			-0.271		Complex
0.977	10.670	AGX1	BAA09202	-0.501	-0.881	-6.559	10.670	-2.879	12.062		1.163		-0.142	-0.075			0.541	-1.896	-0.262	-1.225	-0.662	-0.105	-0.091		-0.454	-0.288	-0.206	13.354	1.256					-2.547	Complex
0.992	11.785	ILV5	LEU1	7.903	11.785	0.956	2.582	6.793	0.588	-0.764			3.648				1.521											4.546	6.639	-0.071	5.569	0.516		-0.464	Metabolic
1.000	18.721	ILV5	KRS1	8.602	11.529	-3.209	18.721	3.536	12.487	-0.278	0.601		1.448		0.000		0.927											16.757	3.541	0.242	0.332	0.208		0.892	Complex
0.997	12.651	SNU23	SAM1	0.112	-0.509	0.263	12.651	-0.184	12.058	-0.278	1.134	-0.093	-0.269	-0.075			0.359	-0.235	-1.114	-0.955	-0.259	-0.303	-0.091		0.290			11.971	-0.779	-0.201			-0.596	-0.508	Complex
0.999	13.848	RVB2	OLA1	13.848	11.487	1.736	11.948	5.284	5.604	-0.668	2.407		-0.278	-0.109			1.609	5.873	1.513	1.184	0.389		-0.212		1.241	0.149		8.158	1.014	-0.343			1.293		PPI
0.999	13.654	SNU23	TEF2	1.845	3.955	-1.909	13.654	0.813	12.063	-0.278	1.134	-0.093	-0.269	-0.075			0.359	0.031	-0.883	-0.771	-0.162	-0.109	0.000		-0.715			12.500	0.136				1.195	-0.476	Complex
1.000	21.423	TIF2	EFT2	21.352	21.423	-1.747	16.891	8.585	4.974	0.675	2.401	0.201	2.277	0.774		-0.816	2.352	8.702	0.918	-1.429	-0.828	0.225	-1.621		2.057	0.772	0.206	14.640	2.597	1.638			4.029	-0.720	Metabolic
1.000	21.940	RVB2	HSP60	10.683	10.178	2.002	21.940	4.237	14.018	0.000	2.029	-0.093	0.221	-0.075			1.604	5.736	2.966	1.870			0.000		0.100	1.224		13.881	0.687	-0.201			0.368		Complex
1.000	18.192	BMH1	GUA1	5.763	6.684	-2.061	18.192	1.510	13.411	-0.278	2.029	-0.093	0.324	0.000			1.290	2.499	1.351	-0.624	-0.163	-0.114	-0.091		0.314	0.745	0.474	14.485	-0.766	-0.185			0.122	-0.420	Complex
1.000	17.710	ILV5	PGI1	6.207	8.789	-1.867	17.710	1.687	12.487	-0.278	1.298		1.589				0.927											16.572	0.462	-0.016	0.758	0.208		-0.479	Complex
1.000	14.812	EFT2	FDH1	3.504	4.388	-1.510	14.812	0.397	12.175	0.000	0.989		0.324				0.927											13.559	0.928					-0.619	Complex
1.000	24.668	BMH1	RPP0	15.059	18.340	2.529	24.668	3.348	14.489	-0.278	2.331		1.663	-0.075		0.000	3.190	3.649	4.105	1.626	-0.179	-0.185	1.836		0.082	2.208	-0.206	16.590	0.162	-0.201			-0.190	-0.227	Complex
1.000	19.224	ILV5	SAH1	7.533	10.829	-0.869	19.224	4.312	12.170	-0.278	0.601		1.492				0.927											17.862	2.383	-0.201					Complex
0.999	14.182	SNU23	TEF4	0.599	2.976	-4.108	14.182	1.646	12.058	0.000	0.556	-0.093	-0.269	-0.075			0.359	0.175	-0.272	0.663	-0.199				0.561			11.717	0.682	-0.201			0.368	0.520	Complex
0.893	9.033	RPP0	LEU1	7.160	9.033	1.718	2.094	2.299	-0.374	0.385	1.555		3.648				1.521											5.490	3.978	-0.071				-0.622	Metabolic
1.000	21.646	HSC82	SUB2	12.773	10.499	-3.951	21.646	2.844	13.797	-0.278	2.331	-0.093	1.073	-0.075		0.210	1.838	3.602	2.194	1.392	-0.102		0.080		0.836	0.513	0.000	15.676	1.690	0.523			1.262	1.108	Complex
1.000	20.848	EFT2	CAR2	7.091	8.003	-4.608	20.848	1.723	13.798	0.000	2.029	-0.093	1.448	-0.075			2.019	2.731	1.966	-0.675	-0.224	-0.303	-0.629		0.451	0.605	0.283	15.706	0.287	0.242			1.317	-0.582	Complex
0.999	13.715	ILV5	CAR2	1.764	6.706	-1.928	13.715	-0.037	12.179	-0.278	0.141		1.710															14.422	-1.319	0.958	0.288			-1.089	Complex
1.000	22.200	HSP60	TEF4	10.883	12.884	-3.389	22.200	2.493	14.368	0.000	1.163	0.089	1.663	-0.075			2.499	4.694	4.935	0.096					0.614	0.749		13.979	2.698	0.958			1.263		Complex
0.999	14.250	SNU23	EFT1	3.001	1.702	-4.718	14.250	0.421	12.058	0.000	1.163	-0.093	-0.038	0.381			0.359	0.147	-0.805	-0.791	-0.162	0.022	-0.091		-0.364			12.709	0.141	-0.201			1.185	-0.593	Complex
1.000	24.035	RPP0	TEF1	24.035	22.644	0.378	22.646	7.263	8.389	0.602	3.906		1.474	0.000			2.401	3.875	4.087	0.835	0.168	0.688	1.484		-0.080	1.448	-0.281	17.450	1.983				2.054	5.096	PPI
1.000	14.784	SNU23	RPS11A	6.241	7.587	-3.772	14.784	2.341	12.063	0.000	0.556	-0.093	-0.519	0.075			0.359	0.446	0.640	1.910	0.486	0.022	0.187		0.249			11.722	-0.163				1.317	0.520	Complex
0.992	11.676	URK1	TEF2	0.323	2.640	-0.271	11.676	-1.007	12.055	-0.278	0.788	-0.093	0.286	-0.075				-0.288	0.225	-0.800	-0.266	-0.203	-0.091		-0.460	-0.420	-0.206	12.080	-0.696					-1.133	Complex
1.000	20.920	SSC1	GUA1	9.857	10.198	-1.694	20.920	2.641	12.417	0.000	2.850	-0.093	1.710	0.000			1.394	1.695	0.646	0.651		0.784	-0.091		-0.268	0.279		17.380	2.494	-0.185	0.825	-0.243	1.139	0.238	Complex
1.000	25.455	TUB2	TEF1	13.560	12.887	-0.817	25.455	2.038	16.772	0.000	4.009	-0.093	0.443	-0.075			2.361	4.287	2.321	-0.899	-0.396	-0.203	0.962		2.671	-0.372	-0.265	18.777	2.939				-0.119	-0.292	Complex
1.000	24.079	TEF2	TEF4	24.079	21.435	2.445	19.468	6.854	9.854	0.602	0.974		3.259	-0.109		0.359	2.288	7.970	4.022	-0.733	0.168				2.809	2.098	-0.281	15.852	2.171				1.431	4.120	PPI
1.000	20.149	HSC82	SSC1	18.814	18.030	1.216	20.149	3.148	9.964	0.000	2.850	-0.093	1.925	-0.075		0.210	2.219	6.305	3.426	0.030		1.128	0.080		0.247	0.171		13.088	0.997	0.958	0.039	4.014	1.163	0.936	Complex
0.995	12.291	RPL7A	PGI1	12.291	12.208	-4.839	11.725	1.517	5.343	-0.668	2.607		1.215	-0.109			2.387	1.751	-0.102	-1.340	-0.775	-0.295	0.608		0.007	0.463	0.173	8.681	-0.401	-0.343			1.313	-0.705	PPI
1.000	15.026	SSC1	PRP28	2.776	3.359	-2.762	15.026	1.468	12.056	-0.278	2.029	0.089	-0.621	-0.075			0.359	0.304	-0.885	-0.645			0.080		-0.163	0.607		12.585	0.875	-0.185			-0.393	1.136	Complex
1.000	22.498	ATP1	RPL7A	10.467	11.095	-2.397	22.498	2.159	14.367	0.000	2.029	0.089	1.220	-0.075			2.709	4.407	2.990	0.582	0.202	0.196	1.836		-0.433	0.330	-0.206	16.141	-0.800	-0.201			-0.439		Complex
0.997	12.657	RPL4A	FDH1	1.269	1.126	-3.119	12.657	-0.739	12.175	0.000	0.275		0.324			-0.305	0.927											11.833	0.087					-0.420	Complex
1.000	23.566	HSP60	RPS11A	12.679	13.983	-0.847	23.566	4.840	13.470	0.000	2.029	-0.093	0.690	0.075			2.554	3.776	2.347	1.733		-0.185	0.882		-0.970	-0.400		14.052	4.913				0.544		Complex
1.000	26.322	RPL7A	KRS1	15.683	19.022	-4.360	26.322	6.367	13.796	-0.278	2.850	0.089	1.220	0.075			2.202	5.254	2.541	0.957	-0.282	0.217			0.496	0.965	0.474	19.512	3.768	0.242			0.622	5.141	Complex
1.000	19.804	HSC82	DBP2	10.503	12.728	-3.696	19.804	-1.009	14.161	-0.278	2.850	-0.093	1.819	-0.075		0.210	2.219	4.099	2.333	1.072	0.086	-0.185	0.000		-0.546	0.868	0.283	14.902	0.723	0.084		0.262	0.555	-0.270	Complex
1.000	24.832	SUB2	PRP43	16.206	14.068	1.540	24.832	4.948	13.796	0.680	2.331	-0.093	0.855	-0.075		0.621	1.768	4.607	2.787	2.416	0.659		0.080		2.254	1.384	0.145	19.809	2.307	-0.201			1.284	0.556	Complex
1.000	25.062	RPP0	KRS1	13.405	16.165	-1.239	25.062	6.439	12.538	-0.278	2.850		1.220	0.075			2.218	5.597	4.733	3.218	0.604	1.686			0.346	1.042	-0.206	19.530	3.783	0.523			1.930	5.025	Complex
0.997	12.680	FDH1	TIF1	0.735	1.045	0.239	12.680	-0.985	12.175	0.000	0.275		0.247			0.621	0.346											12.769	-0.511					-0.508	Complex
0.999	14.238	RPP0	POL30	14.238	13.317	1.050	7.280	6.478	1.500	-0.273	3.103		1.784	0.000			1.647	6.690	3.955	5.608	1.284	0.931	-0.212		-0.532	0.774	-0.281	5.839	2.370	-0.172			-0.343	3.449	PPI
0.999	13.935	RPL7A	POL30	13.121	13.935	-2.261	7.863	7.003	1.482	-0.764	3.031	0.201	0.599	0.445			1.938	5.523	2.829	3.804	0.161	0.659	0.483		1.505	-1.561	0.663	3.757	2.760	-0.071			-1.731	5.922	Metabolic
1.000	16.256	HSP60	EFT1	12.999	13.143	-1.429	16.256	2.398	7.956	0.000	2.331	-0.093	0.785	0.381			2.499	5.535	3.446	-0.558		-0.185	-0.091		-0.191	0.139		8.862	2.838	-0.201			1.252		Complex
1.000	20.834	ATP1	CAR2	9.150	9.801	-4.219	20.834	4.103	12.540	-0.278	1.163	0.089	1.073	-0.075			2.219	1.948	1.674	3.138	0.236	0.295	0.187		0.257	2.126	-0.206	14.082	0.267	-0.201	0.288		-0.277		Complex
0.999	13.954	OLA1	TEF1	13.954	9.360	-3.049	13.352	3.242	7.101	-0.668	2.607		-0.506	-0.109			2.288	1.574	0.955	-1.052	0.743	0.883	-0.110		-0.393	0.112		10.333	2.139				0.926		PPI
1.000	29.733	RPL7A	TEF1	20.478	19.855	-2.711	29.733	5.862	15.319	0.680	4.009	-0.093	0.958	0.075			2.921	4.828	4.017	-0.283	0.590	0.546	1.836		0.051	0.696	-0.206	21.024	4.779				1.930	4.253	Complex
1.000	22.385	EFT2	TIF1	21.742	22.385	-1.749	16.024	8.117	4.974	2.105	2.401	0.201	2.277	0.774		-0.816	2.352	8.702	0.918	-1.429	-0.828	0.225	-1.621		2.057	0.772	0.206	15.282	2.597	1.638			4.029	-0.720	Metabolic
1.000	15.776	HSC82	CAA42329	15.776	13.895	-0.517	14.919	2.236	9.086		2.607		-0.246	-0.109			2.202	5.027	1.705	-0.779	-0.373	1.203	0.710		-0.137	-0.247	0.173	9.687	-1.383	-0.343	0.205	1.639	1.677	-0.919	PPI
1.000	17.722	RVB2	PRO2	5.446	7.485	-1.447	17.722	2.105	13.471	-0.278	1.134	0.089	0.324	-0.075			0.953	4.306	1.575	1.349	-0.199				-1.007	-0.162		14.517	-0.699	-0.016				-0.566	Complex
