#0:PFC	1:FBS_max	2:Gene1	3:Gene2	4:FBS_PPI	5:FBS_Metabolic	6:FBS_Signaling	7:FBS_Complex	8:LLR_MEX	9:LLR_PIN	10:LLR_SCL	11:LLR_PHP	12:LLR_MIR	13:LLR_TFB	14:LLR_PEX	15:LLR_GIN	16:LLR_DOM	17:LLR_QMS	18:LLR_HSA	19:LLR_MMU	20:LLR_RNO	21:LLR_CFA	22:LLR_GGA	23:LLR_DRE	24:LLR_CIN	25:LLR_DME	26:LLR_CEL	27:LLR_BTA	28:LLR_SCE	29:LLR_ATH	30:LLR_SPO	31:LLR_BSU	32:LLR_ECO	33:LLR_PFA	34:LLR_OSA	35:Max_category
1.000	26.999	RPP0	EFT2	26.999	25.456	2.646	22.957	8.193	8.388	1.465	3.906		2.759	0.000			2.288	9.911	3.981	0.633	2.751	3.061	-0.212		0.941	3.509	0.173	20.438	3.457	1.012			2.701	0.233	PPI
1.000	18.746	VMA2	TIF1	5.729	5.335	-0.169	18.746	1.063	13.957	-0.278	2.331	-0.093	0.752	-0.075			1.089	1.983	1.589	0.444	-0.359		-0.720		-0.022	0.685	0.757	16.227	-0.549	-0.016			0.555	-0.270	Complex
1.000	14.672	LEU1	TEF1	1.525	2.966	0.590	14.672	1.022	12.190	0.000	0.989		-0.457				0.927											13.666	1.283					0.196	Complex
1.000	27.234	OLA1	KRS1	16.907	20.206	-1.142	27.234	5.665	13.908	0.000	4.009	0.089	0.683	0.381			2.499	6.495	4.083	1.961	0.525	-0.185			1.302	1.516		19.470	4.672	0.958	0.470	-0.243	1.284		Complex
1.000	25.452	TIF2	RPS3	15.260	18.047	1.315	25.452	4.963	14.136	0.680	2.331	0.089	0.958	0.075			2.219	5.532	2.364	1.654	0.241	0.338			1.518	0.844	0.283	20.130	1.715	0.242	0.470		1.624	1.769	Complex
0.999	13.989	OLA1	VMA2	13.553	8.731	-0.960	13.989	2.871	7.200	-0.278	2.850	-0.093	0.324	-0.075			1.189	1.788	1.016	-0.363	-0.725		0.000		0.463	0.398		11.804	-0.086	-0.201			0.562		Complex
0.997	12.672	URA2	TIF2	12.672	7.569	1.293	10.106	3.237	6.731	-0.668	0.677		0.874	0.000		1.124	0.697	0.746	0.332	-0.349	0.121	-0.295	-0.110		0.615	0.230	-0.281	9.086	1.160	1.012			1.793		PPI
1.000	22.213	TUB2	ATP2	11.712	11.730	-0.140	22.213	1.810	14.750	-0.278	2.331	-0.093	1.870	0.000			1.823	4.646	2.539	-0.678	-0.051	-0.177			2.287	0.370	-0.059	17.282	-0.005	-0.016			0.481	0.520	Complex
1.000	17.784	LEU1	KRS1	5.047	8.061	1.003	17.784	2.462	12.489	0.000	0.989		1.220			-0.305	0.927											15.592	2.095	-0.016	0.332	0.618		0.870	Complex
1.000	20.837	TUB2	KRS1	6.361	6.938	-4.401	20.837	1.902	13.480	-0.278	2.850	-0.093	0.683	0.075			2.218	3.438	1.951	-0.595	-0.282	-0.303			-0.336	0.389	0.000	16.984	1.486	0.523			-0.305	0.520	Complex
0.992	11.705	LEU2	LEU1	10.053	11.705	1.646	1.931	5.680	-0.948	0.385	1.670		3.398				1.521											5.525	5.459	-0.071	4.419	2.701			Metabolic
1.000	22.041	TIF2	ATP2	11.899	12.123	-5.525	22.041	3.390	14.075	0.000	2.029	-0.093	0.781	-0.075			1.933	4.808	3.971	0.375	0.000	-0.105			-0.345	0.575	0.000	16.945	-0.419	-0.201	0.180		-0.190	1.208	Complex
0.999	13.619	BMH2	ARO8	3.852	3.415	-2.231	13.619	2.096	12.179	-0.278	0.601		0.440	0.000		-0.715	-0.704	0.023	-0.915	1.250	-0.662	-0.303					0.000	13.177		0.242					Complex
1.000	27.355	TUB2	TUB1	27.355	25.986	8.730	22.324	2.981	9.831	4.326	3.906		2.907	0.000		0.814	2.589	6.994	4.018	1.516	-0.066	-0.318	1.484		6.681	-0.650	3.249	18.744	4.857	3.838				0.436	PPI
1.000	18.200	CDC48	KRS1	18.200	15.494	-3.740	15.823	5.404	7.257	-0.668	2.607		1.313	0.000		0.000	2.288	4.080	2.288	4.348	-0.158				0.486	1.029	0.760	12.226	-0.497	0.141			-0.324		PPI
1.000	16.585	ACT1	SPE3	6.674	6.606	-3.256	16.585	2.020	12.056	-0.278	1.163	-0.093	1.155	-0.075			0.637	-0.175	0.604	0.198		0.252	-0.091		-0.675	0.208	0.145	16.230	-0.674	0.000			0.817	-0.566	Complex
1.000	21.145	TUB2	VMA2	10.250	8.095	1.484	21.145	1.966	13.911	-0.278	4.009	-0.093	1.169	-0.075			0.536	2.438	0.256	0.004	-0.638		-0.091		-0.428	0.142	0.000	18.206	0.627	-0.016			-0.129	0.627	Complex
0.998	13.170	BMH1	ARO8	3.265	3.019	-2.231	13.170	1.648	12.179	-0.278	0.601		0.440	0.000		-0.715	-0.704	0.023	-0.915	1.250	-0.662	-0.303					0.000	11.982		0.242					Complex
1.000	16.100	KRS1	TEF2	16.100	15.174	-3.099	15.504	4.479	6.082	-0.668	2.607		1.313	0.000			2.288	3.204	1.580	-0.772	0.203	0.315			-0.481	-0.262	0.173	9.276	0.434				1.683	4.225	PPI
1.000	14.951	LEU2	TEF1	2.881	4.354	0.009	14.951	-0.670	12.175	0.000	1.298		1.220				0.927											14.012	1.237						Complex
1.000	19.191	TIF2	TEF1	15.220	15.221	2.424	19.191	5.082	8.513	0.680	2.331	-0.093	0.500	-0.075		0.210	2.043	3.748	2.279	0.392	0.590	0.618	0.080		1.466	0.873	0.474	12.546	3.800				1.930	1.584	Complex
0.996	12.496	URA2	TIF1	12.496	7.742	0.462	10.434	3.006	6.731	-0.668	0.677		0.930	0.000		1.124	0.697	0.746	0.332	-0.349	0.121	-0.295	-0.110		0.615	0.230	-0.281	8.525	1.160	1.012			1.793		PPI
1.000	17.900	ENO1	PRP43	5.990	5.624	-4.248	17.900	-0.891	14.101	-0.278	2.331	0.089	0.855	-0.075			1.768	2.814	0.536	-0.554	-0.131	-0.041	0.187		-0.179	0.416	-0.206	14.644	-0.769	-0.201		0.858	-0.383	0.095	Complex
1.000	24.454	KRS1	EFT1	14.040	14.441	-1.522	24.454	4.338	13.796	0.000	2.850	-0.093	0.683	0.381			2.499	6.495	3.738	-0.197	1.132	0.623			0.390	0.593	0.283	18.530	2.636	0.242			1.715	0.369	Complex
0.989	11.380	BNA5	BAA21512	1.454	2.055	-2.844	11.380	-1.253	12.072		0.601		0.469	-0.075			-0.435	-0.496	-1.118	-1.178	-0.348	-0.254				0.238		12.791							Complex
0.997	12.769	BNA5	CDC48	1.206	2.832	-4.214	12.769	0.042	12.072	-0.278	0.601		0.618	0.000			-0.285	-0.599	-1.076	-1.051	-0.224					-0.360		13.960							Complex
1.000	16.489	URA2	EHD3	3.986	5.115	-3.685	16.489	1.226	12.053	0.000	0.556	-0.093	1.930	0.075			0.741	-0.087	0.691	-0.547	0.118	-0.303			-0.726	0.202		15.651	-0.157	-0.016			-0.177		Complex
0.997	12.728	BNA5	HSP82	2.254	-1.701	-3.446	12.728	-0.539	12.072	-0.278	0.601		1.233	-0.075			-0.285	-0.421	-0.793	-0.928	-0.396	-0.185				-0.054		13.669			0.356				Complex
1.000	21.981	HSC82	SAH1	11.150	13.446	1.192	21.981	2.149	13.797	-0.278	2.850		1.169	0.075			2.219	5.607	3.267	0.307	-0.529	-0.105	-0.091		1.272	0.775	-0.206	15.632	-0.679	-0.201			-0.322		Complex
0.999	14.126	CDC48	VMA2	14.126	12.547	1.496	11.750	2.641	5.533	0.602	3.906		0.491	-0.109			1.062	-0.604	0.888	-0.739	0.255		-0.393		0.786	0.386	1.428	11.227	-0.905	0.510			1.553		PPI
1.000	19.276	BMH1	CDC48	17.093	17.519	-0.395	19.276	3.725	8.729	-0.278	4.009	-0.093	0.618	-0.075			2.641	3.643	3.453	1.799	0.648		0.962		0.093	0.667	0.757	12.774	2.573	0.958			-0.311		Complex
1.000	16.750	LEU2	KRS1	4.532	6.622	-1.903	16.750	1.367	11.937	0.000	1.298		1.220				0.927											14.729	2.167	0.523	-0.674	0.618			Complex
1.000	18.320	HSC82	KAP123	7.624	5.990	-1.425	18.320	1.887	13.473	0.000	1.163		1.399	-0.075			0.473	2.781	0.085	2.003	-0.102		-0.091				0.145	14.361	-0.765	0.084					Complex
1.000	17.136	TIF2	LEU1	4.989	6.352	1.788	17.136	2.394	12.514	0.000	0.989		0.683			0.210	0.346											15.984	1.254	-0.201	0.113			0.196	Complex
1.000	23.021	ATP2	TEF4	11.447	16.688	-4.542	23.021	5.206	13.432	0.000	1.163	-0.093	1.169	-0.075			2.219	3.026	3.215	-0.642	0.000				0.475	4.436	0.145	16.156	1.031	-0.016			-0.190	1.478	Complex
1.000	20.182	TIF2	TUB1	10.212	3.811	-3.781	20.182	1.603	14.485	0.000	2.331	-0.093	0.162	-0.075			1.768	3.258	1.102	1.236	0.174	-0.103	0.080		-0.475	-0.136	-0.206	15.373	1.283	-0.201			-0.129	0.095	Complex
0.999	13.482	LEU2	VMA2	1.531	3.235	-1.901	13.482	0.624	12.170	-0.278	1.268		-0.301				0.000											12.928	0.229	0.523					Complex
0.997	12.896	RPP0	ALG11	1.306	2.107	-5.742	12.896	1.521	12.058	-0.278	1.163		-0.789	-0.075			-0.704	-0.523	-0.313	-0.314	0.122	0.119	0.000		0.041	-0.550	-0.206	13.710	0.524	0.242					Complex
1.000	14.776	ATP1	BNA5	5.168	6.497	-4.991	14.776	2.247	12.072	-0.278	0.601		0.420	0.000			-0.285	-0.703	-0.885	1.397	-0.152	0.000				0.680		13.874			-0.357				Complex
1.000	22.329	BMH2	BAA21512	11.572	11.578	-1.358	22.329	1.313	14.480		4.009	-0.093	-0.142	0.000			2.761	2.788	1.879	0.337	-0.307	0.285	1.664		-0.546	1.168	-0.265	16.200	1.067	0.958			-0.140	0.095	Complex
1.000	18.500	EFT2	LEU1	7.208	9.231	1.630	18.500	3.052	12.179	0.000	1.268		1.073				0.927											15.437	3.644	-0.016				-0.566	Complex
1.000	18.646	ENO1	EFT2	15.358	18.646	1.802	18.627	4.978	3.663	-0.764	2.651	0.201	4.365	0.445			3.107	3.311	0.670	-1.519	0.260	-0.025	-0.641		6.045	1.826	0.000	10.086	1.879	0.599			3.107	-1.218	Metabolic
1.000	20.107	ATP1	PRP43	9.253	10.493	-5.025	20.107	3.142	13.467	0.000	2.029	-0.093	-0.301	-0.075			1.939	3.999	1.206	1.950	1.197	0.000	0.187		0.448	0.705	-0.206	14.322	0.266	-0.201		-0.243	-0.439		Complex
1.000	18.584	BMH2	HSC82	18.584	14.830	3.112	15.635	4.301	7.930	0.602	2.607		1.363	-0.109			1.891	8.050	6.109	1.935	-0.233	0.920	-0.110		2.321	0.513	1.240	9.814	2.217	4.361			1.182	-0.705	PPI
1.000	22.199	TUB2	SAH1	12.309	13.516	-2.168	22.199	2.258	13.797	-0.278	2.331		1.806	-0.075			2.361	4.336	1.823	-0.722	-0.224	-0.185	0.791		0.275	0.657	-0.206	17.563	2.546	-0.201			0.481		Complex
1.000	19.217	SSC1	SPE3	8.242	12.097	-2.212	19.217	2.666	12.026	-0.278	1.134	0.089	1.288	0.075			2.218	3.395	0.979	-0.303		0.172	-0.091		0.766	0.729		16.353	1.998	0.258	-0.290	-0.243	1.446	-1.159	Complex
1.000	25.176	EFT2	TEF1	25.176	23.621	3.627	21.492	7.031	9.063	0.602	3.906		1.474	0.000		0.814	2.288	6.310	1.768	-0.942	-0.297	1.171	-0.110		1.453	1.927	-0.281	17.194	5.591				3.103	0.250	PPI
1.000	22.270	TUB2	EFT1	10.034	11.461	-1.812	22.270	1.138	14.452	-0.278	4.009	-0.093	0.443	0.381			2.218	4.710	1.866	-0.943	-0.282	-0.185	-0.091		0.101	-0.161	0.000	17.376	1.981	-0.201			-0.129	-0.508	Complex
1.000	18.116	KAP123	ATP2	5.849	7.904	-2.770	18.116	2.609	13.413	0.680	1.163		0.158	-0.075		-0.305	0.473	2.758	-0.343	0.661	-0.051						0.000	16.391	-0.152	-0.201					Complex
1.000	15.248	BMH1	MSS4	4.303	1.106	1.570	15.248	1.092	13.469	0.680	0.360	-0.093	-0.373	0.000			0.112	1.552	-0.174	0.817	0.264		-0.091		-0.467		-0.206	13.742	-0.784	-0.201			0.150	-0.619	Complex
1.000	20.258	TIF2	SPE3	11.213	9.058	-5.753	20.258	3.392	12.799	-0.278	1.163	-0.093	1.806	0.075			1.394	2.985	1.569	2.208		0.713	-0.091		-0.310	0.020	0.283	17.695	0.474	0.258	0.356		0.562	-0.772	Complex
1.000	15.084	CDC48	TEF2	15.084	14.478	-0.567	13.530	1.854	6.475	-0.273	3.906		0.802	-0.109			2.430	3.063	2.002	-0.443	-0.911		0.608		0.869	0.663	1.428	8.636	-0.087				0.987		PPI
1.000	21.389	SSC1	TEF4	10.371	11.533	-5.235	21.389	2.367	13.809	0.293	1.163	0.089	1.383	0.075	-0.289		2.499	3.936	2.813	-0.757					0.655	0.495		15.814	2.331	0.242			1.317	0.318	Complex
0.999	14.310	BAA21512	KAP123	0.679	1.896	-0.626	14.310	-0.516	13.157		1.163		0.469	-0.075			0.112	2.242	-0.383	-0.082	-0.268		-0.091				-0.206	13.354	-0.736	-0.201					Complex
1.000	26.090	TUB2	TEF2	16.740	16.004	0.291	26.090	1.017	16.772	0.293	4.009	-0.093	1.806	-0.075			2.361	4.287	2.321	-0.899	-0.396	-0.203	0.962		2.671	-0.372	-0.265	19.700	2.939				-0.119	-0.292	Complex
1.000	16.401	EFT2	KAP123	13.564	15.327	-1.152	16.401	4.722	8.437	0.000	1.163		1.644	0.075			0.359	4.080	-0.169	1.539	0.337		-0.091				0.474	12.589	-0.040	2.917					Complex
1.000	17.932	TIF2	HSP82	17.932	15.669	-1.461	16.564	3.309	8.871	-0.273	2.407		1.653	-0.109		0.359	1.717	6.256	3.170	2.705	0.429	-0.198	-0.605		0.205	0.176	0.760	8.785	3.416	-0.343	-0.473		2.183	1.270	PPI
1.000	23.313	BAA09202	ACT1	15.414	15.398	7.762	23.313	0.463	15.830		4.009	-0.093	0.469	-0.075			2.709	4.519	2.064	1.201	-0.080	-0.249	1.664		2.055	0.296	0.224	16.200	1.748	0.242			0.631	0.562	Complex
1.000	19.767	BAA21512	SAH1	8.768	10.182	-1.650	19.767	1.020	13.797		2.331		0.469	-0.075			2.225	3.580	1.454	-0.645	-0.374	0.217	0.791		0.507	0.890	-0.206	14.522	0.144	-0.201			-0.280		Complex
1.000	18.050	CDC48	EFT1	14.300	16.060	0.654	18.050	3.418	6.716	0.680	4.009	-0.093	0.440	0.381			2.499	3.369	3.554	0.212	-0.060		-0.091		0.595	0.696	0.000	13.546	1.245	-0.201			1.249		Complex
1.000	19.265	KAP123	SPE3	8.299	10.389	0.683	19.265	4.363	12.062	0.000	0.788		1.288	-0.075			0.839	2.594	1.600	3.775			-0.091				-0.206	16.094	0.463	-0.185					Complex
1.000	25.653	EFT2	KRS1	16.090	16.164	-1.387	25.653	5.147	13.796	0.000	2.850	-0.093	1.073	0.381			2.499	6.495	3.738	-0.197	1.132	0.623			0.390	0.593	0.283	19.285	2.636	0.242			1.715	0.369	Complex
1.000	20.809	BMH2	KAR2	11.312	12.161	1.811	20.809	2.078	14.179	-0.278	2.331	-0.093	0.268	0.000			2.324	4.295	2.906	0.630	0.525	0.523			0.473	1.132		13.847	0.604	0.958			0.522		Complex
1.000	26.966	EFT2	SAH1	16.986	18.603	-0.066	26.966	5.916	13.797	0.000	2.850		1.523	0.381			2.499	8.103	3.323	-0.465	-0.105	0.725	-0.091		1.579	1.856	-0.206	19.758	1.280	0.242			-0.190		Complex
1.000	22.819	URA2	SSC1	13.037	13.600	-0.631	22.819	4.001	15.192	0.000	1.134	-0.093	0.958	0.075			1.551	2.876	2.303	-0.630		0.080	-0.091		-0.609	0.647		15.272	4.150	2.193			1.009		Complex
1.000	17.069	TUB2	KAP123	5.983	5.563	0.985	17.069	2.420	13.157	0.000	1.163		0.690	-0.075			-0.285	1.682	-1.053	0.060	0.188		-0.091				0.145	16.088	0.149	-0.201					Complex
0.995	12.191	ALG11	ACT1	-0.480	0.250	-2.794	12.191	0.615	12.058	-0.278	1.364		-0.789	-0.075			-0.704	-1.309	-0.731	-0.923	-0.169	0.074	-0.091		-0.361	-0.094	-0.206	13.716	-0.102	-0.016					Complex
1.000	15.764	BMH1	LEU2	1.610	3.607	-2.018	15.764	1.273	12.170	-0.278	0.989		0.683			0.000	0.927											14.611	0.082	0.523					Complex
0.999	13.902	DPB4	ATP2	3.305	2.888	-3.181	13.902	1.555	12.065	-0.278	0.693		-0.169	-0.075			0.112	1.392									-0.206	11.896		-0.201					Complex
0.966	10.247	URA2	ACT1	1.401	0.472	-0.419	10.247	1.353	7.190	-0.278	1.163	-0.093	0.901	-0.075	-0.289	-0.305	0.681	1.292	0.155	0.018	0.060	-0.303	-0.091		-0.631	-0.243	0.145	7.707	-0.044	-0.201			0.832		Complex
0.998	13.364	ALG11	EFT2	2.681	2.179	-3.570	13.364	1.470	12.058	-0.278	1.364		-0.621	0.075			-0.704	-0.373	0.437	-0.746	-0.169	0.338	-0.091		0.289	0.018	-0.206	13.718	0.150	-0.016					Complex
1.000	22.675	ATP1	HSP82	12.235	11.990	-1.970	22.675	1.845	15.241	-0.278	2.850	-0.093	0.683	-0.075			2.501	5.245	3.257	0.761	0.391	-0.105	1.069		1.273	0.576	-0.206	14.870	-0.345	0.242	0.039	1.695	-0.277		Complex
1.000	19.175	TIF2	EFT1	19.175	18.854	-1.708	15.920	5.404	8.507	0.602	2.407		1.056	0.454		-0.612	1.357	7.508	1.052	-0.737	-0.413	0.417	-1.000		1.800	1.505	0.173	14.484	2.509	1.012			2.693	-0.164	PPI
1.000	21.991	ACT1	TIF1	10.123	6.545	-0.999	21.991	2.235	14.972	0.000	2.331	-0.093	1.320	-0.075	-0.468		1.768	4.038	1.511	0.043	-0.374	0.252	0.080		0.450	0.335	-0.206	16.268	1.787	-0.201			0.911	-0.399	Complex
0.990	11.474	ALG11	TEF1	-0.599	-0.433	-4.591	11.474	-0.503	12.063	0.000	1.163		-0.621	0.075			-0.704	-0.873	-0.385	-0.886	-0.051	0.129	-0.206		-0.298	-0.571	0.145	13.115	-0.340						Complex
1.000	15.726	EFT2	VMA2	9.254	9.908	0.778	15.726	2.321	7.751	-0.278	4.009	-0.093	0.752	0.075			1.189	1.905	2.396	-0.640	-0.657		-0.091		0.700	0.266	0.000	12.278	-0.205	-0.016			1.715	-0.244	Complex
1.000	15.476	KAP123	TIF1	15.476	12.073	1.109	13.225	5.222	7.884	-0.273	0.624		1.656	-0.109			0.473	3.299	-0.035	1.842	-0.476		-0.110				0.173	13.561	0.086	0.510					PPI
0.996	12.497	DPB4	TUB1	1.731	1.921	-2.139	12.497	0.260	12.065	0.680	0.275		-0.544	0.075			-0.314	-0.098			-0.199						-0.206	11.978		-0.201					Complex
0.984	11.023	URA2	HSC82	5.955	4.058	1.014	11.023	-0.130	7.933	0.000	1.163	-0.093	0.958	0.075			1.118	2.946	2.958	0.528	0.275	-0.303	0.080		0.419	-0.062	0.000	7.998	-0.655	0.084			0.389		Complex
0.997	12.761	CDC48	ARO8	2.657	3.773	-1.325	12.761	0.534	12.179	-0.278	0.601		0.355	0.075			-0.704	-1.356	-0.912	-0.662	-0.721						0.283	14.241		0.242					Complex
1.000	16.847	KAP123	TUB1	5.330	4.847	-1.155	16.847	2.323	13.265	0.680	1.163		-0.621	-0.075			0.112	1.203	-0.789	2.039	-0.374		-0.091				0.000	14.364	-0.601	-0.201					Complex
1.000	15.903	TIF2	CDC48	11.490	10.438	1.793	15.903	2.188	8.098	0.680	2.331	-0.093	0.755	-0.075		-0.305	2.324	4.319	2.999	1.083	-0.371		0.080		-0.256	0.979	0.757	10.600	1.205	-0.201			-0.119		Complex
1.000	15.862	TUB1	TEF4	11.094	9.407	0.826	15.862	2.038	8.088	0.000	1.364	0.089	2.155	-0.075			2.202	3.659	2.205	0.093	-0.199				-0.051	0.068	0.145	10.806	2.071	0.523			-0.129	-0.227	Complex
0.996	12.349	BNA5	LEU2	0.528	1.009	-1.264	12.349	-0.071	12.190	-0.278	-0.175		0.683															12.312			0.288				Complex
0.990	11.545	BNA5	TUB2	0.538	0.075	-2.899	11.545	-1.241	12.072	-0.278	0.601		0.752	-0.075			-0.285	-1.032	-1.006	-1.173	-0.322	-0.185				-0.125		13.012							Complex
1.000	16.035	BNA5	HSP60	5.179	7.580	-2.986	16.035	2.680	12.072	-0.278	0.601		1.320	-0.075			-0.285	0.325	-0.924	-0.434		-0.114				2.501		13.970			-0.290				Complex
0.985	11.103	ALG11	VMA2	1.290	2.200	-3.859	11.103	0.054	12.058	0.000	1.163		-0.789	-0.075			-1.308	-2.028	-0.407	-0.728	-0.369		-0.091		-0.122	0.297	0.000	13.516	0.576	-0.016					Complex
1.000	20.060	TIF2	TEF2	15.760	15.575	1.963	20.060	4.905	8.513	0.680	2.331	-0.093	1.545	-0.075		0.210	2.043	3.748	2.279	0.392	0.590	0.618	0.080		1.466	0.873	0.474	13.219	3.800				1.930	1.584	Complex
1.000	24.996	KAR2	HSP60	15.510	17.023	2.230	24.996	5.078	14.936	0.000	1.163	-0.093	1.663	-0.075			2.324	5.536	4.900	2.140		1.207			-0.458	1.018		18.487	-0.123	1.831			0.210		Complex
1.000	25.708	TUB2	ACT1	17.174	17.937	8.251	25.708	1.690	15.830	0.680	4.009	-0.093	0.958	-0.075			2.709	4.519	2.064	1.201	-0.080	-0.249	1.664		2.055	0.296	0.224	19.338	1.748	0.242			0.631	0.562	Complex
0.927	9.449	KAP123	TEF2	9.449	7.568	-0.975	8.400	2.328	5.972	-0.273	0.799		0.890	-0.109			-0.157	1.515	-1.288	-0.932	0.203		0.164					8.654	0.107						PPI
0.984	11.018	BMH2	URA2	9.033	3.925	-1.470	11.018	0.659	7.190	-0.278	1.163	-0.093	0.901	-0.075			1.551	2.851	0.821	0.374	0.543	-0.105	-0.091		0.219	-0.384	-0.206	7.427	0.048	-0.201			-0.305		Complex
1.000	22.159	TEF1	TEF2	17.818	22.159	-0.255	16.186	9.381	3.338	1.753		-0.108	1.938	-0.206	1.788	1.395	2.881	4.072	1.975	-0.704	1.229		1.630		2.287	-0.245		15.350	0.331				4.850		Metabolic
1.000	21.261	CDC48	TEF4	10.646	12.756	-6.613	21.261	1.907	13.432	0.680	1.364	0.089	1.155	-0.075		0.210	2.499	2.011	4.813	0.421	0.086				0.161	0.974	-0.206	16.424	1.588	0.523			0.220		Complex
