04_orf01361_rev 16_orf10789
04_orf06084 16_orf03056_rev
04_orf07078 16_orf03805_rev
04_orf13904 16_orf12446
04_orf09301_rev 16_orf06145
04_orf14464 16_orf00995_rev
04_orf02715_rev 16_orf07181_rev
04_orf01551 16_orf05648
04_orf10219 16_orf00286
04_orf03615_rev 16_orf10986_rev
04_orf02455 16_orf06289_rev
04_orf08954 16_orf07566
04_orf08632_rev 16_orf01302
04_orf06190_rev 16_orf05328
04_orf06675 16_orf05708_rev
04_orf11235_rev 16_orf09164
04_orf03139_rev 16_orf06276_rev
04_orf00547 16_orf04960
04_orf02432_rev 16_orf12171_rev
04_orf13161 16_orf10520
04_orf03068_rev 16_orf07899
04_orf15528 16_orf06298
04_orf16489_rev 16_orf07505
04_orf04301_rev 16_orf12205_rev
04_orf08685_rev 16_orf04620_rev
04_orf08243_rev 16_orf10958
04_orf04109 16_orf06654_rev
04_orf06440_rev 16_orf02242_rev
04_orf10814 16_orf05625_rev
04_orf05789 16_orf03416_rev
04_orf05986 16_orf11215
04_orf01612_rev 16_orf02926_rev
04_orf07106_rev 16_orf06216
04_orf06808 16_orf05026
04_orf01680_rev 16_orf12305_rev
04_orf01356_rev 16_orf00132_rev
04_orf08371_rev 16_orf10680_rev
04_orf01463 16_orf01746_rev
04_orf08260_rev 16_orf03618
04_orf10224 16_orf02028
04_orf03937_rev 16_orf00694_rev
04_orf08667_rev 16_orf10553_rev
04_orf09946_rev 16_orf07361_rev
04_orf13611_rev 16_orf07115_rev
04_orf07798 16_orf03956_rev
04_orf16791 16_orf12600_rev
04_orf01405_rev 16_orf02279_rev
04_orf08553 16_orf12356
04_orf01336 16_orf02470
04_orf00593_rev 16_orf11652
04_orf04068_rev 16_orf10405
04_orf03729_rev 16_orf01257_rev
04_orf07081 16_orf03801_rev
04_orf07038 16_orf09589
04_orf04033_rev 16_orf05667_rev
04_orf04144 16_orf06162
04_orf02649_rev 16_orf07714_rev
04_orf03836 16_orf11832
04_orf03326 16_orf02717
04_orf10263_rev 16_orf05384_rev
04_orf06573_rev 16_orf07722
04_orf06008 16_orf06003
04_orf02767_rev 16_orf12475_rev
04_orf13066_rev 16_orf04924
04_orf07088 16_orf03790_rev
04_orf04865_rev 16_orf08679
04_orf10131 16_orf08945
04_orf02869_rev 16_orf11059_rev
04_orf01515_rev 16_orf02868_rev
04_orf12749_rev 16_orf01225
04_orf03700_rev 16_orf03758_rev
04_orf12265_rev 16_orf00690_rev
04_orf07416_rev 16_orf07306_rev
04_orf10489_rev 16_orf11994_rev
04_orf13521 16_orf08685_rev
04_orf10827 16_orf00559
04_orf11800 16_orf10119
04_orf07490 16_orf10431_rev
04_orf09540 16_orf01763_rev
04_orf05488 16_orf01128
04_orf04810_rev 16_orf02018
04_orf04675 16_orf02979_rev
04_orf10141 16_orf04350_rev
04_orf06499 16_orf09990_rev
04_orf07501 16_orf02826
04_orf12705 16_orf10033_rev
04_orf00698_rev 16_orf08721_rev
04_orf06196_rev 16_orf04242
04_orf07550 16_orf07076
04_orf13312_rev 16_orf05891_rev
04_orf14147_rev 16_orf06280_rev
04_orf10562 16_orf00298
04_orf00772 16_orf11010_rev
04_orf12354_rev 16_orf02723_rev
04_orf03075_rev 16_orf09159
04_orf10260_rev 16_orf05396_rev
04_orf01268 16_orf08291
04_orf01767 16_orf01901_rev
04_orf12989_rev 16_orf01416
04_orf10848_rev 16_orf03043
04_orf01322 16_orf09217_rev
04_orf10070_rev 16_orf00578
04_orf10207_rev 16_orf01649_rev
04_orf13025 16_orf04497_rev
04_orf01248 16_orf08118
04_orf16794 16_orf08468_rev
04_orf05427_rev 16_orf04127
04_orf16711_rev 16_orf06623_rev
04_orf03019_rev 16_orf06755
04_orf02776_rev 16_orf06841_rev
04_orf10036_rev 16_orf03851
04_orf08131 16_orf11569_rev
04_orf16768 16_orf03816_rev
04_orf05003_rev 16_orf09378_rev
04_orf01094 16_orf05861_rev
04_orf07941 16_orf01727_rev
04_orf04839 16_orf06567_rev
04_orf09218 16_orf11263
04_orf01297 16_orf07259
04_orf00223 16_orf11803
04_orf12366 16_orf11723_rev
04_orf03680_rev 16_orf07303_rev
04_orf01661_rev 16_orf00272
04_orf07083 16_orf03796_rev
04_orf06051 16_orf10573_rev
04_orf15429_rev 16_orf01994_rev
04_orf13906 16_orf10772_rev
04_orf03912_rev 16_orf08025
04_orf06428 16_orf09722
04_orf00289 16_orf11171_rev
04_orf01362_rev 16_orf00841_rev
04_orf13267 16_orf00940
04_orf10854_rev 16_orf12266_rev
04_orf06462 16_orf11349
04_orf11801_rev 16_orf09731_rev
04_orf07737 16_orf06268_rev
04_orf00666 16_orf05718_rev
04_orf01018_rev 16_orf11112
04_orf09798 16_orf00328
04_orf13599 16_orf07018_rev
04_orf07075 16_orf03810_rev
04_orf05183_rev 16_orf08986
04_orf16881_rev 16_orf01308
04_orf01765_rev 16_orf02954_rev
04_orf08851 16_orf08001
04_orf13470 16_orf02349
04_orf06627_rev 16_orf08565_rev
04_orf13189_rev 16_orf05123_rev
04_orf10590_rev 16_orf06810_rev
04_orf11771_rev 16_orf03430_rev
04_orf05760_rev 16_orf06600
04_orf10926 16_orf03392
04_orf13285 16_orf07291
04_orf07853 16_orf01833
04_orf03864_rev 16_orf01813
04_orf07728 16_orf12034
04_orf11568_rev 16_orf07206_rev
04_orf05640 16_orf07098
04_orf08253_rev 16_orf05373
04_orf07552 16_orf07708
04_orf03526 16_orf07081_rev
04_orf03608_rev 16_orf07070
04_orf01726_rev 16_orf07550
04_orf05816_rev 16_orf10795
04_orf10937_rev 16_orf10751
04_orf07548 16_orf04382_rev
04_orf14343 16_orf10540_rev
04_orf02081 16_orf00323
04_orf05234_rev 16_orf02771
04_orf05810_rev 16_orf01401_rev
04_orf06668_rev 16_orf04374
04_orf04173 16_orf04939
04_orf00728 16_orf00299_rev
04_orf07851 16_orf00688_rev
04_orf07936_rev 16_orf08141_rev
04_orf14061_rev 16_orf02034
04_orf04725 16_orf00453
04_orf00283 16_orf11173_rev
04_orf05566 16_orf04572
04_orf06067_rev 16_orf06613
04_orf02997 16_orf03274_rev
04_orf09520 16_orf03283
04_orf15755_rev 16_orf04563
04_orf13739 16_orf05899_rev
04_orf01458 16_orf01749_rev
04_orf09276 16_orf08114_rev
04_orf01687_rev 16_orf06926
04_orf05447 16_orf09098
04_orf02873 16_orf10808_rev
04_orf13592_rev 16_orf09083
04_orf01547 16_orf02298
04_orf04553_rev 16_orf11413_rev
04_orf04830 16_orf05298_rev
04_orf03420 16_orf12576_rev
04_orf02676_rev 16_orf01338
04_orf12102 16_orf09884
04_orf11094 16_orf09374_rev
04_orf07906_rev 16_orf09160
04_orf04325_rev 16_orf03386_rev
04_orf03996_rev 16_orf00961
04_orf09109_rev 16_orf04834_rev
04_orf06657 16_orf05168_rev
04_orf00254_rev 16_orf04018
04_orf05905_rev 16_orf10440_rev
04_orf12190 16_orf08863_rev
04_orf10569 16_orf01709_rev
04_orf10143 16_orf01373
04_orf01331 16_orf03370_rev
04_orf01671_rev 16_orf00151
04_orf08881 16_orf08382
04_orf13497 16_orf03123
04_orf02690 16_orf00353
04_orf01467 16_orf01744_rev
04_orf02343_rev 16_orf06622_rev
04_orf02972 16_orf12118
04_orf15161 16_orf06273_rev
04_orf09514_rev 16_orf07693
04_orf16627 16_orf04932_rev
04_orf13951_rev 16_orf01012
04_orf08666_rev 16_orf01806
04_orf11409_rev 16_orf00314
04_orf07662 16_orf04982_rev
04_orf08374_rev 16_orf10682_rev
04_orf07373_rev 16_orf11232
04_orf08099 16_orf11426_rev
04_orf02457 16_orf11878_rev
04_orf09307 16_orf10024_rev
04_orf07820 16_orf02040_rev
04_orf01273 16_orf05943
04_orf06769_rev 16_orf02606_rev
04_orf15243 16_orf06228
04_orf10076 16_orf07104_rev
04_orf03524 16_orf07084_rev
04_orf06293 16_orf12159_rev
04_orf16578_rev 16_orf09647
04_orf05817_rev 16_orf06320
04_orf03077_rev 16_orf09155
04_orf01455 16_orf01038
04_orf15806_rev 16_orf06945_rev
04_orf03638_rev 16_orf06494_rev
04_orf01319_rev 16_orf03271
04_orf07676_rev 16_orf10367
04_orf04365 16_orf03545
04_orf03543_rev 16_orf07791
04_orf08781 16_orf03712
04_orf13212_rev 16_orf09573_rev
04_orf07094 16_orf05159_rev
04_orf15732 16_orf05556
04_orf04104_rev 16_orf05751_rev
04_orf08455_rev 16_orf10434_rev
04_orf09598_rev 16_orf10491
04_orf13231_rev 16_orf02838_rev
04_orf05123_rev 16_orf04699_rev
04_orf05452 16_orf09104
04_orf16784_rev 16_orf08146
04_orf07104 16_orf05303
04_orf04101_rev 16_orf02307_rev
04_orf03174_rev 16_orf03461_rev
04_orf00518_rev 16_orf04300
04_orf08751_rev 16_orf05817_rev
04_orf07458_rev 16_orf12155_rev
04_orf04046_rev 16_orf00674
04_orf06646_rev 16_orf03327_rev
04_orf08741_rev 16_orf08371
04_orf04393_rev 16_orf04463
04_orf07845 16_orf08972
04_orf01537 16_orf06745_rev
04_orf00999 16_orf04742_rev
04_orf09397 16_orf06358
04_orf11180 16_orf08459_rev
04_orf06732 16_orf02226
04_orf03254_rev 16_orf05082_rev
04_orf10365_rev 16_orf03506_rev
04_orf02828_rev 16_orf04266
04_orf04815 16_orf10556_rev
04_orf12920 16_orf00344
04_orf00020_rev 16_orf04544
04_orf10592_rev 16_orf06808_rev
04_orf12672_rev 16_orf09366_rev
04_orf11058 16_orf06753
04_orf02680 16_orf06138
04_orf08715 16_orf05406_rev
04_orf08854 16_orf07186
04_orf11255_rev 16_orf02372_rev
04_orf12382_rev 16_orf07572_rev
04_orf10304 16_orf02751
04_orf01056 16_orf09718_rev
04_orf09858_rev 16_orf03297_rev
04_orf02143 16_orf03994_rev
04_orf03697_rev 16_orf02903_rev
04_orf10025 16_orf01590
04_orf05237_rev 16_orf09424
04_orf01402_rev 16_orf02768
04_orf12121_rev 16_orf09682_rev
04_orf10040 16_orf04074
04_orf08043 16_orf09060
04_orf01171_rev 16_orf05574_rev
04_orf03909 16_orf03870_rev
04_orf04241 16_orf00414
04_orf03598_rev 16_orf03333
04_orf15949 16_orf06775_rev
04_orf13754_rev 16_orf04937
04_orf02419_rev 16_orf01493
04_orf01618 16_orf10739_rev
04_orf06803 16_orf06101
04_orf11791 16_orf08103
04_orf13494_rev 16_orf09783
04_orf07437_rev 16_orf00848
04_orf08352 16_orf00774_rev
04_orf01306_rev 16_orf01093
04_orf07857 16_orf08238_rev
04_orf07405 16_orf03676
04_orf07785 16_orf10281_rev
04_orf08773_rev 16_orf01634
04_orf04277 16_orf12067
04_orf16883 16_orf12114
04_orf09916 16_orf02073
04_orf05335 16_orf07281_rev
04_orf07294_rev 16_orf08023_rev
04_orf03540_rev 16_orf07795
04_orf13555 16_orf10034_rev
04_orf13241 16_orf04713
04_orf10265_rev 16_orf05390_rev
04_orf13014_rev 16_orf05711
04_orf01270 16_orf08295
04_orf00055 16_orf06428
04_orf07892 16_orf04010
04_orf15354 16_orf04224
04_orf05264_rev 16_orf09500
04_orf03567 16_orf00625
04_orf04629 16_orf03192
04_orf13098 16_orf04331
04_orf16733_rev 16_orf12543
04_orf02945_rev 16_orf09956_rev
04_orf01779 16_orf10765_rev
04_orf13258 16_orf08354
04_orf13114_rev 16_orf02696
04_orf06380_rev 16_orf10536_rev
04_orf04551_rev 16_orf09954
04_orf06596_rev 16_orf06738_rev
04_orf12702_rev 16_orf10470_rev
04_orf08384 16_orf10695_rev
04_orf00618_rev 16_orf05698
04_orf01557 16_orf01232
04_orf00570 16_orf09548_rev
04_orf05032 16_orf05000_rev
04_orf08566_rev 16_orf12316
04_orf07093 16_orf05160_rev
04_orf01277 16_orf05945
04_orf06639_rev 16_orf01759
04_orf00050_rev 16_orf05571_rev
04_orf07465 16_orf07348_rev
04_orf07554 16_orf01804
04_orf12945_rev 16_orf05933_rev
04_orf07734 16_orf07165_rev
04_orf08778_rev 16_orf01662_rev
04_orf09855_rev 16_orf03295_rev
04_orf10723_rev 16_orf09450
04_orf13209_rev 16_orf09571_rev
04_orf07053 16_orf03846_rev
04_orf00392 16_orf07772_rev
04_orf06922_rev 16_orf09651
04_orf04552_rev 16_orf11412_rev
04_orf02427 16_orf12425
04_orf07052 16_orf03848_rev
04_orf03437_rev 16_orf10730
04_orf04195 16_orf08771
04_orf10620 16_orf05190
04_orf04733_rev 16_orf12551_rev
04_orf11558 16_orf10793
04_orf00260_rev 16_orf10589
04_orf16814 16_orf09276
04_orf08564_rev 16_orf06634
04_orf01698_rev 16_orf09789
04_orf12447 16_orf11876_rev
04_orf08367_rev 16_orf10676_rev
04_orf05383 16_orf11082
04_orf01477 16_orf09114
04_orf09748 16_orf03155
04_orf05292 16_orf07334_rev
04_orf01945 16_orf04901
04_orf04534 16_orf07255_rev
04_orf08377_rev 16_orf10686_rev
04_orf14321 16_orf06271_rev
04_orf01084_rev 16_orf09735_rev
04_orf12674 16_orf09909
04_orf07227_rev 16_orf06903
04_orf10965 16_orf02977_rev
04_orf13295 16_orf00549
04_orf03597_rev 16_orf09713
04_orf14867_rev 16_orf09832
04_orf06330 16_orf07331_rev
04_orf04228_rev 16_orf02638_rev
04_orf07864 16_orf04459
04_orf06225_rev 16_orf01581_rev
04_orf02678 16_orf00145_rev
04_orf11226_rev 16_orf01887
04_orf08889 16_orf05697_rev
04_orf07659 16_orf05824
04_orf09754_rev 16_orf00652
04_orf09604 16_orf00429_rev
04_orf04168 16_orf10560
04_orf11056 16_orf06756
04_orf03172_rev 16_orf03459_rev
04_orf08241 16_orf04838_rev
04_orf12747_rev 16_orf04743_rev
04_orf03405_rev 16_orf00919
04_orf06681 16_orf05706_rev
04_orf04863_rev 16_orf08678
04_orf11888 16_orf09737_rev
04_orf01399_rev 16_orf06354
04_orf13152_rev 16_orf00882
04_orf09883 16_orf06388_rev
04_orf15764_rev 16_orf02297
04_orf09530_rev 16_orf02936_rev
04_orf07890_rev 16_orf03310_rev
04_orf14104_rev 16_orf11283
04_orf04065_rev 16_orf10407
04_orf04222_rev 16_orf00019_rev
04_orf00024 16_orf02508
04_orf07665 16_orf05754_rev
04_orf15918 16_orf09728
04_orf04171 16_orf01650_rev
04_orf12896_rev 16_orf08988
04_orf15282_rev 16_orf11496
04_orf06186 16_orf02189_rev
04_orf13003_rev 16_orf05773_rev
04_orf13759 16_orf08045
04_orf06422 16_orf09716
04_orf08813_rev 16_orf12093_rev
04_orf09331_rev 16_orf01298
04_orf06339 16_orf06558_rev
04_orf07655 16_orf05546
04_orf06506 16_orf09047_rev
04_orf03427_rev 16_orf08360
04_orf03728_rev 16_orf11830_rev
04_orf10338_rev 16_orf10970_rev
04_orf01443_rev 16_orf03134
04_orf12114_rev 16_orf07379
04_orf05232 16_orf05883
04_orf05385 16_orf10858_rev
04_orf01759_rev 16_orf02796_rev
04_orf09808 16_orf10097
04_orf11334_rev 16_orf01237
04_orf03485_rev 16_orf02776
04_orf04347 16_orf02488
04_orf01339 16_orf02473
04_orf13568_rev 16_orf07602
04_orf04503 16_orf05795_rev
04_orf13206_rev 16_orf09569_rev
04_orf08307_rev 16_orf05312
04_orf02423_rev 16_orf12426
04_orf00507 16_orf07236
04_orf05257 16_orf11120
04_orf01352_rev 16_orf08981
04_orf14805 16_orf07785_rev
04_orf07860 16_orf04907
04_orf05843_rev 16_orf06368
04_orf08403_rev 16_orf05603
04_orf09489 16_orf09986_rev
04_orf13167 16_orf05186_rev
04_orf07066 16_orf03823_rev
04_orf12016_rev 16_orf09443_rev
04_orf08687_rev 16_orf02520_rev
04_orf10557_rev 16_orf10800
04_orf07759_rev 16_orf08575_rev
04_orf12349_rev 16_orf03451_rev
04_orf10511_rev 16_orf06460
04_orf04149_rev 16_orf11442_rev
04_orf12540_rev 16_orf09524
04_orf07647 16_orf11718_rev
04_orf04152_rev 16_orf10923_rev
04_orf09860 16_orf06313_rev
04_orf00778 16_orf05907_rev
04_orf03217_rev 16_orf00946
04_orf10486 16_orf09873
04_orf08834 16_orf00806_rev
04_orf01570_rev 16_orf03366
04_orf05394_rev 16_orf09433_rev
04_orf00734_rev 16_orf11807_rev
04_orf04219_rev 16_orf03754_rev
04_orf05825_rev 16_orf04298
04_orf08833 16_orf01177_rev
04_orf00022 16_orf03364
04_orf02198_rev 16_orf09085
04_orf06256_rev 16_orf05340_rev
04_orf03678_rev 16_orf04376
04_orf04505 16_orf05790_rev
04_orf14181_rev 16_orf11090_rev
04_orf11375_rev 16_orf04182
04_orf04722_rev 16_orf01938_rev
04_orf13760 16_orf09154
04_orf16908 16_orf05468_rev
04_orf12181_rev 16_orf11564
04_orf13570 16_orf05062
04_orf13291 16_orf00545
04_orf05686_rev 16_orf03659_rev
04_orf07488 16_orf10498_rev
04_orf15205 16_orf05532_rev
04_orf09432 16_orf12137
04_orf12539_rev 16_orf00311
04_orf07636_rev 16_orf01976
04_orf04316_rev 16_orf01183_rev
04_orf00573 16_orf09110_rev
04_orf09804 16_orf01205
04_orf13842 16_orf12079
04_orf09705 16_orf07532_rev
04_orf06388_rev 16_orf08925
04_orf01882_rev 16_orf01999_rev
04_orf04054_rev 16_orf04540
04_orf01784_rev 16_orf07265_rev
04_orf07042 16_orf02535
04_orf01249 16_orf08887
04_orf13293 16_orf00548
04_orf04911 16_orf00799
04_orf08852 16_orf07185
04_orf06240 16_orf10518_rev
04_orf00828 16_orf01482_rev
04_orf16687_rev 16_orf06317
04_orf11887 16_orf09739_rev
04_orf09880_rev 16_orf07015_rev
04_orf01498_rev 16_orf01264
04_orf03203_rev 16_orf03308
04_orf13162 16_orf03383
04_orf04483 16_orf07463_rev
04_orf01216 16_orf05402
04_orf00628_rev 16_orf01204_rev
04_orf02244_rev 16_orf05091_rev
04_orf08668_rev 16_orf08299
04_orf08700 16_orf08152
04_orf05519_rev 16_orf08956
04_orf11990 16_orf12465
04_orf02872_rev 16_orf08067
04_orf01595 16_orf09479
04_orf04832 16_orf05499_rev
04_orf13018_rev 16_orf05890_rev
04_orf15376 16_orf03878
04_orf04826 16_orf06223
04_orf05275_rev 16_orf02387
04_orf00619_rev 16_orf11415_rev
04_orf06177_rev 16_orf05478
04_orf00520_rev 16_orf12124
04_orf11654 16_orf05763
04_orf08008_rev 16_orf00628
04_orf10491 16_orf11996
04_orf02467 16_orf01766
04_orf14277_rev 16_orf01034_rev
04_orf08983 16_orf10911
04_orf07062 16_orf03828_rev
04_orf09415 16_orf11447
04_orf14209 16_orf07340
04_orf08375_rev 16_orf10684_rev
04_orf15385_rev 16_orf04890_rev
04_orf05949 16_orf03144
04_orf02914 16_orf03521
04_orf14237_rev 16_orf07011_rev
04_orf12049 16_orf06364
04_orf07063 16_orf03826_rev
04_orf05946 16_orf07530_rev
04_orf01711_rev 16_orf08358
04_orf07058 16_orf03831_rev
04_orf00968_rev 16_orf00608_rev
04_orf15234_rev 16_orf12490
04_orf01203 16_orf04709
04_orf13131 16_orf07405_rev
04_orf12698 16_orf00587_rev
04_orf07090 16_orf03789_rev
04_orf07068 16_orf03821_rev
04_orf00529_rev 16_orf02767
04_orf05457 16_orf01723_rev
04_orf01602 16_orf03706
04_orf09665_rev 16_orf01059
04_orf11837_rev 16_orf05731
04_orf06524_rev 16_orf04163_rev
04_orf12281_rev 16_orf04366_rev
04_orf01190 16_orf08388_rev
04_orf03932 16_orf05497_rev
04_orf12870_rev 16_orf01577_rev
04_orf02091_rev 16_orf12120
04_orf10266_rev 16_orf05391_rev
04_orf16408_rev 16_orf11142
04_orf02357_rev 16_orf00622_rev
04_orf12131_rev 16_orf10587
04_orf10268_rev 16_orf05393_rev
04_orf07622_rev 16_orf04542
04_orf08867 16_orf12300
04_orf05403_rev 16_orf06931
04_orf11592 16_orf06514_rev
04_orf05441_rev 16_orf07266_rev
04_orf04329 16_orf01852
04_orf12141 16_orf02403
04_orf13176 16_orf05635_rev
04_orf11277_rev 16_orf00655_rev
04_orf03015_rev 16_orf04763_rev
04_orf00085 16_orf07021
04_orf12889_rev 16_orf08750_rev
04_orf07607_rev 16_orf02626_rev
04_orf07076 16_orf03807_rev
04_orf01107 16_orf05310_rev
04_orf09064_rev 16_orf05315
04_orf16685 16_orf02777
04_orf10264_rev 16_orf05387_rev
04_orf07568 16_orf03543
04_orf01364_rev 16_orf10485_rev
04_orf10852_rev 16_orf00093
04_orf01565_rev 16_orf04420_rev
04_orf11007 16_orf03887_rev
04_orf05598_rev 16_orf01240_rev
04_orf06734 16_orf08706
04_orf10347_rev 16_orf08585_rev
04_orf16512 16_orf06583
04_orf03513 16_orf06879_rev
04_orf02916_rev 16_orf07853
04_orf09565 16_orf09431
04_orf05525 16_orf08773
04_orf04160 16_orf09482
04_orf01640_rev 16_orf06876
04_orf14217_rev 16_orf01499
04_orf02479 16_orf11861_rev
04_orf16255 16_orf07914
04_orf01599 16_orf05516_rev
04_orf13591_rev 16_orf10959
04_orf07377_rev 16_orf06191_rev
04_orf09622 16_orf03762
04_orf12694_rev 16_orf06820_rev
04_orf13027_rev 16_orf01144_rev
04_orf16821_rev 16_orf06933_rev
04_orf08726 16_orf08262_rev
04_orf15694 16_orf03247_rev
04_orf01238 16_orf02824
04_orf01475_rev 16_orf10351_rev
04_orf03542_rev 16_orf07793
04_orf04883_rev 16_orf10090_rev
04_orf07915_rev 16_orf09076
04_orf00694_rev 16_orf08718_rev
04_orf11386_rev 16_orf11200_rev
04_orf00219_rev 16_orf01073
04_orf07888_rev 16_orf02580
04_orf00008_rev 16_orf08379_rev
04_orf09794 16_orf01402
04_orf01811 16_orf02398_rev
04_orf02221_rev 16_orf03062
04_orf01233_rev 16_orf07727_rev
04_orf08265_rev 16_orf07519_rev
04_orf09466_rev 16_orf08913_rev
04_orf08719 16_orf05470_rev
04_orf05450 16_orf09102
04_orf13622 16_orf04330_rev
04_orf10612 16_orf05892
04_orf09435 16_orf03526
04_orf12706 16_orf01487
04_orf09965_rev 16_orf03995_rev
04_orf07630 16_orf00808_rev
04_orf04203 16_orf10748
04_orf05296 16_orf12088
04_orf04120 16_orf09800_rev
04_orf07299_rev 16_orf04691_rev
04_orf09484_rev 16_orf02790
04_orf08754 16_orf00760_rev
04_orf00501 16_orf04567
04_orf09913_rev 16_orf02155
04_orf05479_rev 16_orf03775_rev
04_orf07073 16_orf03815_rev
04_orf09911_rev 16_orf02154
04_orf13721 16_orf03616_rev
04_orf08845 16_orf02295
04_orf05690_rev 16_orf03661_rev
04_orf06287 16_orf07131
04_orf03612_rev 16_orf10618
04_orf04706_rev 16_orf08797_rev
04_orf13205_rev 16_orf09568_rev
04_orf03973 16_orf02304_rev
04_orf06066_rev 16_orf09187_rev
04_orf07868 16_orf09988_rev
04_orf03330 16_orf11219_rev
04_orf07641 16_orf09559
04_orf08885 16_orf03246_rev
04_orf13444 16_orf02589_rev
04_orf08262_rev 16_orf07518_rev
04_orf08502 16_orf01349_rev
04_orf01603 16_orf11067
04_orf07276 16_orf07484
04_orf13221 16_orf01099_rev
04_orf13134 16_orf05924_rev
04_orf04819 16_orf11271
04_orf09166_rev 16_orf02466
04_orf10237_rev 16_orf11276
04_orf07873 16_orf04250
04_orf16018_rev 16_orf04680
04_orf01560_rev 16_orf12063
04_orf16628_rev 16_orf07851
04_orf08857 16_orf07188
04_orf04762_rev 16_orf08530_rev
04_orf02687 16_orf09442
04_orf05953 16_orf01057
04_orf07934_rev 16_orf06928
04_orf02704_rev 16_orf01500
04_orf11214_rev 16_orf05272
04_orf01598 16_orf01350_rev
04_orf04001_rev 16_orf04061
04_orf07086 16_orf03793_rev
04_orf00070 16_orf09478
04_orf15526 16_orf08366_rev
04_orf03246 16_orf06520_rev
04_orf07837 16_orf12250_rev
04_orf08693 16_orf00831
04_orf16763 16_orf02303_rev
04_orf07536_rev 16_orf00897_rev
04_orf10835_rev 16_orf02919_rev
04_orf01254 16_orf02300
04_orf03226 16_orf04043_rev
04_orf08762_rev 16_orf04570_rev
04_orf08933 16_orf05017
04_orf09067_rev 16_orf09106
04_orf07870 16_orf00865_rev
04_orf13765 16_orf09169
04_orf00688_rev 16_orf07240
04_orf12422_rev 16_orf07153
04_orf13024_rev 16_orf00825_rev
04_orf10216_rev 16_orf09338_rev
04_orf08391 16_orf06325
04_orf01347_rev 16_orf10710_rev
04_orf16741_rev 16_orf12448
04_orf11323_rev 16_orf10501
04_orf11362 16_orf01106_rev
04_orf04431_rev 16_orf12321_rev
04_orf02610 16_orf07865_rev
04_orf06194_rev 16_orf08361_rev
04_orf03180_rev 16_orf03467_rev
04_orf05449 16_orf09101
04_orf04644 16_orf00160
04_orf13320_rev 16_orf10510
04_orf16829_rev 16_orf00513
04_orf02766_rev 16_orf02901
04_orf13074_rev 16_orf03027_rev
04_orf14720 16_orf01996_rev
04_orf03057_rev 16_orf00261_rev
04_orf00522_rev 16_orf12123
04_orf15279_rev 16_orf04928
04_orf06012_rev 16_orf04654_rev
04_orf05509 16_orf12494_rev
