#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
IDH2	LEU1	634659	630896	4932.YOR136W	4932.YGL009C	0.560	0	0	0	0.978	0.532	0.659	0	0.998
LEU4	LEU1	634007	630896	4932.YNL104C	4932.YGL009C	0.560	0	0	0	0.836	0.514	0.964	0	0.998
KRE33	UTP4	634036	630177	4932.YNL132W	4932.YDR324C	0	0	0	0	0.987	0.868	0	0	0.998
IDH1	LEU1	633934	630896	4932.YNL037C	4932.YGL009C	0.560	0	0	0	0.978	0.514	0.659	0	0.998
SED5	YKT6	632894	632661	4932.YLR026C	4932.YKL196C	0	0	0	0	0.099	0.989	0.900	0	0.998
HIS5	HIS7	631934	629319	4932.YIL116W	4932.YBR248C	0.560	0	0.312	0	0.976	0.590	0.649	0	0.998
SEC22	SED5	633163	632894	4932.YLR268W	4932.YLR026C	0	0	0	0	0.101	0.989	0.900	0	0.998
UFE1	USE1	634598	630988	4932.YOR075W	4932.YGL098W	0	0	0	0	0.108	0.989	0.900	0	0.998
LYS12	LEU1	631908	630896	4932.YIL094C	4932.YGL009C	0.560	0	0	0	0.978	0.514	0.659	0	0.998
DLS1	DPB4	632111	629955	4932.YJL065C	4932.YDR121W	0	0	0	0	0.067	0.973	0.900	0	0.997
DPB4	DPB3	629955	629350	4932.YDR121W	4932.YBR278W	0	0	0	0	0.067	0.973	0.900	0	0.997
SED5	USE1	632894	630988	4932.YLR026C	4932.YGL098W	0	0	0	0	0.062	0.972	0.900	0	0.997
HIS3	HIS5	634734	631934	4932.YOR202W	4932.YIL116W	0.321	0.720	0.466	0	0.459	0	0.959	0	0.997
PRP43	UTP4	631010	630177	4932.YGL120C	4932.YDR324C	0	0	0	0	0.982	0.868	0	0	0.997
UFE1	SEC22	634598	633163	4932.YOR075W	4932.YLR268W	0	0	0	0	0.042	0.962	0.900	0	0.996
SEC22	USE1	633163	630988	4932.YLR268W	4932.YGL098W	0	0	0	0	0	0.962	0.900	0	0.996
POL2	DPB4	634170	629955	4932.YNL262W	4932.YDR121W	0	0	0	0	0.075	0.965	0.900	0	0.996
SEC22	YKT6	633163	632661	4932.YLR268W	4932.YKL196C	0	0	0	0.676	0.052	0.963	0.900	0	0.996
YKT6	USE1	632661	630988	4932.YKL196C	4932.YGL098W	0	0	0	0	0	0.952	0.900	0	0.995
GLN1	GLT1	635273	629743	4932.YPR035W	4932.YDL171C	0.560	0	0	0	0.745	0	0.965	0	0.995
NOP58	PRP43	634845	631010	4932.YOR310C	4932.YGL120C	0	0	0	0	0.958	0.879	0	0	0.994
UFE1	SED5	634598	632894	4932.YOR075W	4932.YLR026C	0	0	0	0	0.076	0.943	0.900	0	0.994
POL2	DPB3	634170	629350	4932.YNL262W	4932.YBR278W	0	0	0	0	0	0.935	0.900	0	0.993
HIS1	HIS7	630572	629319	4932.YER055C	4932.YBR248C	0.560	0	0.410	0	0.877	0.590	0.610	0	0.993
SPO20	SED5	633553	632894	4932.YMR017W	4932.YLR026C	0	0	0	0	0	0.924	0.900	0	0.992
SPO20	YKT6	633553	632661	4932.YMR017W	4932.YKL196C	0	0	0	0	0.053	0.899	0.920	0	0.991
KRE33	PRP43	634036	631010	4932.YNL132W	4932.YGL120C	0.045	0	0	0	0.954	0.815	0	0	0.991
SPO20	SEC22	633553	633163	4932.YMR017W	4932.YLR268W	0	0	0	0	0.053	0.899	0.920	0	0.991
PRP19	PRP43	632834	631010	4932.YLL036C	4932.YGL120C	0	0	0	0	0.180	0.989	0	0	0.990
NOG1	KRE33	635034	634036	4932.YPL093W	4932.YNL132W	0	0	0	0	0.982	0.502	0	0	0.990
NOP56	PRP43	633086	631010	4932.YLR197W	4932.YGL120C	0	0	0	0	0.947	0.804	0	0	0.989
PRP43	CWC2	631010	629782	4932.YGL120C	4932.YDL209C	0	0	0	0	0.064	0.989	0	0	0.989
UFE1	SPO20	634598	633553	4932.YOR075W	4932.YMR017W	0	0	0	0	0	0.904	0.900	0	0.989
UFE1	YKT6	634598	632661	4932.YOR075W	4932.YKL196C	0	0	0	0	0.114	0.893	0.900	0	0.989
NOG1	PRP43	635034	631010	4932.YPL093W	4932.YGL120C	0	0	0	0	0.987	0.142	0	0	0.988
NOG1	UTP4	635034	630177	4932.YPL093W	4932.YDR324C	0	0	0	0	0.988	0	0	0	0.988
DPB2	DPB3	635429	629350	4932.YPR175W	4932.YBR278W	0	0	0	0	0	0.876	0.900	0	0.987
BNA5	BNA1	633123	632308	4932.YLR231C	4932.YJR025C	0.321	0	0.469	0	0.263	0	0.959	0	0.987
CPT1	EPT1	634033	631685	4932.YNL130C	4932.YHR123W	0	0	0	0.966	0.133	0.868	0.900	0	0.987
DPB2	DPB4	635429	629955	4932.YPR175W	4932.YDR121W	0	0	0	0	0.065	0.881	0.900	0	0.987
NOG1	NOP56	635034	633086	4932.YPL093W	4932.YLR197W	0	0	0	0	0.961	0.689	0	0	0.987
BNA5	BNA4	633123	629024	4932.YLR231C	4932.YBL098W	0.321	0	0.397	0	0.138	0	0.959	0	0.983
LEU9	LEU4	634631	634007	4932.YOR108W	4932.YNL104C	0	0	0.527	0.986	0	0.868	0.800	0	0.972
LEU1	GLT1	630896	629743	4932.YGL009C	4932.YDL171C	0.156	0	0	0	0.963	0.204	0	0	0.972
ALG13	ALG14	630936	629119	4932.YGL047W	4932.YBR070C	0	0.443	0	0	0.088	0.524	0.900	0	0.972
IDH2	GLT1	634659	629743	4932.YOR136W	4932.YDL171C	0.151	0	0	0	0.493	0	0.930	0	0.967
IDH1	GLT1	633934	629743	4932.YNL037C	4932.YDL171C	0.151	0	0	0	0.493	0	0.930	0	0.967
NRK1	URH1	634032	630261	4932.YNL129W	4932.YDR400W	0	0	0	0	0	0.654	0.900	0	0.963
PUT1	PUT2	633013	631584	4932.YLR142W	4932.YHR037W	0.187	0	0	0	0.372	0.371	0.900	0	0.963
SPE3	SPE2	635308	634390	4932.YPR069C	4932.YOL052C	0	0	0	0	0.111	0	0.958	0	0.961
FCY1	URH1	635301	630261	4932.YPR062W	4932.YDR400W	0	0	0	0	0	0	0.959	0	0.959
SPO20	USE1	633553	630988	4932.YMR017W	4932.YGL098W	0	0	0	0	0	0.599	0.900	0	0.958
ALG11	ALG2	633946	630955	4932.YNL048W	4932.YGL065C	0	0	0	0.618	0.089	0.524	0.900	0	0.952
SPE3	FMS1	635308	633556	4932.YPR069C	4932.YMR020W	0	0	0	0	0	0.371	0.900	0	0.934
INP54	PRP19	634404	632834	4932.YOL065C	4932.YLL036C	0	0	0	0	0	0.921	0	0	0.921
LYS12	ARO8	631908	631095	4932.YIL094C	4932.YGL202W	0.055	0	0	0	0.125	0	0.900	0	0.910
GLN1	PUT2	635273	631584	4932.YPR035W	4932.YHR037W	0.075	0	0	0	0.050	0	0.900	0	0.904
PUT2	GLT1	631584	629743	4932.YHR037W	4932.YDL171C	0.055	0	0	0	0.067	0	0.900	0	0.904
BNA5	BNA2	633123	632361	4932.YLR231C	4932.YJR078W	0.075	0	0	0	0	0	0.900	0	0.903
POL2	DLS1	634170	632111	4932.YNL262W	4932.YJL065C	0	0	0	0	0	0.533	0.800	0	0.902
INP54	MSS4	634404	630047	4932.YOL065C	4932.YDR208W	0	0	0	0	0.065	0	0.900	0	0.902
NRK1	NPY1	634032	630957	4932.YNL129W	4932.YGL067W	0	0	0	0	0	0	0.900	0	0.900
BNA2	ARO8	632361	631095	4932.YJR078W	4932.YGL202W	0	0	0	0	0	0	0.900	0	0.900
IDH2	LYS12	634659	631908	4932.YOR136W	4932.YIL094C	0	0	0.525	0.811	0	0.868	0	0	0.880
LEU9	LYS12	634631	631908	4932.YOR108W	4932.YIL094C	0.321	0	0	0	0.608	0	0.517	0	0.860
DLS1	DPB3	632111	629350	4932.YJL065C	4932.YBR278W	0	0	0	0.727	0	0.295	0.800	0	0.852
IDH1	LYS12	633934	631908	4932.YNL037C	4932.YIL094C	0	0	0.525	0.821	0.150	0.817	0	0	0.852
LEU4	IDH1	634007	633934	4932.YNL104C	4932.YNL037C	0.321	0	0	0	0.574	0	0.517	0	0.848
LEU9	LEU2	634631	629393	4932.YOR108W	4932.YCL018W	0.321	0	0	0	0.574	0	0.517	0	0.848
IDH2	LEU9	634659	634631	4932.YOR136W	4932.YOR108W	0.321	0	0	0	0.574	0	0.517	0	0.848
LEU4	LEU2	634007	629393	4932.YNL104C	4932.YCL018W	0.321	0	0	0	0.574	0	0.517	0	0.848
LEU4	LYS12	634007	631908	4932.YNL104C	4932.YIL094C	0.321	0	0	0	0.574	0	0.517	0	0.848
IDH2	LEU4	634659	634007	4932.YOR136W	4932.YNL104C	0.321	0	0	0	0.574	0	0.517	0	0.848
LEU9	IDH1	634631	633934	4932.YOR108W	4932.YNL037C	0.321	0	0	0	0.574	0	0.517	0	0.848
LYS12	GLT1	631908	629743	4932.YIL094C	4932.YDL171C	0.151	0	0	0	0.493	0	0.667	0	0.844
GLT1	LEU2	629743	629393	4932.YDL171C	4932.YCL018W	0.151	0	0	0	0.493	0	0.667	0	0.844
HIS5	HIS1	631934	630572	4932.YIL116W	4932.YER055C	0.321	0	0.491	0	0.540	0	0	0	0.827
HIS5	ARO8	631934	631095	4932.YIL116W	4932.YGL202W	0	0	0	0	0.118	0	0.800	0	0.816
DPB2	DLS1	635429	632111	4932.YPR175W	4932.YJL065C	0	0	0	0	0	0.106	0.800	0	0.813
