yourlist:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC1433	isomap:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC1433	Entry	Entry name		Protein names	Gene names	Organism	Length
ARFGAP1		Q9NP61	ARFG3_HUMAN	reviewed	ADP-ribosylation factor GTPase-activating protein 3 (ARF GAP 3)	ARFGAP3 ARFGAP1	Homo sapiens (Human)	516
ASNS		C9J057	C9J057_HUMAN	unreviewed	Asparagine synthetase [glutamine-hydrolyzing] (Fragment)	ASNS	Homo sapiens (Human)	214
ASNS		C9J605	C9J605_HUMAN	unreviewed	Asparagine synthetase [glutamine-hydrolyzing] (Fragment)	ASNS	Homo sapiens (Human)	32
ASNS		C9JLA3	C9JLA3_HUMAN	unreviewed	Asparagine synthetase [glutamine-hydrolyzing] (Fragment)	ASNS	Homo sapiens (Human)	28
ASNS		C9JLN6	C9JLN6_HUMAN	unreviewed	Asparagine synthetase [glutamine-hydrolyzing] (Fragment)	ASNS	Homo sapiens (Human)	63
ASNS		C9JM09	C9JM09_HUMAN	unreviewed	Asparagine synthetase [glutamine-hydrolyzing] (Fragment)	ASNS	Homo sapiens (Human)	118
ASNS		C9JT45	C9JT45_HUMAN	unreviewed	Asparagine synthetase [glutamine-hydrolyzing] (Fragment)	ASNS	Homo sapiens (Human)	162
ASNS		F8WEJ5	F8WEJ5_HUMAN	unreviewed	Asparagine synthetase [glutamine-hydrolyzing]	ASNS	Homo sapiens (Human)	401
ASNS		P08243	ASNS_HUMAN	reviewed	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4) (Cell cycle control protein TS11) (Glutamine-dependent asparagine synthetase)	ASNS TS11	Homo sapiens (Human)	561
ASNS		V9GZN1	V9GZN1_HUMAN	unreviewed	ASNS protein	ASNS	Homo sapiens (Human)	14
ATF3		A0A0A0MRJ2	A0A0A0MRJ2_HUMAN	unreviewed	Cyclic AMP-dependent transcription factor ATF-3 (Fragment)	ATF3	Homo sapiens (Human)	153
ATF3		P18847	ATF3_HUMAN	reviewed	Cyclic AMP-dependent transcription factor ATF-3 (cAMP-dependent transcription factor ATF-3) (Activating transcription factor 3)	ATF3	Homo sapiens (Human)	181
ATF3		Q5VTZ4	Q5VTZ4_HUMAN	unreviewed	Cyclic AMP-dependent transcription factor ATF-3 (Fragment)	ATF3	Homo sapiens (Human)	175
ATF3		Q7Z567	Q7Z567_HUMAN	unreviewed	Activating transcription factor 3 delta Zip3 (cDNA FLJ57271, highly similar to Cyclic AMP-dependent transcription factorATF-3)	ATF3	Homo sapiens (Human)	120
ATF4		P18848	ATF4_HUMAN	reviewed	Cyclic AMP-dependent transcription factor ATF-4 (cAMP-dependent transcription factor ATF-4) (Activating transcription factor 4) (Cyclic AMP-responsive element-binding protein 2) (CREB-2) (cAMP-responsive element-binding protein 2) (DNA-binding protein TAXREB67) (Tax-responsive enhancer element-binding protein 67) (TaxREB67)	ATF4 CREB2 TXREB	Homo sapiens (Human)	351
ATF4		Q6ICP0	Q6ICP0_HUMAN	unreviewed	ATF4 protein (Fragment)	ATF4	Homo sapiens (Human)	351
ATF4		Q96AQ3	Q96AQ3_HUMAN	unreviewed	ATF4 protein (Activating transcription factor 4 (Tax-responsive enhancer element B67)) (Activating transcription factor 4 (Tax-responsive enhancer element B67), isoform CRA_a)	ATF4 hCG_41721	Homo sapiens (Human)	351
ATF6		P18850	ATF6A_HUMAN	reviewed	Cyclic AMP-dependent transcription factor ATF-6 alpha (cAMP-dependent transcription factor ATF-6 alpha) (Activating transcription factor 6 alpha) (ATF6-alpha) [Cleaved into: Processed cyclic AMP-dependent transcription factor ATF-6 alpha]	ATF6	Homo sapiens (Human)	670
ATP6V0D1		C6SUN6	C6SUN6_HUMAN	unreviewed	ATPase H+ transporting V0 subunit D1 (Fragment)	ATP6V0D1	Homo sapiens (Human)	43
ATP6V0D1		F5GYQ1	F5GYQ1_HUMAN	unreviewed	V-type proton ATPase subunit d 1	ATP6V0D1	Homo sapiens (Human)	392
ATP6V0D1		F8WEN9	F8WEN9_HUMAN	unreviewed	V-type proton ATPase subunit d 1 (Fragment)	ATP6V0D1	Homo sapiens (Human)	58
ATP6V0D1		H3BPS0	H3BPS0_HUMAN	unreviewed	V-type proton ATPase subunit d 1 (Fragment)	ATP6V0D1	Homo sapiens (Human)	71
ATP6V0D1		H3BQB4	H3BQB4_HUMAN	unreviewed	V-type proton ATPase subunit d 1	ATP6V0D1	Homo sapiens (Human)	113
ATP6V0D1		H3BQJ1	H3BQJ1_HUMAN	unreviewed	V-type proton ATPase subunit d 1 (Fragment)	ATP6V0D1	Homo sapiens (Human)	227
ATP6V0D1		H3BSG7	H3BSG7_HUMAN	unreviewed	V-type proton ATPase subunit d 1	ATP6V0D1	Homo sapiens (Human)	115
ATP6V0D1		H3BTB4	H3BTB4_HUMAN	unreviewed	V-type proton ATPase subunit d 1 (Fragment)	ATP6V0D1	Homo sapiens (Human)	40
ATP6V0D1		H3BTB5	H3BTB5_HUMAN	unreviewed	V-type proton ATPase subunit d 1	ATP6V0D1	Homo sapiens (Human)	57
ATP6V0D1		H3BUQ0	H3BUQ0_HUMAN	unreviewed	V-type proton ATPase subunit d 1	ATP6V0D1	Homo sapiens (Human)	47
ATP6V0D1		J3QL14	J3QL14_HUMAN	unreviewed	V-type proton ATPase subunit d 1 (Fragment)	ATP6V0D1	Homo sapiens (Human)	232
ATP6V0D1		P61421	VA0D1_HUMAN	reviewed	V-type proton ATPase subunit d 1 (V-ATPase subunit d 1) (32 kDa accessory protein) (V-ATPase 40 kDa accessory protein) (V-ATPase AC39 subunit) (p39) (Vacuolar proton pump subunit d 1)	ATP6V0D1 ATP6D VPATPD	Homo sapiens (Human)	351
ATP6V0D1		R4GN72	R4GN72_HUMAN	unreviewed	V-type proton ATPase subunit d 1	ATP6V0D1	Homo sapiens (Human)	274
BAG3		C9JFK9	C9JFK9_HUMAN	unreviewed	BAG family molecular chaperone regulator 3 (Fragment)	BAG3	Homo sapiens (Human)	325
BAG3		O95817	BAG3_HUMAN	reviewed	BAG family molecular chaperone regulator 3 (BAG-3) (Bcl-2-associated athanogene 3) (Bcl-2-binding protein Bis) (Docking protein CAIR-1)	BAG3 BIS	Homo sapiens (Human)	575
BANF1		A0A024R5H0	A0A024R5H0_HUMAN	unreviewed	Barrier to autointegration factor 1, isoform CRA_a	BANF1 hCG_23287	Homo sapiens (Human)	89
BANF1		E9PJJ8	E9PJJ8_HUMAN	unreviewed	Barrier-to-autointegration factor (Fragment)	BANF1	Homo sapiens (Human)	28
BANF1		O75531	BAF_HUMAN	reviewed	Barrier-to-autointegration factor (Breakpoint cluster region protein 1) [Cleaved into: Barrier-to-autointegration factor, N-terminally processed]	BANF1 BAF BCRG1	Homo sapiens (Human)	89
CALR		A0A0F7W2W6	A0A0F7W2W6_HUMAN	unreviewed	Calreticulin (Fragment)	CALR	Homo sapiens (Human)	55
CALR		A0A0F7WAP3	A0A0F7WAP3_HUMAN	unreviewed	Calreticulin (Fragment)	CALR	Homo sapiens (Human)	66
CALR		A0A142IK94	A0A142IK94_HUMAN	unreviewed	Calreticulin (Fragment)	CALR	Homo sapiens (Human)	74
CALR		A0A142IKA1	A0A142IKA1_HUMAN	unreviewed	Calreticulin (Fragment)	CALR	Homo sapiens (Human)	74
CALR		A0A142IKA2	A0A142IKA2_HUMAN	unreviewed	Calreticulin (Fragment)	CALR	Homo sapiens (Human)	74
CALR		K7EJB9	K7EJB9_HUMAN	unreviewed	Calreticulin (Fragment)	CALR	Homo sapiens (Human)	247
CALR		K7EL50	K7EL50_HUMAN	unreviewed	Calreticulin (Fragment)	CALR	Homo sapiens (Human)	163
CALR		K7ELE2	K7ELE2_HUMAN	unreviewed	Calreticulin (Fragment)	CALR	Homo sapiens (Human)	13
CALR		P27797	CALR_HUMAN	reviewed	Calreticulin (CRP55) (Calregulin) (Endoplasmic reticulum resident protein 60) (ERp60) (HACBP) (grp60)	CALR CRTC	Homo sapiens (Human)	417
CALR		V9HW88	V9HW88_HUMAN	unreviewed	Calreticulin, isoform CRA_b (Epididymis secretory sperm binding protein Li 99n)	HEL-S-99n CALR hCG_172487	Homo sapiens (Human)	417
CCL2		J3KRT7	J3KRT7_HUMAN	unreviewed	C-C motif chemokine 2 (Chemokine (C-C motif) ligand 2, isoform CRA_a)	CCL2 hCG_29298	Homo sapiens (Human)	65
CCL2		P13500	CCL2_HUMAN	reviewed	C-C motif chemokine 2 (HC11) (Monocyte chemoattractant protein 1) (Monocyte chemotactic and activating factor) (MCAF) (Monocyte chemotactic protein 1) (MCP-1) (Monocyte secretory protein JE) (Small-inducible cytokine A2)	CCL2 MCP1 SCYA2	Homo sapiens (Human)	99
CEBPB		P17676	CEBPB_HUMAN	reviewed	CCAAT/enhancer-binding protein beta (C/EBP beta) (Liver activator protein) (LAP) (Liver-enriched inhibitory protein) (LIP) (Nuclear factor NF-IL6) (Transcription factor 5) (TCF-5)	CEBPB TCF5 PP9092	Homo sapiens (Human)	345
CEBPB		Q9BSC0	Q9BSC0_HUMAN	unreviewed	CEBPB protein (Fragment)	CEBPB	Homo sapiens (Human)	137
CEBPB		W8SNU6	W8SNU6_HUMAN	unreviewed	Transcription factor C/EBP beta (Fragment)	CEBPB	Homo sapiens (Human)	92
CEBPB		W8SNV5	W8SNV5_HUMAN	unreviewed	Transcription factor C/EBP beta (Fragment)	CEBPB	Homo sapiens (Human)	92
CEBPG		P53567	CEBPG_HUMAN	reviewed	CCAAT/enhancer-binding protein gamma (C/EBP gamma)	CEBPG	Homo sapiens (Human)	150
CHAC1		A0A0C4DGX1	A0A0C4DGX1_HUMAN	unreviewed	Gamma-glutamylcyclotransferase (EC 2.3.2.-)	CHAC1	Homo sapiens (Human)	222
CHAC1		H0YK90	H0YK90_HUMAN	unreviewed	Glutathione-specific gamma-glutamylcyclotransferase 1	CHAC1	Homo sapiens (Human)	37
CHAC1		Q9BUX1	CHAC1_HUMAN	reviewed	Glutathione-specific gamma-glutamylcyclotransferase 1 (Gamma-GCG 1) (EC 2.3.2.-) (Blocks Notch protein) (Botch) (Cation transport regulator-like protein 1)	CHAC1 BOTCH	Homo sapiens (Human)	264
CKS1B		D3DV79	D3DV79_HUMAN	unreviewed	Cyclin-dependent kinases regulatory subunit	CKS1B hCG_1739274	Homo sapiens (Human)	57
CKS1B		P61024	CKS1_HUMAN	reviewed	Cyclin-dependent kinases regulatory subunit 1 (CKS-1)	CKS1B CKS1 PNAS-143 PNAS-16	Homo sapiens (Human)	79
CKS1B		Q5T178	Q5T178_HUMAN	unreviewed	Cyclin-dependent kinases regulatory subunit	CKS1B hCG_1739274	Homo sapiens (Human)	79
CKS1B		Q5T179	Q5T179_HUMAN	unreviewed	Cyclin-dependent kinases regulatory subunit	CKS1B	Homo sapiens (Human)	67
CKS1B		Q9BZU3	Q9BZU3_HUMAN	unreviewed	Cyclin-dependent kinases regulatory subunit	CKS1B hCG_1739274	Homo sapiens (Human)	63
CNOT2		A0A024RBD8	A0A024RBD8_HUMAN	unreviewed	CCR4-NOT transcription complex, subunit 2, isoform CRA_c (CCR4-NOT transcription complex, subunit 2, isoform CRA_d)	CNOT2 hCG_25144	Homo sapiens (Human)	540
CNOT2		A0A087X050	A0A087X050_HUMAN	unreviewed	CCR4-NOT transcription complex subunit 2 (Fragment)	CNOT2	Homo sapiens (Human)	152
CNOT2		F8VP97	F8VP97_HUMAN	unreviewed	CCR4-NOT transcription complex subunit 2 (Fragment)	CNOT2	Homo sapiens (Human)	321
CNOT2		F8VPX5	F8VPX5_HUMAN	unreviewed	CCR4-NOT transcription complex subunit 2 (Fragment)	CNOT2	Homo sapiens (Human)	25
CNOT2		F8VQD8	F8VQD8_HUMAN	unreviewed	CCR4-NOT transcription complex subunit 2 (Fragment)	CNOT2	Homo sapiens (Human)	131
CNOT2		F8VQF4	F8VQF4_HUMAN	unreviewed	CCR4-NOT transcription complex subunit 2 (Fragment)	CNOT2	Homo sapiens (Human)	144
CNOT2		F8VRJ3	F8VRJ3_HUMAN	unreviewed	CCR4-NOT transcription complex subunit 2 (Fragment)	CNOT2	Homo sapiens (Human)	68
CNOT2		F8VRS8	F8VRS8_HUMAN	unreviewed	CCR4-NOT transcription complex subunit 2 (Fragment)	CNOT2	Homo sapiens (Human)	276
CNOT2		F8VS14	F8VS14_HUMAN	unreviewed	CCR4-NOT transcription complex subunit 2	CNOT2	Homo sapiens (Human)	54
CNOT2		F8VSK9	F8VSK9_HUMAN	unreviewed	CCR4-NOT transcription complex subunit 2	CNOT2	Homo sapiens (Human)	36
CNOT2		F8VUB4	F8VUB4_HUMAN	unreviewed	CCR4-NOT transcription complex subunit 2 (Fragment)	CNOT2	Homo sapiens (Human)	196
CNOT2		F8VV05	F8VV05_HUMAN	unreviewed	CCR4-NOT transcription complex subunit 2	CNOT2	Homo sapiens (Human)	76
CNOT2		F8VV52	F8VV52_HUMAN	unreviewed	CCR4-NOT transcription complex subunit 2 (Fragment)	CNOT2	Homo sapiens (Human)	531
CNOT2		F8VVD4	F8VVD4_HUMAN	unreviewed	CCR4-NOT transcription complex subunit 2	CNOT2	Homo sapiens (Human)	62
CNOT2		F8VVY1	F8VVY1_HUMAN	unreviewed	CCR4-NOT transcription complex subunit 2 (Fragment)	CNOT2	Homo sapiens (Human)	182
CNOT2		F8VWH8	F8VWH8_HUMAN	unreviewed	CCR4-NOT transcription complex subunit 2 (Fragment)	CNOT2	Homo sapiens (Human)	81
CNOT2		F8VX63	F8VX63_HUMAN	unreviewed	CCR4-NOT transcription complex subunit 2 (Fragment)	CNOT2	Homo sapiens (Human)	217
CNOT2		F8W145	F8W145_HUMAN	unreviewed	CCR4-NOT transcription complex subunit 2 (Fragment)	CNOT2	Homo sapiens (Human)	309
CNOT2		H0YH84	H0YH84_HUMAN	unreviewed	CCR4-NOT transcription complex subunit 2 (Fragment)	CNOT2	Homo sapiens (Human)	186
CNOT2		H0YHT6	H0YHT6_HUMAN	unreviewed	CCR4-NOT transcription complex subunit 2 (Fragment)	CNOT2	Homo sapiens (Human)	104
CNOT2		H0YHT8	H0YHT8_HUMAN	unreviewed	CCR4-NOT transcription complex subunit 2 (Fragment)	CNOT2	Homo sapiens (Human)	46
CNOT2		H0YI11	H0YI11_HUMAN	unreviewed	CCR4-NOT transcription complex subunit 2 (Fragment)	CNOT2	Homo sapiens (Human)	182
CNOT2		H0YI80	H0YI80_HUMAN	unreviewed	CCR4-NOT transcription complex subunit 2 (Fragment)	CNOT2	Homo sapiens (Human)	99
CNOT2		Q9NZN8	CNOT2_HUMAN	reviewed	CCR4-NOT transcription complex subunit 2 (CCR4-associated factor 2)	CNOT2 CDC36 NOT2 HSPC131 MSTP046	Homo sapiens (Human)	540
CNOT4		A0A024R776	A0A024R776_HUMAN	unreviewed	CCR4-NOT transcription complex, subunit 4, isoform CRA_a	CNOT4 hCG_19348	Homo sapiens (Human)	572
CNOT4		A0A024R781	A0A024R781_HUMAN	unreviewed	CCR4-NOT transcription complex, subunit 4, isoform CRA_b	CNOT4 hCG_19348	Homo sapiens (Human)	642
CNOT4		A0A024R785	A0A024R785_HUMAN	unreviewed	CCR4-NOT transcription complex, subunit 4, isoform CRA_c	CNOT4 hCG_19348	Homo sapiens (Human)	575
CNOT4		A0A0A0MRD2	A0A0A0MRD2_HUMAN	unreviewed	CCR4-NOT transcription complex subunit 4	CNOT4	Homo sapiens (Human)	175
CNOT4		O95628	CNOT4_HUMAN	reviewed	CCR4-NOT transcription complex subunit 4 (EC 2.3.2.27) (CCR4-associated factor 4) (E3 ubiquitin-protein ligase CNOT4) (Potential transcriptional repressor NOT4Hp) (RING-type E3 ubiquitin transferase CNOT4)	CNOT4 NOT4	Homo sapiens (Human)	575
CNOT6		D6R9H6	D6R9H6_HUMAN	unreviewed	CCR4-NOT transcription complex subunit 6 (Fragment)	CNOT6	Homo sapiens (Human)	234
CNOT6		Q8TAJ0	Q8TAJ0_HUMAN	unreviewed	CNOT6 protein (cDNA, FLJ95618)	CNOT6	Homo sapiens (Human)	92
CNOT6		Q9ULM6	CNOT6_HUMAN	reviewed	CCR4-NOT transcription complex subunit 6 (EC 3.1.13.4) (CCR4 carbon catabolite repression 4-like) (Carbon catabolite repressor protein 4 homolog) (Cytoplasmic deadenylase)	CNOT6 CCR4 CCR4a KIAA1194	Homo sapiens (Human)	557
CXXC1		K7EJR0	K7EJR0_HUMAN	unreviewed	CXXC-type zinc finger protein 1 (Fragment)	CXXC1	Homo sapiens (Human)	231
CXXC1		K7EKZ6	K7EKZ6_HUMAN	unreviewed	CXXC-type zinc finger protein 1 (Fragment)	CXXC1	Homo sapiens (Human)	250
CXXC1		K7EQ21	K7EQ21_HUMAN	unreviewed	CXXC finger 1 (PHD domain), isoform CRA_c (CXXC-type zinc finger protein 1)	CXXC1 hCG_23689	Homo sapiens (Human)	613
CXXC1		K7EQZ1	K7EQZ1_HUMAN	unreviewed	CXXC-type zinc finger protein 1 (Fragment)	CXXC1	Homo sapiens (Human)	252
CXXC1		Q9P0U4	CXXC1_HUMAN	reviewed	CXXC-type zinc finger protein 1 (CpG-binding protein) (PHD finger and CXXC domain-containing protein 1)	CXXC1 CFP1 CGBP PCCX1 PHF18	Homo sapiens (Human)	656
DCP1A		A0A087WT55	A0A087WT55_HUMAN	unreviewed	mRNA-decapping enzyme 1A (Fragment)	DCP1A	Homo sapiens (Human)	260
DCP1A		A0A087WVE6	A0A087WVE6_HUMAN	unreviewed	mRNA-decapping enzyme 1A (Fragment)	DCP1A	Homo sapiens (Human)	191
DCP1A		A0A087WXD0	A0A087WXD0_HUMAN	unreviewed	mRNA-decapping enzyme 1A	DCP1A	Homo sapiens (Human)	102
DCP1A		A0A0S2Z5I2	A0A0S2Z5I2_HUMAN	unreviewed	DCP1 decapping enzyme-like protein A isoform 4 (Fragment)	DCP1A	Homo sapiens (Human)	307
DCP1A		A0A0S2Z5K3	A0A0S2Z5K3_HUMAN	unreviewed	DCP1 decapping enzyme-like protein A isoform 3 (Fragment)	DCP1A	Homo sapiens (Human)	546
DCP1A		A0A0S2Z5R3	A0A0S2Z5R3_HUMAN	unreviewed	DCP1 decapping enzyme-like protein A isoform 1 (Fragment)	DCP1A	Homo sapiens (Human)	582
DCP1A		Q9NPI6	DCP1A_HUMAN	reviewed	mRNA-decapping enzyme 1A (EC 3.-.-.-) (Smad4-interacting transcriptional co-activator) (Transcription factor SMIF)	DCP1A SMIF	Homo sapiens (Human)	582
DCP2		D6RCL0	D6RCL0_HUMAN	unreviewed	m7GpppN-mRNA hydrolase	DCP2	Homo sapiens (Human)	74
DCP2		H0Y9T5	H0Y9T5_HUMAN	unreviewed	m7GpppN-mRNA hydrolase (Fragment)	DCP2	Homo sapiens (Human)	402
DCP2		Q8IU60	DCP2_HUMAN	reviewed	m7GpppN-mRNA hydrolase (EC 3.6.1.62) (Nucleoside diphosphate-linked moiety X motif 20) (Nudix motif 20) (mRNA-decapping enzyme 2) (hDpc)	DCP2 NUDT20	Homo sapiens (Human)	420
DCTN1		C9J1B7	C9J1B7_HUMAN	unreviewed	Dynactin subunit 1 (Fragment)	DCTN1	Homo sapiens (Human)	64
DCTN1		C9JJD0	C9JJD0_HUMAN	unreviewed	Dynactin subunit 1 (Fragment)	DCTN1	Homo sapiens (Human)	121
DCTN1		C9JJN7	C9JJN7_HUMAN	unreviewed	Dynactin subunit 1 (Fragment)	DCTN1	Homo sapiens (Human)	87
DCTN1		C9JKG6	C9JKG6_HUMAN	unreviewed	Dynactin subunit 1 (Fragment)	DCTN1	Homo sapiens (Human)	135
DCTN1		C9JTE5	C9JTE5_HUMAN	unreviewed	Dynactin subunit 1 (Fragment)	DCTN1	Homo sapiens (Human)	76
DCTN1		C9JUI8	C9JUI8_HUMAN	unreviewed	Dynactin subunit 1 (Fragment)	DCTN1	Homo sapiens (Human)	13
DCTN1		C9JZA4	C9JZA4_HUMAN	unreviewed	Dynactin subunit 1 (Fragment)	DCTN1	Homo sapiens (Human)	76
DCTN1		E7EX90	E7EX90_HUMAN	unreviewed	Dynactin subunit 1	DCTN1	Homo sapiens (Human)	1256
DCTN1		E9PCY0	E9PCY0_HUMAN	unreviewed	Dynactin subunit 1 (Fragment)	DCTN1	Homo sapiens (Human)	186
DCTN1		L8EA71	L8EA71_HUMAN	unreviewed	Alternative protein DCTN1	DCTN1	Homo sapiens (Human)	65
DCTN1		Q14203	DCTN1_HUMAN	reviewed	Dynactin subunit 1 (150 kDa dynein-associated polypeptide) (DAP-150) (DP-150) (p135) (p150-glued)	DCTN1	Homo sapiens (Human)	1278
DCTN1		Q6AWB1	Q6AWB1_HUMAN	unreviewed	Dynactin subunit 1 (Putative uncharacterized protein DKFZp686E0752)	DKFZp686E0752 DCTN1	Homo sapiens (Human)	890
DDIT4		A0A024QZQ6	A0A024QZQ6_HUMAN	unreviewed	DNA-damage-inducible transcript 4, isoform CRA_a	DDIT4 hCG_2024489	Homo sapiens (Human)	232
DDIT4		Q9NX09	DDIT4_HUMAN	reviewed	DNA damage-inducible transcript 4 protein (HIF-1 responsive protein RTP801) (Protein regulated in development and DNA damage response 1) (REDD-1)	DDIT4 REDD1 RTP801	Homo sapiens (Human)	232
DDX10		E9PIF2	E9PIF2_HUMAN	unreviewed	RNA helicase (EC 3.6.4.13)	DDX10	Homo sapiens (Human)	835
DDX10		Q13206	DDX10_HUMAN	reviewed	Probable ATP-dependent RNA helicase DDX10 (EC 3.6.4.13) (DEAD box protein 10)	DDX10	Homo sapiens (Human)	875
DDX10		Q86VR6	Q86VR6_HUMAN	unreviewed	RNA helicase (EC 3.6.4.13) (Fragment)	DDX10	Homo sapiens (Human)	745
DKC1		C9IYT0	C9IYT0_HUMAN	unreviewed	H/ACA ribonucleoprotein complex subunit 4 (Fragment)	DKC1	Homo sapiens (Human)	258
DKC1		H7BZF2	H7BZF2_HUMAN	unreviewed	H/ACA ribonucleoprotein complex subunit 4 (Fragment)	DKC1	Homo sapiens (Human)	76
DKC1		H7C0M1	H7C0M1_HUMAN	unreviewed	H/ACA ribonucleoprotein complex subunit 4 (Fragment)	DKC1	Homo sapiens (Human)	229
DKC1		H7C2Q2	H7C2Q2_HUMAN	unreviewed	H/ACA ribonucleoprotein complex subunit 4 (Fragment)	DKC1	Homo sapiens (Human)	207
DKC1		H7C2Q9	H7C2Q9_HUMAN	unreviewed	H/ACA ribonucleoprotein complex subunit 4 (Fragment)	DKC1	Homo sapiens (Human)	169
DKC1		O60832	DKC1_HUMAN	reviewed	H/ACA ribonucleoprotein complex subunit 4 (EC 5.4.99.-) (CBF5 homolog) (Dyskerin) (Nopp140-associated protein of 57 kDa) (Nucleolar protein NAP57) (Nucleolar protein family A member 4) (snoRNP protein DKC1)	DKC1 NOLA4	Homo sapiens (Human)	514
DKC1		O95940	O95940_HUMAN	unreviewed	Dyskerin (Fragment)	dkc1	Homo sapiens (Human)	27
DNAJA4		C9JDE6	C9JDE6_HUMAN	unreviewed	DnaJ homolog subfamily A member 4	DNAJA4	Homo sapiens (Human)	211
DNAJA4		F5GWV1	F5GWV1_HUMAN	unreviewed	DnaJ homolog subfamily A member 4	DNAJA4	Homo sapiens (Human)	53
DNAJA4		F5H170	F5H170_HUMAN	unreviewed	DnaJ homolog subfamily A member 4	DNAJA4	Homo sapiens (Human)	219
DNAJA4		F5H300	F5H300_HUMAN	unreviewed	DnaJ homolog subfamily A member 4	DNAJA4	Homo sapiens (Human)	139
DNAJA4		F8WF76	F8WF76_HUMAN	unreviewed	DnaJ homolog subfamily A member 4	DNAJA4	Homo sapiens (Human)	114
DNAJA4		Q8WW22	DNJA4_HUMAN	reviewed	DnaJ homolog subfamily A member 4	DNAJA4	Homo sapiens (Human)	397
DNAJA4		Q9P1H1	Q9P1H1_HUMAN	unreviewed	DnaJ (Hsp40) homolog, subfamily A, member 4, isoform CRA_a (PRO1472)	DNAJA4 hCG_2006274	Homo sapiens (Human)	155
DNAJB9		Q6FIF1	Q6FIF1_HUMAN	unreviewed	DNAJB9 protein (DnaJ (Hsp40) homolog, subfamily B, member 9) (DnaJ (Hsp40) homolog, subfamily B, member 9, isoform CRA_b) (MSTP049) (cDNA FLJ34885 fis, clone NT2NE2016608, highly similar to DnaJ homolog subfamily B member 9)	DNAJB9 MST049 hCG_17113 tcag7.15	Homo sapiens (Human)	223
DNAJB9		Q9UBS3	DNJB9_HUMAN	reviewed	DnaJ homolog subfamily B member 9 (Endoplasmic reticulum DNA J domain-containing protein 4) (ER-resident protein ERdj4) (ERdj4) (Microvascular endothelial differentiation gene 1 protein) (Mdg-1)	DNAJB9 MDG1 UNQ743/PRO1471	Homo sapiens (Human)	223
DNAJC3		A8KA82	A8KA82_HUMAN	unreviewed	DnaJ (Hsp40) homolog, subfamily C, member 3 (cDNA FLJ77657, highly similar to Homo sapiens DnaJ (Hsp40) homolog, subfamily C, member 3 (DNAJC3), mRNA) (cDNA, FLJ93304, Homo sapiens DnaJ (Hsp40) homolog, subfamily C, member 3 (DNAJC3),mRNA)	DNAJC3 hCG_28703	Homo sapiens (Human)	504
