yourlist:M20170427F725F458AC8690F874DD868E4ED79B88B1B382Z	isomap:M20170427F725F458AC8690F874DD868E4ED79B88B1B382Z	Entry	Entry name		Protein names	Gene names	Organism	Length
ACAA1		B4DVF4	B4DVF4_HUMAN	unreviewed	3-ketoacyl-CoA thiolase, peroxisomal (cDNA FLJ54941, highly similar to 3-ketoacyl-CoA thiolase, peroxisomal (EC 2.3.1.16)) (cDNA, FLJ79450, highly similar to 3-ketoacyl-CoA thiolase, peroxisomal (EC 2.3.1.16))	ACAA1	Homo sapiens (Human)	153
ACAA1		C9JDE9	C9JDE9_HUMAN	unreviewed	3-ketoacyl-CoA thiolase, peroxisomal	ACAA1	Homo sapiens (Human)	383
ACAA1		F2Z2Q6	F2Z2Q6_HUMAN	unreviewed	3-ketoacyl-CoA thiolase, peroxisomal	ACAA1	Homo sapiens (Human)	113
ACAA1		F2Z3P7	F2Z3P7_HUMAN	unreviewed	3-ketoacyl-CoA thiolase, peroxisomal	ACAA1	Homo sapiens (Human)	121
ACAA1		H0Y4D4	H0Y4D4_HUMAN	unreviewed	3-ketoacyl-CoA thiolase, peroxisomal (Fragment)	ACAA1	Homo sapiens (Human)	237
ACAA1		H7C131	H7C131_HUMAN	unreviewed	3-ketoacyl-CoA thiolase, peroxisomal (Fragment)	ACAA1	Homo sapiens (Human)	290
ACAA1		P09110	THIK_HUMAN	reviewed	3-ketoacyl-CoA thiolase, peroxisomal (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase) (Peroxisomal 3-oxoacyl-CoA thiolase)	ACAA1 ACAA PTHIO	Homo sapiens (Human)	424
ACAA2		A0A024R269	A0A024R269_HUMAN	unreviewed	Acetyl-Coenzyme A acyltransferase 2 (Mitochondrial 3-oxoacyl-Coenzyme A thiolase), isoform CRA_d	ACAA2 hCG_1979218	Homo sapiens (Human)	1228
ACAA2		A0A0B4J2A4	A0A0B4J2A4_HUMAN	unreviewed	3-ketoacyl-CoA thiolase, mitochondrial	ACAA2	Homo sapiens (Human)	394
ACAA2		K7EJ68	K7EJ68_HUMAN	unreviewed	3-ketoacyl-CoA thiolase, mitochondrial (Fragment)	ACAA2	Homo sapiens (Human)	124
ACAA2		K7EJB1	K7EJB1_HUMAN	unreviewed	3-ketoacyl-CoA thiolase, mitochondrial (Fragment)	ACAA2	Homo sapiens (Human)	84
ACAA2		K7EME0	K7EME0_HUMAN	unreviewed	3-ketoacyl-CoA thiolase, mitochondrial	ACAA2	Homo sapiens (Human)	342
ACAA2		K7ER88	K7ER88_HUMAN	unreviewed	3-ketoacyl-CoA thiolase, mitochondrial (Fragment)	ACAA2	Homo sapiens (Human)	72
ACAA2		P42765	THIM_HUMAN	reviewed	3-ketoacyl-CoA thiolase, mitochondrial (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase) (Mitochondrial 3-oxoacyl-CoA thiolase) (T1)	ACAA2	Homo sapiens (Human)	397
ACADM		A0A0S2Z366	A0A0S2Z366_HUMAN	unreviewed	Acyl-CoA dehydrogenase C-4 to C-12 straight chain isoform 1 (Testicular tissue protein Li 7) (Fragment)	ACADM	Homo sapiens (Human)	421
ACADM		A0A0S2Z3A5	A0A0S2Z3A5_HUMAN	unreviewed	Acyl-CoA dehydrogenase C-4 to C-12 straight chain isoform 4 (Fragment)	ACADM	Homo sapiens (Human)	219
ACADM		B7Z9I1	B7Z9I1_HUMAN	unreviewed	Medium-chain-specific acyl-CoA dehydrogenase, mitochondrial (cDNA, FLJ78845, highly similar to Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (EC 1.3.99.3))	ACADM	Homo sapiens (Human)	385
ACADM		E9PIX8	E9PIX8_HUMAN	unreviewed	Acyl-CoA dehydrogenase C-4 to C-12 straight chain isoform 3 (Medium-chain-specific acyl-CoA dehydrogenase, mitochondrial)	ACADM	Homo sapiens (Human)	47
ACADM		E9PJM9	E9PJM9_HUMAN	unreviewed	Medium-chain-specific acyl-CoA dehydrogenase, mitochondrial	ACADM	Homo sapiens (Human)	104
ACADM		E9PLN7	E9PLN7_HUMAN	unreviewed	Medium-chain-specific acyl-CoA dehydrogenase, mitochondrial	ACADM	Homo sapiens (Human)	50
ACADM		E9PQA8	E9PQA8_HUMAN	unreviewed	Medium-chain-specific acyl-CoA dehydrogenase, mitochondrial	ACADM	Homo sapiens (Human)	45
ACADM		E9PRX4	E9PRX4_HUMAN	unreviewed	Medium-chain-specific acyl-CoA dehydrogenase, mitochondrial	ACADM	Homo sapiens (Human)	76
ACADM		H0YDT5	H0YDT5_HUMAN	unreviewed	Medium-chain-specific acyl-CoA dehydrogenase, mitochondrial (Fragment)	ACADM	Homo sapiens (Human)	67
ACADM		P11310	ACADM_HUMAN	reviewed	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (MCAD) (EC 1.3.8.7)	ACADM	Homo sapiens (Human)	421
ACADM		Q5T4U5	Q5T4U5_HUMAN	unreviewed	Acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain, isoform CRA_a (Medium-chain-specific acyl-CoA dehydrogenase, mitochondrial)	ACADM hCG_22915	Homo sapiens (Human)	454
ACADSB		A0A0S2Z374	A0A0S2Z374_HUMAN	unreviewed	Acyl-CoA dehydrogenase short/branched chain isoform 2	ACADSB	Homo sapiens (Human)	67
ACADSB		A0A0S2Z3P9	A0A0S2Z3P9_HUMAN	unreviewed	Acyl-CoA dehydrogenase short/branched chain isoform 1 (Fragment)	ACADSB	Homo sapiens (Human)	432
ACADSB		P45954	ACDSB_HUMAN	reviewed	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial (SBCAD) (EC 1.3.8.5) (2-methyl branched chain acyl-CoA dehydrogenase) (2-MEBCAD) (2-methylbutyryl-coenzyme A dehydrogenase) (2-methylbutyryl-CoA dehydrogenase)	ACADSB	Homo sapiens (Human)	432
ACADVL		A0A077H1I5	A0A077H1I5_HUMAN	unreviewed	VLCAD (EC 1.3.8.8) (Fragment)	ACADVL	Homo sapiens (Human)	66
ACADVL		B3KPA6	B3KPA6_HUMAN	unreviewed	Acyl-Coenzyme A dehydrogenase, very long chain, isoform CRA_e (cDNA FLJ31521 fis, clone NT2RI2000255, highly similar to Very-long-chain specific acyl-CoAdehydrogenase, mitochondrial (EC 1.3.99.-))	ACADVL hCG_42007	Homo sapiens (Human)	579
ACADVL		G3V1M7	G3V1M7_HUMAN	unreviewed	Very long-chain-specific acyl-CoA dehydrogenase, mitochondrial (Fragment)	ACADVL	Homo sapiens (Human)	282
ACADVL		J3KS89	J3KS89_HUMAN	unreviewed	Very long-chain-specific acyl-CoA dehydrogenase, mitochondrial (Fragment)	ACADVL	Homo sapiens (Human)	76
ACADVL		J3KSR4	J3KSR4_HUMAN	unreviewed	Very long-chain-specific acyl-CoA dehydrogenase, mitochondrial (Fragment)	ACADVL	Homo sapiens (Human)	204
ACADVL		J3QKU9	J3QKU9_HUMAN	unreviewed	Very long-chain-specific acyl-CoA dehydrogenase, mitochondrial (Fragment)	ACADVL	Homo sapiens (Human)	155
ACADVL		J3QRJ8	J3QRJ8_HUMAN	unreviewed	Very long-chain-specific acyl-CoA dehydrogenase, mitochondrial (Fragment)	ACADVL	Homo sapiens (Human)	194
ACADVL		J9JID6	J9JID6_HUMAN	unreviewed	Very long-chain-specific acyl-CoA dehydrogenase, mitochondrial	ACADVL	Homo sapiens (Human)	39
ACADVL		K7EJW8	K7EJW8_HUMAN	unreviewed	Very long-chain-specific acyl-CoA dehydrogenase, mitochondrial (Fragment)	ACADVL	Homo sapiens (Human)	157
ACADVL		K7EMF8	K7EMF8_HUMAN	unreviewed	Very long-chain-specific acyl-CoA dehydrogenase, mitochondrial (Fragment)	ACADVL	Homo sapiens (Human)	45
ACADVL		K7EQP4	K7EQP4_HUMAN	unreviewed	Very long-chain-specific acyl-CoA dehydrogenase, mitochondrial (Fragment)	ACADVL	Homo sapiens (Human)	224
ACADVL		P49748	ACADV_HUMAN	reviewed	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial (VLCAD) (EC 1.3.8.9)	ACADVL VLCAD	Homo sapiens (Human)	655
ACAT1		E9PKF3	E9PKF3_HUMAN	unreviewed	Acetyl-CoA acetyltransferase, mitochondrial (Fragment)	ACAT1	Homo sapiens (Human)	54
ACAT1		E9PRQ6	E9PRQ6_HUMAN	unreviewed	Acetyl-CoA acetyltransferase, mitochondrial	ACAT1	Homo sapiens (Human)	141
ACAT1		H0YEL7	H0YEL7_HUMAN	unreviewed	Acetyl-CoA acetyltransferase, mitochondrial (Fragment)	ACAT1	Homo sapiens (Human)	136
ACAT1		P24752	THIL_HUMAN	reviewed	Acetyl-CoA acetyltransferase, mitochondrial (EC 2.3.1.9) (Acetoacetyl-CoA thiolase) (T2)	ACAT1 ACAT MAT	Homo sapiens (Human)	427
ACAT1		P35610	SOAT1_HUMAN	reviewed	Sterol O-acyltransferase 1 (EC 2.3.1.26) (Acyl-coenzyme A:cholesterol acyltransferase 1) (ACAT-1) (Cholesterol acyltransferase 1)	SOAT1 ACACT ACACT1 ACAT ACAT1 SOAT STAT	Homo sapiens (Human)	550
ACO2		A2A274	A2A274_HUMAN	unreviewed	Aconitate hydratase, mitochondrial	ACO2	Homo sapiens (Human)	805
ACO2		Q71UF1	Q71UF1_HUMAN	unreviewed	Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.-)	ACO2	Homo sapiens (Human)	780
ACO2		Q99798	ACON_HUMAN	reviewed	Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)	ACO2	Homo sapiens (Human)	780
AFG3L2		D3DUJ0	D3DUJ0_HUMAN	unreviewed	AFG3 ATPase family gene 3-like 2 (Yeast), isoform CRA_a (Fragment)	AFG3L2 hCG_38275	Homo sapiens (Human)	759
AFG3L2		K7EP56	K7EP56_HUMAN	unreviewed	AFG3-like protein 2 (Fragment)	AFG3L2	Homo sapiens (Human)	209
AFG3L2		Q9Y4W6	AFG32_HUMAN	reviewed	AFG3-like protein 2 (EC 3.4.24.-) (Paraplegin-like protein)	AFG3L2	Homo sapiens (Human)	797
AIFM1		E9PMA0	E9PMA0_HUMAN	unreviewed	Apoptosis-inducing factor 1, mitochondrial	AIFM1	Homo sapiens (Human)	274
AIFM1		E9PMQ8	E9PMQ8_HUMAN	unreviewed	Apoptosis-inducing factor 1, mitochondrial	AIFM1	Homo sapiens (Human)	89
AIFM1		E9PRR0	E9PRR0_HUMAN	unreviewed	Apoptosis-inducing factor 1, mitochondrial	AIFM1	Homo sapiens (Human)	43
AIFM1		L8E8P8	L8E8P8_HUMAN	unreviewed	Alternative protein AIFM1	AIFM1	Homo sapiens (Human)	50
AIFM1		O95831	AIFM1_HUMAN	reviewed	Apoptosis-inducing factor 1, mitochondrial (EC 1.1.1.-) (Programmed cell death protein 8)	AIFM1 AIF PDCD8	Homo sapiens (Human)	613
ALAS1		H7C4H7	H7C4H7_HUMAN	unreviewed	5-aminolevulinate synthase, nonspecific, mitochondrial (Fragment)	ALAS1	Homo sapiens (Human)	237
ALAS1		H7C5B0	H7C5B0_HUMAN	unreviewed	5-aminolevulinate synthase, nonspecific, mitochondrial (Fragment)	ALAS1	Homo sapiens (Human)	117
ALAS1		P13196	HEM1_HUMAN	reviewed	5-aminolevulinate synthase, nonspecific, mitochondrial (ALAS-H) (EC 2.3.1.37) (5-aminolevulinic acid synthase 1) (Delta-ALA synthase 1) (Delta-aminolevulinate synthase 1)	ALAS1 ALAS3 ALASH OK/SW-cl.121	Homo sapiens (Human)	640
ALAS1		Q5JAM2	Q5JAM2_HUMAN	unreviewed	5-aminolevulinate synthase (EC 2.3.1.37) (5-aminolevulinic acid synthase) (Delta-ALA synthase) (Delta-aminolevulinate synthase)	ALAS1 hCG_42575	Homo sapiens (Human)	640
ALDH6A1		A0A024R6G4	A0A024R6G4_HUMAN	unreviewed	Aldehyde dehydrogenase 6 family, member A1, isoform CRA_b (Testicular tissue protein Li 122)	ALDH6A1 hCG_21723	Homo sapiens (Human)	535
ALDH6A1		G3V4Z4	G3V4Z4_HUMAN	unreviewed	Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial	ALDH6A1	Homo sapiens (Human)	252
ALDH6A1		Q02252	MMSA_HUMAN	reviewed	Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial (MMSDH) (Malonate-semialdehyde dehydrogenase [acylating]) (EC 1.2.1.18) (EC 1.2.1.27) (Aldehyde dehydrogenase family 6 member A1)	ALDH6A1 MMSDH	Homo sapiens (Human)	535
ATP1B1		A3KLL5	A3KLL5_HUMAN	unreviewed	Sodium/potassium-transporting ATPase subunit beta	ATP1B1 hCG_37798	Homo sapiens (Human)	303
ATP1B1		L0R585	L0R585_HUMAN	unreviewed	Alternative protein ATP1B1	ATP1B1	Homo sapiens (Human)	51
ATP1B1		P05026	AT1B1_HUMAN	reviewed	Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1)	ATP1B1 ATP1B	Homo sapiens (Human)	303
ATP1B1		Q58I20	Q58I20_HUMAN	unreviewed	Na+/K+ transporting ATPase beta 1 polypeptide (Fragment)	ATP1B1	Homo sapiens (Human)	119
ATP1B1		Q6LEU2	Q6LEU2_HUMAN	unreviewed	Sodium/potassium-transporting ATPase subunit beta (Fragment)	ATP1B1	Homo sapiens (Human)	303
ATP1B1		V9GYR2	V9GYR2_HUMAN	unreviewed	Sodium/potassium-transporting ATPase subunit beta (Fragment)	ATP1B1	Homo sapiens (Human)	130
ATP5A1		A0A0A0MTS3	A0A0A0MTS3_HUMAN	unreviewed	ATP synthase subunit alpha, mitochondrial	ATP5A1	Homo sapiens (Human)	90
ATP5A1		K7EJP1	K7EJP1_HUMAN	unreviewed	ATP synthase subunit alpha, mitochondrial (Fragment)	ATP5A1	Homo sapiens (Human)	144
ATP5A1		K7EK77	K7EK77_HUMAN	unreviewed	ATP synthase subunit alpha, mitochondrial (Fragment)	ATP5A1	Homo sapiens (Human)	207
ATP5A1		K7EKV9	K7EKV9_HUMAN	unreviewed	ATP synthase subunit alpha, mitochondrial	ATP5A1	Homo sapiens (Human)	44
ATP5A1		K7EM08	K7EM08_HUMAN	unreviewed	ATP synthase subunit alpha, mitochondrial	ATP5A1	Homo sapiens (Human)	58
ATP5A1		K7ENJ4	K7ENJ4_HUMAN	unreviewed	ATP synthase subunit alpha, mitochondrial (Fragment)	ATP5A1	Homo sapiens (Human)	199
ATP5A1		K7EQH4	K7EQH4_HUMAN	unreviewed	ATP synthase subunit alpha, mitochondrial (Fragment)	ATP5A1	Homo sapiens (Human)	111
ATP5A1		K7EQU6	K7EQU6_HUMAN	unreviewed	ATP synthase subunit alpha, mitochondrial	ATP5A1	Homo sapiens (Human)	78
ATP5A1		K7ERX7	K7ERX7_HUMAN	unreviewed	ATP synthase subunit alpha, mitochondrial (Fragment)	ATP5A1	Homo sapiens (Human)	205
ATP5A1		K7ESA0	K7ESA0_HUMAN	unreviewed	ATP synthase subunit alpha, mitochondrial	ATP5A1	Homo sapiens (Human)	77
ATP5A1		P25705	ATPA_HUMAN	reviewed	ATP synthase subunit alpha, mitochondrial	ATP5A1 ATP5A ATP5AL2 ATPM	Homo sapiens (Human)	553
ATP5B		F8W079	F8W079_HUMAN	unreviewed	ATP synthase subunit beta, mitochondrial (Fragment)	ATP5B	Homo sapiens (Human)	284
ATP5B		F8W0P7	F8W0P7_HUMAN	unreviewed	ATP synthase subunit beta, mitochondrial (Fragment)	ATP5B	Homo sapiens (Human)	270
ATP5B		H0YH81	H0YH81_HUMAN	unreviewed	ATP synthase subunit beta (EC 3.6.3.14) (Fragment)	ATP5B	Homo sapiens (Human)	362
ATP5B		H0YI37	H0YI37_HUMAN	unreviewed	ATP synthase subunit beta, mitochondrial (Fragment)	ATP5B	Homo sapiens (Human)	133
ATP5B		P06576	ATPB_HUMAN	reviewed	ATP synthase subunit beta, mitochondrial (EC 3.6.3.14)	ATP5B ATPMB ATPSB	Homo sapiens (Human)	529
ATP5B		Q0QEN7	Q0QEN7_HUMAN	unreviewed	ATP synthase subunit beta (EC 3.6.3.14) (Fragment)	ATP5B	Homo sapiens (Human)	445
ATP5C1		P36542	ATPG_HUMAN	reviewed	ATP synthase subunit gamma, mitochondrial (F-ATPase gamma subunit)	ATP5C1 ATP5C ATP5CL1	Homo sapiens (Human)	298
ATP5D		A0A087WTL3	A0A087WTL3_HUMAN	unreviewed	ATP synthase subunit delta, mitochondrial (Fragment)	ATP5D	Homo sapiens (Human)	99
ATP5D		P30049	ATPD_HUMAN	reviewed	ATP synthase subunit delta, mitochondrial (F-ATPase delta subunit)	ATP5D	Homo sapiens (Human)	168
ATP5E		P56381	ATP5E_HUMAN	reviewed	ATP synthase subunit epsilon, mitochondrial (ATPase subunit epsilon)	ATP5E	Homo sapiens (Human)	51
ATP5F1		P24539	AT5F1_HUMAN	reviewed	ATP synthase F(0) complex subunit B1, mitochondrial (ATP synthase proton-transporting mitochondrial F(0) complex subunit B1) (ATP synthase subunit b) (ATPase subunit b)	ATP5F1	Homo sapiens (Human)	256
ATP5F1		Q5QNZ2	Q5QNZ2_HUMAN	unreviewed	ATP synthase F(0) complex subunit B1, mitochondrial	ATP5F1	Homo sapiens (Human)	195
ATP5G1		D6R9H7	D6R9H7_HUMAN	unreviewed	ATP synthase F(0) complex subunit C1, mitochondrial	ATP5G1	Homo sapiens (Human)	99
ATP5G1		E7EPU7	E7EPU7_HUMAN	unreviewed	ATP synthase F(0) complex subunit C1, mitochondrial	ATP5G1	Homo sapiens (Human)	127
ATP5G1		E7EQ97	E7EQ97_HUMAN	unreviewed	ATP synthase F(0) complex subunit C1, mitochondrial	ATP5G1	Homo sapiens (Human)	110
ATP5G1		I3L0Y5	I3L0Y5_HUMAN	unreviewed	ATP synthase F(0) complex subunit C1, mitochondrial (Fragment)	ATP5G1	Homo sapiens (Human)	98
ATP5G1		P05496	AT5G1_HUMAN	reviewed	ATP synthase F(0) complex subunit C1, mitochondrial (ATP synthase lipid-binding protein) (ATP synthase proteolipid P1) (ATP synthase proton-transporting mitochondrial F(0) complex subunit C1) (ATPase protein 9) (ATPase subunit c)	ATP5G1	Homo sapiens (Human)	136
ATP5G1		Q6FIH7	Q6FIH7_HUMAN	unreviewed	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (Subunit 9), isoform CRA_a (ATP5G1 protein) (cDNA, FLJ92113, Homo sapiens ATP synthase, H+ transporting, mitochondrial F0complex, subunit c (subunit 9), isoform 1 (ATP5G1), mRNA)	ATP5G1 hCG_27507	Homo sapiens (Human)	136
ATP5G2		F8W041	F8W041_HUMAN	unreviewed	ATP synthase F(0) complex subunit C2, mitochondrial	ATP5G2	Homo sapiens (Human)	16
ATP5G2		Q06055	AT5G2_HUMAN	reviewed	ATP synthase F(0) complex subunit C2, mitochondrial (ATP synthase lipid-binding protein) (ATP synthase proteolipid P2) (ATP synthase proton-transporting mitochondrial F(0) complex subunit C2) (ATPase protein 9) (ATPase subunit c)	ATP5G2 PSEC0033	Homo sapiens (Human)	141
ATP5G3		P48201	AT5G3_HUMAN	reviewed	ATP synthase F(0) complex subunit C3, mitochondrial (ATP synthase lipid-binding protein) (ATP synthase proteolipid P3) (ATP synthase proton-transporting mitochondrial F(0) complex subunit C3) (ATPase protein 9) (ATPase subunit c)	ATP5G3	Homo sapiens (Human)	142
ATP5G3		Q6LEU9	Q6LEU9_HUMAN	unreviewed	ATP5G3 protein (Fragment)	ATP5G3	Homo sapiens (Human)	142
ATP5H		A0PJH2	A0PJH2_HUMAN	unreviewed	ATP5H protein (Fragment)	ATP5H	Homo sapiens (Human)	102
ATP5H		F5H608	F5H608_HUMAN	unreviewed	ATP synthase subunit d, mitochondrial	ATP5H	Homo sapiens (Human)	81
ATP5H		L8E9E1	L8E9E1_HUMAN	unreviewed	Alternative protein ATP5H	ATP5H	Homo sapiens (Human)	42
ATP5H		O75947	ATP5H_HUMAN	reviewed	ATP synthase subunit d, mitochondrial (ATPase subunit d)	ATP5H My032	Homo sapiens (Human)	161
ATP5I		P56385	ATP5I_HUMAN	reviewed	ATP synthase subunit e, mitochondrial (ATPase subunit e) [Cleaved into: ATP synthase subunit e, mitochondrial, N-terminally processed]	ATP5I ATP5K	Homo sapiens (Human)	69
ATP5J		A8MUH2	A8MUH2_HUMAN	unreviewed	ATP synthase-coupling factor 6, mitochondrial (ATPase subunit F6)	ATP5J	Homo sapiens (Human)	119
ATP5J		P18859	ATP5J_HUMAN	reviewed	ATP synthase-coupling factor 6, mitochondrial (ATPase subunit F6)	ATP5J ATP5A ATPM	Homo sapiens (Human)	108
ATP5J		Q6IB54	Q6IB54_HUMAN	unreviewed	ATP synthase-coupling factor 6, mitochondrial (ATPase subunit F6)	ATP5J hCG_2007844	Homo sapiens (Human)	108
ATP5J		Q6NZ59	Q6NZ59_HUMAN	unreviewed	ATP synthase-coupling factor 6, mitochondrial (ATPase subunit F6)	ATP5J	Homo sapiens (Human)	108
ATP5J2		C9JU26	C9JU26_HUMAN	unreviewed	ATP synthase subunit f, mitochondrial	ATP5J2	Homo sapiens (Human)	98
ATP5J2		E5RKA0	E5RKA0_HUMAN	unreviewed	ATP synthase subunit f, mitochondrial (Fragment)	ATP5J2	Homo sapiens (Human)	19
ATP5J2		P56134	ATPK_HUMAN	reviewed	ATP synthase subunit f, mitochondrial	ATP5J2 ATP5JL	Homo sapiens (Human)	94
ATP5L		E9PN17	E9PN17_HUMAN	unreviewed	ATP synthase subunit g, mitochondrial	ATP5L	Homo sapiens (Human)	76
ATP5L		O75964	ATP5L_HUMAN	reviewed	ATP synthase subunit g, mitochondrial (ATPase subunit g)	ATP5L	Homo sapiens (Human)	103
ATP5O		H7C068	H7C068_HUMAN	unreviewed	ATP synthase subunit O, mitochondrial (Fragment)	ATP5O	Homo sapiens (Human)	86
ATP5O		H7C086	H7C086_HUMAN	unreviewed	ATP synthase subunit O, mitochondrial (Fragment)	ATP5O	Homo sapiens (Human)	74
ATP5O		H7C239	H7C239_HUMAN	unreviewed	ATP synthase subunit O, mitochondrial (Fragment)	ATP5O	Homo sapiens (Human)	26
ATP5O		H7C2P9	H7C2P9_HUMAN	unreviewed	ATP synthase subunit O, mitochondrial (Fragment)	ATP5O	Homo sapiens (Human)	40
ATP5O		P48047	ATPO_HUMAN	reviewed	ATP synthase subunit O, mitochondrial (Oligomycin sensitivity conferral protein) (OSCP)	ATP5O ATPO	Homo sapiens (Human)	213
ATP6AP1		A0A0C4DGX8	A0A0C4DGX8_HUMAN	unreviewed	ATPase, H+ transporting, lysosomal accessory protein 1, isoform CRA_c (V-type proton ATPase subunit S1)	ATP6AP1 hCG_2008012	Homo sapiens (Human)	281
ATP6AP1		A6NLC6	A6NLC6_HUMAN	unreviewed	V-type proton ATPase subunit S1 (Fragment)	ATP6AP1	Homo sapiens (Human)	273
ATP6AP1		A6QRJ1	A6QRJ1_HUMAN	unreviewed	V-type proton ATPase subunit S1 (Fragment)	ATP6AP1	Homo sapiens (Human)	230
ATP6AP1		F2Z3L8	F2Z3L8_HUMAN	unreviewed	V-type proton ATPase subunit S1	ATP6AP1	Homo sapiens (Human)	134
ATP6AP1		H7C0T7	H7C0T7_HUMAN	unreviewed	V-type proton ATPase subunit S1 (Fragment)	ATP6AP1	Homo sapiens (Human)	133
ATP6AP1		H7C2Y8	H7C2Y8_HUMAN	unreviewed	V-type proton ATPase subunit S1 (Fragment)	ATP6AP1	Homo sapiens (Human)	128
ATP6AP1		Q15904	VAS1_HUMAN	reviewed	V-type proton ATPase subunit S1 (V-ATPase subunit S1) (Protein XAP-3) (V-ATPase Ac45 subunit) (V-ATPase S1 accessory protein) (Vacuolar proton pump subunit S1)	ATP6AP1 ATP6IP1 ATP6S1 VATPS1 XAP3	Homo sapiens (Human)	470
ATP6V0B		E9PKB6	E9PKB6_HUMAN	unreviewed	V-type proton ATPase 21 kDa proteolipid subunit	ATP6V0B	Homo sapiens (Human)	46
ATP6V0B		E9PMR1	E9PMR1_HUMAN	unreviewed	V-type proton ATPase 21 kDa proteolipid subunit (Fragment)	ATP6V0B	Homo sapiens (Human)	86
ATP6V0B		E9PNL3	E9PNL3_HUMAN	unreviewed	V-type proton ATPase 21 kDa proteolipid subunit	ATP6V0B	Homo sapiens (Human)	261
ATP6V0B		E9PNU0	E9PNU0_HUMAN	unreviewed	V-type proton ATPase 21 kDa proteolipid subunit	ATP6V0B	Homo sapiens (Human)	252
ATP6V0B		H0YCC5	H0YCC5_HUMAN	unreviewed	V-type proton ATPase 21 kDa proteolipid subunit (Fragment)	ATP6V0B	Homo sapiens (Human)	88
ATP6V0B		Q99437	VATO_HUMAN	reviewed	V-type proton ATPase 21 kDa proteolipid subunit (V-ATPase 21 kDa proteolipid subunit) (Vacuolar proton pump 21 kDa proteolipid subunit) (hATPL)	ATP6V0B ATP6F	Homo sapiens (Human)	205
ATP6V0C		H3BMY0	H3BMY0_HUMAN	unreviewed	V-type proton ATPase 16 kDa proteolipid subunit	ATP6V0C	Homo sapiens (Human)	63
ATP6V0C		H3BNI4	H3BNI4_HUMAN	unreviewed	V-type proton ATPase proteolipid subunit	ATP6V0C hCG_1780666	Homo sapiens (Human)	112
ATP6V0C		P27449	VATL_HUMAN	reviewed	V-type proton ATPase 16 kDa proteolipid subunit (V-ATPase 16 kDa proteolipid subunit) (Vacuolar proton pump 16 kDa proteolipid subunit)	ATP6V0C ATP6C ATP6L ATPL	Homo sapiens (Human)	155
