yourlist:M20170427F725F458AC8690F874DD868E4ED79B88B1B347L	isomap:M20170427F725F458AC8690F874DD868E4ED79B88B1B347L	Entry	Entry name		Protein names	Gene names	Organism	Length
APP		P05067	A4_HUMAN	reviewed	Amyloid beta A4 protein (ABPP) (APPI) (APP) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Beta-amyloid precursor protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99; Beta-amyloid protein 42 (Beta-APP42); Beta-amyloid protein 40 (Beta-APP40); C83; P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Amyloid intracellular domain 59) (AICD-59) (AID(59)) (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Amyloid intracellular domain 57) (AICD-57) (AID(57)) (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Amyloid intracellular domain 50) (AICD-50) (AID(50)) (Gamma-CTF(50)); C31]	APP A4 AD1	Homo sapiens (Human)	770
APP		Q9BYY9	Q9BYY9_HUMAN	unreviewed	Amyloid beta protein (Fragment)	APP	Homo sapiens (Human)	12
ATF3		A0A0A0MRJ2	A0A0A0MRJ2_HUMAN	unreviewed	Cyclic AMP-dependent transcription factor ATF-3 (Fragment)	ATF3	Homo sapiens (Human)	153
ATF3		P18847	ATF3_HUMAN	reviewed	Cyclic AMP-dependent transcription factor ATF-3 (cAMP-dependent transcription factor ATF-3) (Activating transcription factor 3)	ATF3	Homo sapiens (Human)	181
ATF3		Q5VTZ4	Q5VTZ4_HUMAN	unreviewed	Cyclic AMP-dependent transcription factor ATF-3 (Fragment)	ATF3	Homo sapiens (Human)	175
ATF3		Q7Z567	Q7Z567_HUMAN	unreviewed	Activating transcription factor 3 delta Zip3 (cDNA FLJ57271, highly similar to Cyclic AMP-dependent transcription factorATF-3)	ATF3	Homo sapiens (Human)	120
AVPR1A		F8VW98	F8VW98_HUMAN	unreviewed	Vasopressin V1a receptor	AVPR1A	Homo sapiens (Human)	186
AVPR1A		P37288	V1AR_HUMAN	reviewed	Vasopressin V1a receptor (V1aR) (AVPR V1a) (Antidiuretic hormone receptor 1a) (Vascular/hepatic-type arginine vasopressin receptor)	AVPR1A AVPR1	Homo sapiens (Human)	418
AVPR1A		X5D2B0	X5D2B0_HUMAN	unreviewed	Vasopressin V1a receptor (Fragment)	AVPR1A	Homo sapiens (Human)	418
AVPR1A		X5D789	X5D789_HUMAN	unreviewed	Vasopressin V1a receptor (Fragment)	AVPR1A	Homo sapiens (Human)	382
BAX		A0A024QZD7	A0A024QZD7_HUMAN	unreviewed	BCL2-associated X protein, isoform CRA_a (Fragment)	BAX hCG_1811614	Homo sapiens (Human)	38
BAX		A0A0C4MVT1	A0A0C4MVT1_HUMAN	unreviewed	Bax protein	Bax	Homo sapiens (Human)	204
BAX		A0A0C4MW46	A0A0C4MW46_HUMAN	unreviewed	Bax protein	Bax	Homo sapiens (Human)	175
BAX		A0A0C4MWS3	A0A0C4MWS3_HUMAN	unreviewed	Bax protein	Bax	Homo sapiens (Human)	204
BAX		H0YA56	H0YA56_HUMAN	unreviewed	Apoptosis regulator BAX (Fragment)	BAX	Homo sapiens (Human)	126
BAX		I6LPK7	I6LPK7_HUMAN	unreviewed	Apoptosis regulator BAX (BCL2-associated X protein theta)	BAX	Homo sapiens (Human)	140
BAX		K4JQN1	K4JQN1_HUMAN	unreviewed	Apoptosis regulator BAX (BCL2-associated X protein transcript variant delta2)	BAX	Homo sapiens (Human)	175
BAX		Q07812	BAX_HUMAN	reviewed	Apoptosis regulator BAX (Bcl-2-like protein 4) (Bcl2-L-4)	BAX BCL2L4	Homo sapiens (Human)	192
BAX		Q5ZPJ0	Q5ZPJ0_HUMAN	unreviewed	Bax protein (Fragment)	BAX	Homo sapiens (Human)	36
BAX		Q5ZPJ1	Q5ZPJ1_HUMAN	unreviewed	Bax protein (Fragment)	BAX	Homo sapiens (Human)	112
BAX		Q8WXU1	Q8WXU1_HUMAN	unreviewed	BCL2-associated X protein (Fragment)	BAX	Homo sapiens (Human)	24
BCAP31		C9J0M4	C9J0M4_HUMAN	unreviewed	B-cell receptor-associated protein 31 (Fragment)	BCAP31	Homo sapiens (Human)	188
BCAP31		C9JM14	C9JM14_HUMAN	unreviewed	B-cell receptor-associated protein 31 (Fragment)	BCAP31	Homo sapiens (Human)	138
BCAP31		C9JMD7	C9JMD7_HUMAN	unreviewed	B-cell receptor-associated protein 31 (Fragment)	BCAP31	Homo sapiens (Human)	178
BCAP31		C9JQ75	C9JQ75_HUMAN	unreviewed	B-cell receptor-associated protein 31 (Fragment)	BCAP31	Homo sapiens (Human)	187
BCAP31		C9JSP1	C9JSP1_HUMAN	unreviewed	B-cell receptor-associated protein 31 (Fragment)	BCAP31	Homo sapiens (Human)	182
BCAP31		P51572	BAP31_HUMAN	reviewed	B-cell receptor-associated protein 31 (BCR-associated protein 31) (Bap31) (6C6-AG tumor-associated antigen) (Protein CDM) (p28)	BCAP31 BAP31 DXS1357E	Homo sapiens (Human)	246
BCL10		A0A087WWW9	A0A087WWW9_HUMAN	unreviewed	B-cell lymphoma/leukemia 10	BCL10	Homo sapiens (Human)	156
BCL10		A2TDT2	A2TDT2_HUMAN	unreviewed	Mutant B-cell CLL/lymphoma 10	BCL10	Homo sapiens (Human)	157
BCL10		O95999	BCL10_HUMAN	reviewed	B-cell lymphoma/leukemia 10 (B-cell CLL/lymphoma 10) (Bcl-10) (CARD-containing molecule enhancing NF-kappa-B) (CARD-like apoptotic protein) (hCLAP) (CED-3/ICH-1 prodomain homologous E10-like regulator) (CIPER) (Cellular homolog of vCARMEN) (cCARMEN) (Cellular-E10) (c-E10) (Mammalian CARD-containing adapter molecule E10) (mE10)	BCL10 CIPER CLAP	Homo sapiens (Human)	233
BCL2L1		A0A0S2Z3C5	A0A0S2Z3C5_HUMAN	unreviewed	BCL2-like 1 isoform 1 (Fragment)	BCL2L1	Homo sapiens (Human)	233
BCL2L1		A0A0S2Z3D2	A0A0S2Z3D2_HUMAN	unreviewed	BCL2-like 1 isoform 3	BCL2L1	Homo sapiens (Human)	151
BCL2L1		Q07817	B2CL1_HUMAN	reviewed	Bcl-2-like protein 1 (Bcl2-L-1) (Apoptosis regulator Bcl-X)	BCL2L1 BCL2L BCLX	Homo sapiens (Human)	233
BCL2L1		Q5QP56	Q5QP56_HUMAN	unreviewed	Bcl-2-like protein 1 (Fragment)	BCL2L1	Homo sapiens (Human)	181
BCL2L1		Q5QP59	Q5QP59_HUMAN	unreviewed	Bcl-2-like protein 1 (Fragment)	BCL2L1	Homo sapiens (Human)	48
BCL2L1		Q5TE63	Q5TE63_HUMAN	unreviewed	BCL2-like 1 isoform 2 (BCL2-like 1, isoform CRA_c) (cDNA FLJ77105, highly similar to Homo sapiens BCL2-like 1 (BCL2L1), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA)	BCL2L1 hCG_38811	Homo sapiens (Human)	170
BCL2L1		Q5TE64	Q5TE64_HUMAN	unreviewed	Bcl-2-like protein 1 (Fragment)	BCL2L1	Homo sapiens (Human)	205
BCL2L1		Q9H1R6	Q9H1R6_HUMAN	unreviewed	Bcl-2-like protein 1 (Fragment)	BCL2L1	Homo sapiens (Human)	188
BCL2L10		H0YMD5	H0YMD5_HUMAN	unreviewed	Bcl-2-like protein 10	BCL2L10	Homo sapiens (Human)	241
BCL2L10		Q9HD36	B2L10_HUMAN	reviewed	Bcl-2-like protein 10 (Bcl2-L-10) (Anti-apoptotic protein NrH) (Apoptosis regulator Bcl-B)	BCL2L10 BCLB	Homo sapiens (Human)	194
BCL2L11		A0A0A0MRE7	A0A0A0MRE7_HUMAN	unreviewed	Bcl-2-like protein 11	BCL2L11	Homo sapiens (Human)	98
BCL2L11		A0A0C4DH20	A0A0C4DH20_HUMAN	unreviewed	Bcl-2-like protein 11	BCL2L11	Homo sapiens (Human)	75
BCL2L11		C9J417	C9J417_HUMAN	unreviewed	Bcl-2-like protein 11 (Fragment)	BCL2L11	Homo sapiens (Human)	122
BCL2L11		E9PAM9	E9PAM9_HUMAN	unreviewed	Bcl-2-like protein 11 (Fragment)	BCL2L11	Homo sapiens (Human)	71
BCL2L11		H7BZE5	H7BZE5_HUMAN	unreviewed	Bcl-2-like protein 11 (Fragment)	BCL2L11	Homo sapiens (Human)	96
BCL2L11		O43521	B2L11_HUMAN	reviewed	Bcl-2-like protein 11 (Bcl2-L-11) (Bcl2-interacting mediator of cell death)	BCL2L11 BIM	Homo sapiens (Human)	198
BCL2L2		G3V3B7	G3V3B7_HUMAN	unreviewed	Bcl-2-like protein 2 (Fragment)	BCL2L2	Homo sapiens (Human)	51
BCL2L2		G3V3G8	G3V3G8_HUMAN	unreviewed	Bcl-2-like protein 2 (Fragment)	BCL2L2	Homo sapiens (Human)	71
BCL2L2		G3V4B7	G3V4B7_HUMAN	unreviewed	Bcl-2-like protein 2 (Fragment)	BCL2L2	Homo sapiens (Human)	149
BCL2L2		G3V5A9	G3V5A9_HUMAN	unreviewed	Bcl-2-like protein 2 (Fragment)	BCL2L2	Homo sapiens (Human)	144
BCL2L2		H0YJC7	H0YJC7_HUMAN	unreviewed	Bcl-2-like protein 2 (Fragment)	BCL2L2	Homo sapiens (Human)	167
BCL2L2		Q92843	B2CL2_HUMAN	reviewed	Bcl-2-like protein 2 (Bcl2-L-2) (Apoptosis regulator Bcl-W)	BCL2L2 BCLW KIAA0271	Homo sapiens (Human)	193
BGN		C9JKG1	C9JKG1_HUMAN	unreviewed	Biglycan (Fragment)	BGN	Homo sapiens (Human)	238
BGN		P21810	PGS1_HUMAN	reviewed	Biglycan (Bone/cartilage proteoglycan I) (PG-S1)	BGN SLRR1A	Homo sapiens (Human)	368
BID		A8ASI8	A8ASI8_HUMAN	unreviewed	BH3 interacting domain death agonist, isoform CRA_d (BID isoform L(2)) (Desmocollin type 4) (cDNA, FLJ94329, Homo sapiens BH3 interacting domain death agonist (BID), mRNA)	BID hCG_21529	Homo sapiens (Human)	195
BID		B2ZP78	B2ZP78_HUMAN	unreviewed	BH3-interacting domain death agonist (BID isoform Si6)	BID	Homo sapiens (Human)	122
BID		B2ZP79	B2ZP79_HUMAN	unreviewed	BH3 interacting domain death agonist, isoform CRA_b (BID isoform ES(1b))	BID hCG_21529	Homo sapiens (Human)	99
BID		P55957	BID_HUMAN	reviewed	BH3-interacting domain death agonist (p22 BID) (BID) [Cleaved into: BH3-interacting domain death agonist p15 (p15 BID); BH3-interacting domain death agonist p13 (p13 BID); BH3-interacting domain death agonist p11 (p11 BID)]	BID	Homo sapiens (Human)	195
BIK		A0A024R4X6	A0A024R4X6_HUMAN	unreviewed	BCL2-interacting killer (Apoptosis-inducing), isoform CRA_a	BIK hCG_1734392	Homo sapiens (Human)	160
BIK		Q13323	BIK_HUMAN	reviewed	Bcl-2-interacting killer (Apoptosis inducer NBK) (BIP1) (BP4)	BIK NBK	Homo sapiens (Human)	160
BIRC3		H0YCJ5	H0YCJ5_HUMAN	unreviewed	Baculoviral IAP repeat-containing protein 3 (Fragment)	BIRC3	Homo sapiens (Human)	183
BIRC3		L8E7L9	L8E7L9_HUMAN	unreviewed	Alternative protein BIRC3	BIRC3	Homo sapiens (Human)	70
BIRC3		Q13489	BIRC3_HUMAN	reviewed	Baculoviral IAP repeat-containing protein 3 (EC 2.3.2.27) (Apoptosis inhibitor 2) (API2) (Cellular inhibitor of apoptosis 2) (C-IAP2) (IAP homolog C) (Inhibitor of apoptosis protein 1) (hIAP-1) (hIAP1) (RING finger protein 49) (RING-type E3 ubiquitin transferase BIRC3) (TNFR2-TRAF-signaling complex protein 1)	BIRC3 API2 MIHC RNF49	Homo sapiens (Human)	604
BMF		H0YK50	H0YK50_HUMAN	unreviewed	Bcl-2-modifying factor (Fragment)	BMF	Homo sapiens (Human)	13
BMF		H0YNT3	H0YNT3_HUMAN	unreviewed	Bcl-2-modifying factor (Fragment)	BMF	Homo sapiens (Human)	61
BMF		Q96LC9	BMF_HUMAN	reviewed	Bcl-2-modifying factor	BMF	Homo sapiens (Human)	184
BMP2		C8C060	C8C060_HUMAN	unreviewed	Bone morphogenetic protein 2	BMP2	Homo sapiens (Human)	396
BMP2		C8C061	C8C061_HUMAN	unreviewed	Bone morphogenetic protein 2 (Bone morphogenetic protein 2, isoform CRA_b)	BMP2 hCG_39524	Homo sapiens (Human)	396
BMP2		C8C063	C8C063_HUMAN	unreviewed	Bone morphogenetic protein 2	BMP2	Homo sapiens (Human)	396
BMP2		C8C064	C8C064_HUMAN	unreviewed	Bone morphogenetic protein 2	BMP2	Homo sapiens (Human)	396
BMP2		C8C065	C8C065_HUMAN	unreviewed	Bone morphogenetic protein 2 (Fragment)	BMP2	Homo sapiens (Human)	374
BMP2		C8C066	C8C066_HUMAN	unreviewed	Bone morphogenetic protein 2	BMP2	Homo sapiens (Human)	396
BMP2		C8C068	C8C068_HUMAN	unreviewed	Bone morphogenetic protein 2	BMP2	Homo sapiens (Human)	396
BMP2		C8C069	C8C069_HUMAN	unreviewed	Bone morphogenetic protein 2 (Fragment)	BMP2	Homo sapiens (Human)	115
BMP2		C8C071	C8C071_HUMAN	unreviewed	Bone morphogenetic protein 2	BMP2	Homo sapiens (Human)	396
BMP2		P12643	BMP2_HUMAN	reviewed	Bone morphogenetic protein 2 (BMP-2) (Bone morphogenetic protein 2A) (BMP-2A)	BMP2 BMP2A	Homo sapiens (Human)	396
BMP2		U3N491	U3N491_HUMAN	unreviewed	BMP2 protein (Fragment)	BMP2	Homo sapiens (Human)	114
BNIP3L		E5RFE9	E5RFE9_HUMAN	unreviewed	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like	BNIP3L	Homo sapiens (Human)	60
BNIP3L		H0YBC7	H0YBC7_HUMAN	unreviewed	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like (Fragment)	BNIP3L	Homo sapiens (Human)	185
BNIP3L		O60238	BNI3L_HUMAN	reviewed	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like (Adenovirus E1B19K-binding protein B5) (BCL2/adenovirus E1B 19 kDa protein-interacting protein 3A) (NIP3-like protein X) (NIP3L)	BNIP3L BNIP3A BNIP3H NIX	Homo sapiens (Human)	219
BNIP3L		Q6IBV1	Q6IBV1_HUMAN	unreviewed	BCL2/adenovirus E1B 19kDa interacting protein 3-like (BNIP3L protein) (cDNA FLJ75547, highly similar to Homo sapiens BCL2/adenovirus E1B 19kDa interacting protein 3-like (BNIP3L), mRNA)	BNIP3L hCG_17158	Homo sapiens (Human)	219
BRCA1		A0A024R1V0	A0A024R1V0_HUMAN	unreviewed	Breast cancer 1, early onset, isoform CRA_d	BRCA1 hCG_16943	Homo sapiens (Human)	759
BRCA1		A0A024R1V7	A0A024R1V7_HUMAN	unreviewed	Breast cancer 1, early onset, isoform CRA_a	BRCA1 hCG_16943	Homo sapiens (Human)	719
BRCA1		A0A024R1V8	A0A024R1V8_HUMAN	unreviewed	Breast cancer type 1 susceptibility protein (EC 2.3.2.27)	BRCA1 hCG_16943	Homo sapiens (Human)	1598
BRCA1		A0A024R1W0	A0A024R1W0_HUMAN	unreviewed	Breast cancer type 1 susceptibility protein (EC 2.3.2.27)	BRCA1 hCG_16943	Homo sapiens (Human)	1822
BRCA1		A0A024R1Y0	A0A024R1Y0_HUMAN	unreviewed	Breast cancer type 1 susceptibility protein (EC 2.3.2.27)	BRCA1 hCG_16943	Homo sapiens (Human)	1863
BRCA1		A0A024R1Y1	A0A024R1Y1_HUMAN	unreviewed	Breast cancer type 1 susceptibility protein (EC 2.3.2.27)	BRCA1 hCG_16943	Homo sapiens (Human)	1624
BRCA1		A0A024R1Z8	A0A024R1Z8_HUMAN	unreviewed	Breast cancer 1, early onset, isoform CRA_b	BRCA1 hCG_16943	Homo sapiens (Human)	721
BRCA1		A0A068BC97	A0A068BC97_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	56
BRCA1		A0A068BC99	A0A068BC99_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	49
BRCA1		A0A068BCA1	A0A068BCA1_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	92
BRCA1		A0A068BCA4	A0A068BCA4_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	86
BRCA1		A0A068BCB2	A0A068BCB2_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	9
BRCA1		A0A068BCB6	A0A068BCB6_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	27
BRCA1		A0A068BCB8	A0A068BCB8_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	38
BRCA1		A0A068BDT2	A0A068BDT2_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	49
BRCA1		A0A068BDT6	A0A068BDT6_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	114
BRCA1		A0A068BDT9	A0A068BDT9_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	114
BRCA1		A0A068BDU7	A0A068BDU7_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	24
BRCA1		A0A068BDV0	A0A068BDV0_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	36
BRCA1		A0A068BEU9	A0A068BEU9_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	37
BRCA1		A0A068BEV3	A0A068BEV3_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	140
BRCA1		A0A068BEV6	A0A068BEV6_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	126
BRCA1		A0A068BEW5	A0A068BEW5_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	20
BRCA1		A0A068BFV4	A0A068BFV4_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	92
BRCA1		A0A068BFV9	A0A068BFV9_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	106
BRCA1		A0A068BFW2	A0A068BFW2_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	83
BRCA1		A0A068BFX7	A0A068BFX7_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1	BRCA1	Homo sapiens (Human)	11
BRCA1		A0A068BFY0	A0A068BFY0_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	26
BRCA1		A0A068BI32	A0A068BI32_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	11
BRCA1		A0A068BI36	A0A068BI36_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	16
BRCA1		A0A068BI38	A0A068BI38_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	81
BRCA1		A0A068BI42	A0A068BI42_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	37
BRCA1		A0A068BI44	A0A068BI44_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	90
BRCA1		A0A068BI53	A0A068BI53_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	22
BRCA1		A0A068BI55	A0A068BI55_HUMAN	unreviewed	Breast and ovarian cancer susceptibility protein 1 (Truncated breast and ovarian cancer susceptibility protein 1) (Fragment)	BRCA1	Homo sapiens (Human)	47
BRCA1		A0A0A0MSN1	A0A0A0MSN1_HUMAN	unreviewed	Breast cancer type 1 susceptibility protein (Fragment)	BRCA1	Homo sapiens (Human)	437
BRCA1		A0A0A1ESW9	A0A0A1ESW9_HUMAN	unreviewed	Breast cancer type 1 susceptibility protein (Fragment)	BRCA1	Homo sapiens (Human)	192
BRCA1		A0A0F6RAC9	A0A0F6RAC9_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	39
BRCA1		A0A0F6RAD1	A0A0F6RAD1_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	97
BRCA1		A0A0F6RAU2	A0A0F6RAU2_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	29
BRCA1		A0A0F6TMQ0	A0A0F6TMQ0_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	72
BRCA1		A0A0F6TMZ3	A0A0F6TMZ3_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	117
BRCA1		A0A0F6TN19	A0A0F6TN19_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	40
BRCA1		A0A0F6TN86	A0A0F6TN86_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	33
BRCA1		A0A0F6TNH6	A0A0F6TNH6_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	57
BRCA1		A0A0F7G9Q0	A0A0F7G9Q0_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	74
BRCA1		A0A0F7G9S0	A0A0F7G9S0_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	139
BRCA1		A0A0F7GA54	A0A0F7GA54_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	55
BRCA1		A0A0F7GBC5	A0A0F7GBC5_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	28
