yourlist:M20170427AAFB7E4D2F1D05654627429E83DA5CCEB41A64P	isomap:M20170427AAFB7E4D2F1D05654627429E83DA5CCEB41A64P	Entry	Entry name		Protein names	Gene names	Organism	Length
ALS2		Q96Q42	ALS2_HUMAN	reviewed	Alsin (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 6 protein) (Amyotrophic lateral sclerosis 2 protein)	ALS2 ALS2CR6 KIAA1563	Homo sapiens (Human)	1657
ANLN		A0A024RA49	A0A024RA49_HUMAN	unreviewed	Anillin, actin binding protein (Scraps homolog, Drosophila), isoform CRA_e	ANLN hCG_17719	Homo sapiens (Human)	1124
ANLN		C9J0G4	C9J0G4_HUMAN	unreviewed	Anillin (Fragment)	ANLN	Homo sapiens (Human)	36
ANLN		C9JJT6	C9JJT6_HUMAN	unreviewed	Anillin (Fragment)	ANLN	Homo sapiens (Human)	169
ANLN		H7C0Y6	H7C0Y6_HUMAN	unreviewed	Anillin (Fragment)	ANLN	Homo sapiens (Human)	69
ANLN		H7C167	H7C167_HUMAN	unreviewed	Anillin (Fragment)	ANLN	Homo sapiens (Human)	73
ANLN		H7C1C2	H7C1C2_HUMAN	unreviewed	Anillin (Fragment)	ANLN	Homo sapiens (Human)	252
ANLN		H7C1K5	H7C1K5_HUMAN	unreviewed	Anillin (Fragment)	ANLN	Homo sapiens (Human)	276
ANLN		H7C3R2	H7C3R2_HUMAN	unreviewed	Anillin (Fragment)	ANLN	Homo sapiens (Human)	26
ANLN		H7C3S1	H7C3S1_HUMAN	unreviewed	Anillin (Fragment)	ANLN	Homo sapiens (Human)	236
ANLN		Q9NQW6	ANLN_HUMAN	reviewed	Anillin	ANLN	Homo sapiens (Human)	1124
APC		A0A087WYF3	A0A087WYF3_HUMAN	unreviewed	Adenomatous polyposis coli protein	APC	Homo sapiens (Human)	58
APC		A0A087X2F3	A0A087X2F3_HUMAN	unreviewed	Adenomatous polyposis coli protein (Fragment)	APC	Homo sapiens (Human)	51
APC		A1YIQ7	A1YIQ7_HUMAN	unreviewed	Adenomatous polyposis coli (Fragment)	APC	Homo sapiens (Human)	100
APC		A1YIX6	A1YIX6_HUMAN	unreviewed	Truncated adenomatous polyposis coli (Fragment)	APC	Homo sapiens (Human)	10
APC		A1YR11	A1YR11_HUMAN	unreviewed	Adenomatosis polyposis coli (Fragment)	APC	Homo sapiens (Human)	99
APC		A5HB94	A5HB94_HUMAN	unreviewed	Adenomatosis polyposis coli (Fragment)	APC	Homo sapiens (Human)	100
APC		A5HB95	A5HB95_HUMAN	unreviewed	Adenomatosis polyposis coli (Fragment)	APC	Homo sapiens (Human)	100
APC		A5HB96	A5HB96_HUMAN	unreviewed	Adenomatosis polyposis coli (Fragment)	APC	Homo sapiens (Human)	99
APC		A5HB97	A5HB97_HUMAN	unreviewed	Adenomatosis polyposis coli (Fragment)	APC	Homo sapiens (Human)	99
APC		A5JUM6	A5JUM6_HUMAN	unreviewed	Truncated adenomatosis polyposis coli tumor suppressor (Fragment)	APC	Homo sapiens (Human)	56
APC		A5JUM7	A5JUM7_HUMAN	unreviewed	Truncated adenomatosis polyposis coli tumor suppressor (Fragment)	APC	Homo sapiens (Human)	79
APC		A5JUM8	A5JUM8_HUMAN	unreviewed	Adenomatosis polyposis coli tumor suppressor (Fragment)	APC	Homo sapiens (Human)	99
APC		A5JUM9	A5JUM9_HUMAN	unreviewed	Truncated adenomatosis polyposis coli tumor suppressor (Fragment)	APC	Homo sapiens (Human)	98
APC		B7Z2B6	B7Z2B6_HUMAN	unreviewed	Adenomatous polyposis coli protein (cDNA FLJ50140, highly similar to Adenomatous polyposis coli protein) (Fragment)	APC	Homo sapiens (Human)	1135
APC		D6RFL6	D6RFL6_HUMAN	unreviewed	Adenomatous polyposis coli protein (Fragment)	APC	Homo sapiens (Human)	118
APC		E7EMH9	E7EMH9_HUMAN	unreviewed	Adenomatous polyposis coli protein	APC	Homo sapiens (Human)	287
APC		E9PFT7	E9PFT7_HUMAN	unreviewed	Adenomatous polyposis coli protein (Fragment)	APC	Homo sapiens (Human)	1304
APC		P25054	APC_HUMAN	reviewed	Adenomatous polyposis coli protein (Protein APC) (Deleted in polyposis 2.5)	APC DP2.5	Homo sapiens (Human)	2843
APC		Q16097	Q16097_HUMAN	unreviewed	APC protein (Fragment)	APC	Homo sapiens (Human)	38
APC		Q16098	Q16098_HUMAN	unreviewed	APC protein (Fragment)	APC	Homo sapiens (Human)	39
APC		Q5EBR8	Q5EBR8_HUMAN	unreviewed	Adenomatous polyposis coli protein (Fragment)	APC	Homo sapiens (Human)	18
APC		Q5EBR9	Q5EBR9_HUMAN	unreviewed	Adenomatous polyposis coli protein (Fragment)	APC	Homo sapiens (Human)	17
APC		Q5EEK4	Q5EEK4_HUMAN	unreviewed	Adenomatous polyposisi coli (Fragment)	APC	Homo sapiens (Human)	16
APC		Q7Z2Q8	Q7Z2Q8_HUMAN	unreviewed	APC protein (Fragment)	APC	Homo sapiens (Human)	159
APC		Q9HAW6	Q9HAW6_HUMAN	unreviewed	Adenomatous polyposis coli protein (Fragment)	APC	Homo sapiens (Human)	108
APC		Q9P119	Q9P119_HUMAN	unreviewed	Adenomatosis polyposis coli tumor suppressor (Fragment)	APC	Homo sapiens (Human)	208
APC		Q9UM98	Q9UM98_HUMAN	unreviewed	APC protein (Fragment)	APC	Homo sapiens (Human)	29
APC		R4GMU6	R4GMU6_HUMAN	unreviewed	Adenomatous polyposis coli protein (Fragment)	APC	Homo sapiens (Human)	272
ARAP3		G5E9Y3	G5E9Y3_HUMAN	unreviewed	Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3 (Centaurin, delta 3, isoform CRA_b)	ARAP3 CENTD3 hCG_1980706	Homo sapiens (Human)	1375
ARAP3		Q05CA7	Q05CA7_HUMAN	unreviewed	ARAP3 protein (Fragment)	ARAP3	Homo sapiens (Human)	473
ARAP3		Q05CH1	Q05CH1_HUMAN	unreviewed	ARAP3 protein (Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3) (Fragment)	ARAP3	Homo sapiens (Human)	473
ARAP3		Q8WWN8	ARAP3_HUMAN	reviewed	Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3 (Centaurin-delta-3) (Cnt-d3)	ARAP3 CENTD3	Homo sapiens (Human)	1544
ARAP3		Q96G49	Q96G49_HUMAN	unreviewed	ARAP3 protein (Fragment)	ARAP3	Homo sapiens (Human)	320
ARF6		P62330	ARF6_HUMAN	reviewed	ADP-ribosylation factor 6	ARF6	Homo sapiens (Human)	175
ARF6		Q6FH17	Q6FH17_HUMAN	unreviewed	ARF6 protein	ARF6	Homo sapiens (Human)	175
ARFGEF1		A0A024R7X0	A0A024R7X0_HUMAN	unreviewed	ADP-ribosylation factor guanine nucleotide-exchange factor 1(Brefeldin A-inhibited), isoform CRA_a	ARFGEF1 hCG_27804	Homo sapiens (Human)	1849
ARFGEF1		E5RHL7	E5RHL7_HUMAN	unreviewed	Brefeldin A-inhibited guanine nucleotide-exchange protein 1 (Fragment)	ARFGEF1	Homo sapiens (Human)	825
ARFGEF1		E5RHZ1	E5RHZ1_HUMAN	unreviewed	Brefeldin A-inhibited guanine nucleotide-exchange protein 1 (Fragment)	ARFGEF1	Homo sapiens (Human)	192
ARFGEF1		E5RIF2	E5RIF2_HUMAN	unreviewed	Brefeldin A-inhibited guanine nucleotide-exchange protein 1 (Fragment)	ARFGEF1	Homo sapiens (Human)	1279
ARFGEF1		E5RJN9	E5RJN9_HUMAN	unreviewed	Brefeldin A-inhibited guanine nucleotide-exchange protein 1 (Fragment)	ARFGEF1	Homo sapiens (Human)	118
ARFGEF1		Q9Y6D6	BIG1_HUMAN	reviewed	Brefeldin A-inhibited guanine nucleotide-exchange protein 1 (Brefeldin A-inhibited GEP 1) (ADP-ribosylation factor guanine nucleotide-exchange factor 1) (p200 ARF guanine nucleotide exchange factor) (p200 ARF-GEP1)	ARFGEF1 ARFGEP1 BIG1	Homo sapiens (Human)	1849
ARFIP2		A0A087X1E4	A0A087X1E4_HUMAN	unreviewed	Arfaptin-2	ARFIP2	Homo sapiens (Human)	374
ARFIP2		E9PPY7	E9PPY7_HUMAN	unreviewed	Arfaptin-2	ARFIP2	Homo sapiens (Human)	159
ARFIP2		E9PRV8	E9PRV8_HUMAN	unreviewed	Arfaptin-2	ARFIP2	Homo sapiens (Human)	202
ARFIP2		P53365	ARFP2_HUMAN	reviewed	Arfaptin-2 (ADP-ribosylation factor-interacting protein 2) (Partner of RAC1) (Protein POR1)	ARFIP2 POR1	Homo sapiens (Human)	341
ARHGAP10		A1A4S6	RHG10_HUMAN	reviewed	Rho GTPase-activating protein 10 (GTPase regulator associated with focal adhesion kinase 2) (Graf-related protein 2) (Rho-type GTPase-activating protein 10)	ARHGAP10 GRAF2	Homo sapiens (Human)	786
ARHGAP10		H0Y8W5	H0Y8W5_HUMAN	unreviewed	Rho GTPase-activating protein 10 (Fragment)	ARHGAP10	Homo sapiens (Human)	413
ARHGAP10		Q3KQX3	Q3KQX3_HUMAN	unreviewed	ARHGAP10 protein (Fragment)	ARHGAP10	Homo sapiens (Human)	232
ARHGAP10		Q5T5U3	RHG21_HUMAN	reviewed	Rho GTPase-activating protein 21 (Rho GTPase-activating protein 10) (Rho-type GTPase-activating protein 21)	ARHGAP21 ARHGAP10 KIAA1424	Homo sapiens (Human)	1957
ARHGAP10		Q86T21	Q86T21_HUMAN	unreviewed	ARHGAP10 protein	ARHGAP10	Homo sapiens (Human)	367
ARHGAP27		A0A0C4DGE6	A0A0C4DGE6_HUMAN	unreviewed	Rho GTPase-activating protein 27	ARHGAP27	Homo sapiens (Human)	521
ARHGAP27		A0A0G2JNY3	A0A0G2JNY3_HUMAN	unreviewed	Rho GTPase-activating protein 27	ARHGAP27	Homo sapiens (Human)	889
ARHGAP27		A0A0G2JP16	A0A0G2JP16_HUMAN	unreviewed	Rho GTPase-activating protein 27	ARHGAP27	Homo sapiens (Human)	263
ARHGAP27		A0A0G2JRG8	A0A0G2JRG8_HUMAN	unreviewed	Rho GTPase-activating protein 27	ARHGAP27	Homo sapiens (Human)	867
ARHGAP27		E9PIR1	E9PIR1_HUMAN	unreviewed	Rho GTPase-activating protein 27	ARHGAP27	Homo sapiens (Human)	867
ARHGAP27		E9PK18	E9PK18_HUMAN	unreviewed	Rho GTPase-activating protein 27	ARHGAP27	Homo sapiens (Human)	77
ARHGAP27		E9PNT2	E9PNT2_HUMAN	unreviewed	Rho GTPase-activating protein 27	ARHGAP27	Homo sapiens (Human)	667
ARHGAP27		E9PNX6	E9PNX6_HUMAN	unreviewed	Rho GTPase-activating protein 27 (Fragment)	ARHGAP27	Homo sapiens (Human)	214
ARHGAP27		Q6ZUM4	RHG27_HUMAN	reviewed	Rho GTPase-activating protein 27 (CIN85-associated multi-domain-containing Rho GTPase-activating protein 1) (Rho-type GTPase-activating protein 27) (SH3 domain-containing protein 20)	ARHGAP27 CAMGAP1 SH3D20 PP905	Homo sapiens (Human)	889
ARHGAP27		Q8N2Y9	Q8N2Y9_HUMAN	unreviewed	ARHGAP27 protein (Fragment)	ARHGAP27	Homo sapiens (Human)	78
ARHGAP29		F8VWZ8	F8VWZ8_HUMAN	unreviewed	Rho GTPase-activating protein 29	ARHGAP29	Homo sapiens (Human)	1035
ARHGAP29		Q52LW3	RHG29_HUMAN	reviewed	Rho GTPase-activating protein 29 (PTPL1-associated RhoGAP protein 1) (Rho-type GTPase-activating protein 29)	ARHGAP29 PARG1	Homo sapiens (Human)	1261
ARHGAP4		A0A0B4J1X7	A0A0B4J1X7_HUMAN	unreviewed	Rho GTPase activating protein 4, isoform CRA_c (Rho GTPase-activating protein 4)	ARHGAP4 hCG_39227	Homo sapiens (Human)	625
ARHGAP4		C9J5M2	C9J5M2_HUMAN	unreviewed	Rho GTPase-activating protein 4 (Fragment)	ARHGAP4	Homo sapiens (Human)	176
ARHGAP4		C9JLA8	C9JLA8_HUMAN	unreviewed	Rho GTPase-activating protein 4 (Fragment)	ARHGAP4	Homo sapiens (Human)	174
ARHGAP4		E7EQN5	E7EQN5_HUMAN	unreviewed	Rho GTPase-activating protein 4	ARHGAP4	Homo sapiens (Human)	925
ARHGAP4		E9PCM6	E9PCM6_HUMAN	unreviewed	Rho GTPase-activating protein 4	ARHGAP4	Homo sapiens (Human)	768
ARHGAP4		F8WAR0	F8WAR0_HUMAN	unreviewed	Rho GTPase-activating protein 4	ARHGAP4	Homo sapiens (Human)	217
ARHGAP4		H7C120	H7C120_HUMAN	unreviewed	Rho GTPase-activating protein 4 (Fragment)	ARHGAP4	Homo sapiens (Human)	214
ARHGAP4		H7C2Z8	H7C2Z8_HUMAN	unreviewed	Rho GTPase-activating protein 4 (Fragment)	ARHGAP4	Homo sapiens (Human)	293
ARHGAP4		H7C3G3	H7C3G3_HUMAN	unreviewed	Rho GTPase-activating protein 4 (Fragment)	ARHGAP4	Homo sapiens (Human)	196
ARHGAP4		H7C3K8	H7C3K8_HUMAN	unreviewed	Rho GTPase-activating protein 4 (Fragment)	ARHGAP4	Homo sapiens (Human)	249
ARHGAP4		P98171	RHG04_HUMAN	reviewed	Rho GTPase-activating protein 4 (Rho-GAP hematopoietic protein C1) (Rho-type GTPase-activating protein 4) (p115)	ARHGAP4 KIAA0131 RGC1 RHOGAP4	Homo sapiens (Human)	946
ARHGAP4		Q6PJ34	Q6PJ34_HUMAN	unreviewed	ARHGAP4 protein (Fragment)	ARHGAP4	Homo sapiens (Human)	356
ARHGAP4		S4R314	S4R314_HUMAN	unreviewed	Rho GTPase-activating protein 4 (Fragment)	ARHGAP4	Homo sapiens (Human)	317
ARHGAP4		S4R352	S4R352_HUMAN	unreviewed	Rho GTPase-activating protein 4 (Fragment)	ARHGAP4	Homo sapiens (Human)	277
ARHGAP5		A0A0A0MSK6	A0A0A0MSK6_HUMAN	unreviewed	Rho GTPase-activating protein 5	ARHGAP5	Homo sapiens (Human)	1498
ARHGAP5		G3V360	G3V360_HUMAN	unreviewed	Rho GTPase-activating protein 5 (Fragment)	ARHGAP5	Homo sapiens (Human)	137
ARHGAP5		G3V444	G3V444_HUMAN	unreviewed	Rho GTPase-activating protein 5 (Fragment)	ARHGAP5	Homo sapiens (Human)	140
ARHGAP5		G3V5I7	G3V5I7_HUMAN	unreviewed	Rho GTPase-activating protein 5 (Fragment)	ARHGAP5	Homo sapiens (Human)	37
ARHGAP5		H0YK04	H0YK04_HUMAN	unreviewed	Rho GTPase-activating protein 5 (Fragment)	ARHGAP5	Homo sapiens (Human)	148
ARHGAP5		L8E796	L8E796_HUMAN	unreviewed	Alternative protein ARHGAP5	ARHGAP5	Homo sapiens (Human)	90
ARHGAP5		Q13017	RHG05_HUMAN	reviewed	Rho GTPase-activating protein 5 (Rho-type GTPase-activating protein 5) (p190-B)	ARHGAP5 RHOGAP5	Homo sapiens (Human)	1502
ARHGDIA		A0A0S2Z3D9	A0A0S2Z3D9_HUMAN	unreviewed	Rho GDP dissociation inhibitor alpha isoform 2 (Fragment)	ARHGDIA	Homo sapiens (Human)	178
ARHGDIA		J3KRE2	J3KRE2_HUMAN	unreviewed	Rho GDP-dissociation inhibitor 1	ARHGDIA	Homo sapiens (Human)	129
ARHGDIA		J3KRY1	J3KRY1_HUMAN	unreviewed	Rho GDP-dissociation inhibitor 1 (Fragment)	ARHGDIA	Homo sapiens (Human)	249
ARHGDIA		J3KS60	J3KS60_HUMAN	unreviewed	Rho GDP-dissociation inhibitor 1	ARHGDIA	Homo sapiens (Human)	92
ARHGDIA		J3KTF8	J3KTF8_HUMAN	unreviewed	Rho GDP-dissociation inhibitor 1 (Fragment)	ARHGDIA	Homo sapiens (Human)	193
ARHGDIA		J3QQX2	J3QQX2_HUMAN	unreviewed	Rho GDP-dissociation inhibitor 1	ARHGDIA	Homo sapiens (Human)	235
ARHGDIA		P52565	GDIR1_HUMAN	reviewed	Rho GDP-dissociation inhibitor 1 (Rho GDI 1) (Rho-GDI alpha)	ARHGDIA GDIA1	Homo sapiens (Human)	204
ARHGDIA		V9HWE8	V9HWE8_HUMAN	unreviewed	Epididymis secretory sperm binding protein Li 47e (Rho GDP dissociation inhibitor (GDI) alpha, isoform CRA_a) (Rho GDP dissociation inhibitor alpha isoform 1)	HEL-S-47e ARHGDIA hCG_1747916	Homo sapiens (Human)	204
