yourlist:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC136P	isomap:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC136P	Entry	Entry name		Protein names	Gene names	Organism	Length
CAT		Q6IB77	GLYAT_HUMAN	reviewed	Glycine N-acyltransferase (EC 2.3.1.13) (Acyl-CoA:glycine N-acyltransferase) (AAc) (Aralkyl acyl-CoA N-acyltransferase) (Aralkyl acyl-CoA:amino acid N-acyltransferase) (Benzoyl-coenzyme A:glycine N-acyltransferase) (Glycine N-benzoyltransferase) (EC 2.3.1.71) (HRP-1(CLP))	GLYAT ACGNAT CAT GAT	Homo sapiens (Human)	296
CDKN2D		A0A024R796	A0A024R796_HUMAN	unreviewed	Cyclin-dependent kinase inhibitor 2D (P19, inhibits CDK4), isoform CRA_a	CDKN2D hCG_28483	Homo sapiens (Human)	166
CDKN2D		P55273	CDN2D_HUMAN	reviewed	Cyclin-dependent kinase 4 inhibitor D (p19-INK4d)	CDKN2D	Homo sapiens (Human)	166
EGLN2		A0A024R0R2	A0A024R0R2_HUMAN	unreviewed	Egl nine homolog 2 (C. elegans), isoform CRA_b	EGLN2 hCG_20789	Homo sapiens (Human)	407
EGLN2		A0A0C4DGR4	A0A0C4DGR4_HUMAN	unreviewed	Egl nine homolog 2	EGLN2	Homo sapiens (Human)	125
EGLN2		L8EAM8	L8EAM8_HUMAN	unreviewed	Alternative protein EGLN2	EGLN2	Homo sapiens (Human)	56
EGLN2		M0QXM8	M0QXM8_HUMAN	unreviewed	Egl nine homolog 2 (Fragment)	EGLN2	Homo sapiens (Human)	77
EGLN2		M0QXR0	M0QXR0_HUMAN	unreviewed	Egl nine homolog 2 (Fragment)	EGLN2	Homo sapiens (Human)	94
EGLN2		M0R035	M0R035_HUMAN	unreviewed	Egl nine homolog 2 (Fragment)	EGLN2	Homo sapiens (Human)	87
EGLN2		M0R0Z6	M0R0Z6_HUMAN	unreviewed	Egl nine homolog 2 (Fragment)	EGLN2	Homo sapiens (Human)	139
EGLN2		M0R110	M0R110_HUMAN	unreviewed	Egl nine homolog 2 (Fragment)	EGLN2	Homo sapiens (Human)	101
EGLN2		M0R1A3	M0R1A3_HUMAN	unreviewed	Egl nine homolog 2 (Fragment)	EGLN2	Homo sapiens (Human)	51
EGLN2		M0R1L0	M0R1L0_HUMAN	unreviewed	Egl nine homolog 2 (Fragment)	EGLN2	Homo sapiens (Human)	96
EGLN2		M0R1W4	M0R1W4_HUMAN	unreviewed	Egl nine homolog 2 (Fragment)	EGLN2	Homo sapiens (Human)	72
EGLN2		M0R2X9	M0R2X9_HUMAN	unreviewed	Egl nine homolog 2 (Fragment)	EGLN2	Homo sapiens (Human)	67
EGLN2		M0R350	M0R350_HUMAN	unreviewed	Egl nine homolog 2 (Fragment)	EGLN2	Homo sapiens (Human)	128
EGLN2		Q96KS0	EGLN2_HUMAN	reviewed	Egl nine homolog 2 (EC 1.14.11.29) (Estrogen-induced tag 6) (HPH-3) (Hypoxia-inducible factor prolyl hydroxylase 1) (HIF-PH1) (HIF-prolyl hydroxylase 1) (HPH-1) (Prolyl hydroxylase domain-containing protein 1) (PHD1)	EGLN2 EIT6	Homo sapiens (Human)	407
ERCC2		A0A1B1PFW1	A0A1B1PFW1_HUMAN	unreviewed	TFIIH basal transcription factor complex helicase XPD subunit (Fragment)	ERCC2	Homo sapiens (Human)	23
ERCC2		A8MX75	A8MX75_HUMAN	unreviewed	TFIIH basal transcription factor complex helicase XPD subunit (Fragment)	ERCC2	Homo sapiens (Human)	706
ERCC2		B4E0F6	B4E0F6_HUMAN	unreviewed	TFIIH basal transcription factor complex helicase XPD subunit (cDNA FLJ57462, highly similar to TFIIH basal transcription factor complex helicase subunit (EC 3.6.1.-))	ERCC2	Homo sapiens (Human)	127
ERCC2		E7EVE9	E7EVE9_HUMAN	unreviewed	TFIIH basal transcription factor complex helicase XPD subunit	ERCC2	Homo sapiens (Human)	682
ERCC2		K7EIT8	K7EIT8_HUMAN	unreviewed	TFIIH basal transcription factor complex helicase XPD subunit (Fragment)	ERCC2	Homo sapiens (Human)	292
ERCC2		K7EKF3	K7EKF3_HUMAN	unreviewed	TFIIH basal transcription factor complex helicase XPD subunit (Fragment)	ERCC2	Homo sapiens (Human)	202
ERCC2		K7ENL1	K7ENL1_HUMAN	unreviewed	TFIIH basal transcription factor complex helicase XPD subunit (Fragment)	ERCC2	Homo sapiens (Human)	109
ERCC2		P18074	ERCC2_HUMAN	reviewed	TFIIH basal transcription factor complex helicase XPD subunit (EC 3.6.4.12) (Basic transcription factor 2 80 kDa subunit) (BTF2 p80) (CXPD) (DNA excision repair protein ERCC-2) (DNA repair protein complementing XP-D cells) (TFIIH basal transcription factor complex 80 kDa subunit) (TFIIH 80 kDa subunit) (TFIIH p80) (Xeroderma pigmentosum group D-complementing protein)	ERCC2 XPD XPDC	Homo sapiens (Human)	760
ERCC2		Q2TB79	Q2TB79_HUMAN	unreviewed	ERCC2 protein	ERCC2	Homo sapiens (Human)	682
FES		A0A024RC92	A0A024RC92_HUMAN	unreviewed	Tyrosine-protein kinase (EC 2.7.10.2)	FES hCG_32581	Homo sapiens (Human)	822
FES		C9J3W6	C9J3W6_HUMAN	unreviewed	Tyrosine-protein kinase Fes/Fps (Fragment)	FES	Homo sapiens (Human)	42
FES		E7EMJ7	E7EMJ7_HUMAN	unreviewed	Tyrosine-protein kinase Fes/Fps (Fragment)	FES	Homo sapiens (Human)	147
FES		E7ENM8	E7ENM8_HUMAN	unreviewed	Tyrosine-protein kinase Fes/Fps	FES	Homo sapiens (Human)	681
FES		E9PGC7	E9PGC7_HUMAN	unreviewed	Tyrosine-protein kinase Fes/Fps (Fragment)	FES	Homo sapiens (Human)	114
FES		E9PIJ7	E9PIJ7_HUMAN	unreviewed	Tyrosine-protein kinase Fes/Fps	FES	Homo sapiens (Human)	545
FES		H0YNN8	H0YNN8_HUMAN	unreviewed	Tyrosine-protein kinase Fes/Fps (Fragment)	FES	Homo sapiens (Human)	169
FES		H0YNT6	H0YNT6_HUMAN	unreviewed	Tyrosine-protein kinase Fes/Fps	FES	Homo sapiens (Human)	121
FES		P07332	FES_HUMAN	reviewed	Tyrosine-protein kinase Fes/Fps (EC 2.7.10.2) (Feline sarcoma/Fujinami avian sarcoma oncogene homolog) (Proto-oncogene c-Fes) (Proto-oncogene c-Fps) (p93c-fes)	FES FPS	Homo sapiens (Human)	822
FES		Q4JFK7	Q4JFK7_HUMAN	unreviewed	C-fes/fps protein (Fragment)	FES	Homo sapiens (Human)	71
FES		Q4JFK8	Q4JFK8_HUMAN	unreviewed	Fes/fps proto-oncogene (Fragment)	FES	Homo sapiens (Human)	211
FTL		B1Q387	B1Q387_HUMAN	unreviewed	Ferritin (Fragment)	FTL	Homo sapiens (Human)	49
FTL		B1Q3B3	B1Q3B3_HUMAN	unreviewed	Ferritin (Fragment)	FTL	Homo sapiens (Human)	92
FTL		M1KCE4	M1KCE4_HUMAN	unreviewed	L-ferritin (Fragment)	FTL	Homo sapiens (Human)	25
FTL		P02792	FRIL_HUMAN	reviewed	Ferritin light chain (Ferritin L subunit)	FTL	Homo sapiens (Human)	175
FTL		Q4FCH6	Q4FCH6_HUMAN	unreviewed	Ferritin (Fragment)	FTL	Homo sapiens (Human)	83
FTL		Q6DMM8	Q6DMM8_HUMAN	unreviewed	Ferritin (Fragment)	FTL	Homo sapiens (Human)	34
FTL		Q6S4P3	Q6S4P3_HUMAN	unreviewed	Ferritin	FTL	Homo sapiens (Human)	191
G6PD		A2IBT6	A2IBT6_HUMAN	unreviewed	Glucose-6-phosphate dehydrogenase (EC 1.1.1.49) (Fragment)	G6PD	Homo sapiens (Human)	51
G6PD		A7IZZ3	A7IZZ3_HUMAN	unreviewed	Glucose-6-phosphate dehydrogenase variant (Fragment)	G6PD	Homo sapiens (Human)	72
G6PD		B6ZHS6	B6ZHS6_HUMAN	unreviewed	Glucose-6-phosphate dehydrogenase variant (Fragment)	G6PD	Homo sapiens (Human)	52
G6PD		E7EM57	E7EM57_HUMAN	unreviewed	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49) (Fragment)	G6PD	Homo sapiens (Human)	320
G6PD		E7EUI8	E7EUI8_HUMAN	unreviewed	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49) (Fragment)	G6PD	Homo sapiens (Human)	338
G6PD		E9PD92	E9PD92_HUMAN	unreviewed	Glucose-6-phosphate 1-dehydrogenase (Fragment)	G6PD	Homo sapiens (Human)	256
G6PD		P11413	G6PD_HUMAN	reviewed	Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49)	G6PD	Homo sapiens (Human)	515
G6PD		Q0PHS1	Q0PHS1_HUMAN	unreviewed	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49) (Fragment)	G6PD	Homo sapiens (Human)	297
G6PD		Q0PHS2	Q0PHS2_HUMAN	unreviewed	Glucose-6-phosphate dehydrogenase (Fragment)	G6PD	Homo sapiens (Human)	49
G6PD		Q0PHS3	Q0PHS3_HUMAN	unreviewed	Glucose-6-phosphate dehydrogenase (Fragment)	G6PD	Homo sapiens (Human)	49
G6PD		Q0PHS4	Q0PHS4_HUMAN	unreviewed	Glucose-6-phosphate dehydrogenase (Fragment)	G6PD	Homo sapiens (Human)	60
G6PD		Q0PHS5	Q0PHS5_HUMAN	unreviewed	Glucose-6-phosphate dehydrogenase (Fragment)	G6PD	Homo sapiens (Human)	72
G6PD		Q0PHS6	Q0PHS6_HUMAN	unreviewed	Glucose-6-phosphate dehydrogenase (Fragment)	G6PD	Homo sapiens (Human)	42
G6PD		Q2Q9B7	Q2Q9B7_HUMAN	unreviewed	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49) (Fragment)	G6PD	Homo sapiens (Human)	475
G6PD		Q2Q9H2	Q2Q9H2_HUMAN	unreviewed	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49) (Fragment)	G6PD	Homo sapiens (Human)	475
G6PD		Q2VF42	Q2VF42_HUMAN	unreviewed	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49) (Fragment)	G6PD	Homo sapiens (Human)	475
GCLC		A0A0C4DGB2	A0A0C4DGB2_HUMAN	unreviewed	Glutamate--cysteine ligase catalytic subunit	GCLC	Homo sapiens (Human)	252
GCLC		D6R959	D6R959_HUMAN	unreviewed	Glutamate--cysteine ligase catalytic subunit (Fragment)	GCLC	Homo sapiens (Human)	154
GCLC		D6REX4	D6REX4_HUMAN	unreviewed	Glutamate--cysteine ligase catalytic subunit	GCLC	Homo sapiens (Human)	122
GCLC		D6RGF8	D6RGF8_HUMAN	unreviewed	Glutamate--cysteine ligase catalytic subunit	GCLC	Homo sapiens (Human)	54
GCLC		D6RIT4	D6RIT4_HUMAN	unreviewed	Glutamate--cysteine ligase catalytic subunit (Fragment)	GCLC	Homo sapiens (Human)	18
GCLC		E1CEI4	E1CEI4_HUMAN	unreviewed	Glutamate--cysteine ligase catalytic subunit (Glutamate-cysteine ligase delta4 alternative splicing variant)	GCLC	Homo sapiens (Human)	599
GCLC		H0Y9I7	H0Y9I7_HUMAN	unreviewed	Glutamate--cysteine ligase catalytic subunit (Fragment)	GCLC	Homo sapiens (Human)	173
GCLC		H0YAB6	H0YAB6_HUMAN	unreviewed	Glutamate--cysteine ligase catalytic subunit (Fragment)	GCLC	Homo sapiens (Human)	93
GCLC		P48506	GSH1_HUMAN	reviewed	Glutamate--cysteine ligase catalytic subunit (EC 6.3.2.2) (GCS heavy chain) (Gamma-ECS) (Gamma-glutamylcysteine synthetase)	GCLC GLCL GLCLC	Homo sapiens (Human)	637
GCLC		Q14TF0	Q14TF0_HUMAN	unreviewed	Glutamate-cysteine ligase (Glutamate-cysteine ligase, catalytic subunit, isoform CRA_a) (cDNA, FLJ94028, Homo sapiens glutamate-cysteine ligase, catalytic subunit (GCLC),mRNA)	GCLC hCG_21942	Homo sapiens (Human)	637
GCLM		D3DT44	D3DT44_HUMAN	unreviewed	Glutamate-cysteine ligase, modifier subunit, isoform CRA_a	GCLM hCG_31942	Homo sapiens (Human)	254
GCLM		P48507	GSH0_HUMAN	reviewed	Glutamate--cysteine ligase regulatory subunit (GCS light chain) (Gamma-ECS regulatory subunit) (Gamma-glutamylcysteine synthetase regulatory subunit) (Glutamate--cysteine ligase modifier subunit)	GCLM GLCLR	Homo sapiens (Human)	274
GLRX		A0A024RAM2	A0A024RAM2_HUMAN	unreviewed	Glutaredoxin (Thioltransferase), isoform CRA_c	GLRX hCG_36838	Homo sapiens (Human)	106
GLRX		P35754	GLRX1_HUMAN	reviewed	Glutaredoxin-1 (Thioltransferase-1) (TTase-1)	GLRX GRX	Homo sapiens (Human)	106
GLRX2		A0JLT0	A0JLT0_HUMAN	unreviewed	GLRX2 protein (Fragment)	GLRX2	Homo sapiens (Human)	159
GLRX2		Q9NS18	GLRX2_HUMAN	reviewed	Glutaredoxin-2, mitochondrial	GLRX2 GRX2 CGI-133	Homo sapiens (Human)	164
GPX3		A0A087X1J7	A0A087X1J7_HUMAN	unreviewed	Glutathione peroxidase	GPX3	Homo sapiens (Human)	225
GPX3		A0A182DWH9	A0A182DWH9_HUMAN	unreviewed	Glutathione peroxidase 3	GPX3	Homo sapiens (Human)	100
GPX3		A0A182DWI0	A0A182DWI0_HUMAN	unreviewed	Glutathione peroxidase 3	GPX3	Homo sapiens (Human)	63
GPX3		D3DQH2	D3DQH2_HUMAN	unreviewed	Glutathione peroxidase 3 (Plasma), isoform CRA_a	GPX3 hCG_39155	Homo sapiens (Human)	111
GPX3		E5RG32	E5RG32_HUMAN	unreviewed	Glutathione peroxidase (Fragment)	GPX3	Homo sapiens (Human)	138
GPX3		H0YBE4	H0YBE4_HUMAN	unreviewed	Glutathione peroxidase 3 (Fragment)	GPX3	Homo sapiens (Human)	79
GPX3		H0YC19	H0YC19_HUMAN	unreviewed	Glutathione peroxidase (Fragment)	GPX3	Homo sapiens (Human)	174
GPX3		P22352	GPX3_HUMAN	reviewed	Glutathione peroxidase 3 (GPx-3) (GSHPx-3) (EC 1.11.1.9) (Extracellular glutathione peroxidase) (Plasma glutathione peroxidase) (GPx-P) (GSHPx-P)	GPX3 GPXP	Homo sapiens (Human)	226
GPX3		Q6NXQ3	Q6NXQ3_HUMAN	unreviewed	GPX3 protein (Glutathione peroxidase 3)	GPX3	Homo sapiens (Human)	72
GPX4		A0A087WT12	A0A087WT12_HUMAN	unreviewed	Glutathione peroxidase	GPX4	Homo sapiens (Human)	233
GPX4		A0A087X247	A0A087X247_HUMAN	unreviewed	Phospholipid hydroperoxide glutathione peroxidase, mitochondrial (Fragment)	GPX4	Homo sapiens (Human)	134
GPX4		A0A087X2I2	A0A087X2I2_HUMAN	unreviewed	Glutathione peroxidase	GPX4	Homo sapiens (Human)	196
GPX4		A0A0A0MTT1	A0A0A0MTT1_HUMAN	unreviewed	Glutathione peroxidase (Fragment)	GPX4	Homo sapiens (Human)	166
GPX4		D6W5Y2	D6W5Y2_HUMAN	unreviewed	Glutathione peroxidase 4 (Phospholipid hydroperoxidase)	GPX4 hCG_21576	Homo sapiens (Human)	90
GPX4		K7EJ20	K7EJ20_HUMAN	unreviewed	Glutathione peroxidase	GPX4	Homo sapiens (Human)	242
GPX4		K7EKX7	K7EKX7_HUMAN	unreviewed	Glutathione peroxidase (Fragment)	GPX4	Homo sapiens (Human)	175
GPX4		K7ENB4	K7ENB4_HUMAN	unreviewed	Glutathione peroxidase	GPX4	Homo sapiens (Human)	180
GPX4		K7ERP4	K7ERP4_HUMAN	unreviewed	Glutathione peroxidase (Fragment)	GPX4	Homo sapiens (Human)	155
GPX4		P36969	GPX4_HUMAN	reviewed	Phospholipid hydroperoxide glutathione peroxidase, mitochondrial (PHGPx) (EC 1.11.1.12) (Glutathione peroxidase 4) (GPx-4) (GSHPx-4)	GPX4	Homo sapiens (Human)	197
GPX4		Q6PI42	Q6PI42_HUMAN	unreviewed	Glutathione peroxidase	GPX4	Homo sapiens (Human)	197
GPX4		R4GNE4	R4GNE4_HUMAN	unreviewed	Glutathione peroxidase (Fragment)	GPX4	Homo sapiens (Human)	179
GSR		E5RI06	E5RI06_HUMAN	unreviewed	Glutathione reductase, mitochondrial (Fragment)	GSR	Homo sapiens (Human)	144
GSR		H0YC68	H0YC68_HUMAN	unreviewed	Glutathione reductase, mitochondrial (Fragment)	GSR	Homo sapiens (Human)	131
GSR		P00390	GSHR_HUMAN	reviewed	Glutathione reductase, mitochondrial (GR) (GRase) (EC 1.8.1.7)	GSR GLUR GRD1	Homo sapiens (Human)	522
HBXIP		A0A0C4DGV4	A0A0C4DGV4_HUMAN	unreviewed	Hepatitis B virus x interacting protein (Ragulator complex protein LAMTOR5)	LAMTOR5 HBXIP hCG_40252	Homo sapiens (Human)	173
HBXIP		O43504	LTOR5_HUMAN	reviewed	Ragulator complex protein LAMTOR5 (Hepatitis B virus X-interacting protein) (HBV X-interacting protein) (HBX-interacting protein) (Late endosomal/lysosomal adaptor and MAPK and MTOR activator 5)	LAMTOR5 HBXIP XIP	Homo sapiens (Human)	91
HHEX		F8VU08	F8VU08_HUMAN	unreviewed	Hematopoietically-expressed homeobox protein HHEX	HHEX	Homo sapiens (Human)	98
HHEX		Q03014	HHEX_HUMAN	reviewed	Hematopoietically-expressed homeobox protein HHEX (Homeobox protein HEX) (Homeobox protein PRH)	HHEX HEX PRH PRHX	Homo sapiens (Human)	270
HMOX2		A0A087WT44	A0A087WT44_HUMAN	unreviewed	Heme oxygenase 2	HMOX2	Homo sapiens (Human)	370
HMOX2		A0A1B0GXH0	A0A1B0GXH0_HUMAN	unreviewed	Heme oxygenase 2 (Fragment)	HMOX2	Homo sapiens (Human)	131
HMOX2		I3L159	I3L159_HUMAN	unreviewed	Heme oxygenase 2 (Fragment)	HMOX2	Homo sapiens (Human)	229
HMOX2		I3L1F5	I3L1F5_HUMAN	unreviewed	Heme oxygenase 2 (Fragment)	HMOX2	Homo sapiens (Human)	238
HMOX2		I3L1Y2	I3L1Y2_HUMAN	unreviewed	Heme oxygenase 2 (Fragment)	HMOX2	Homo sapiens (Human)	110
HMOX2		I3L276	I3L276_HUMAN	unreviewed	Heme oxygenase 2 (Fragment)	HMOX2	Homo sapiens (Human)	110
HMOX2		I3L463	I3L463_HUMAN	unreviewed	Heme oxygenase 2 (Fragment)	HMOX2	Homo sapiens (Human)	132
HMOX2		I3L4P8	I3L4P8_HUMAN	unreviewed	Heme oxygenase 2 (Fragment)	HMOX2	Homo sapiens (Human)	130
HMOX2		P30519	HMOX2_HUMAN	reviewed	Heme oxygenase 2 (HO-2) (EC 1.14.14.18)	HMOX2 HO2	Homo sapiens (Human)	316
HMOX2		Q6FHB5	Q6FHB5_HUMAN	unreviewed	HMOX2 protein (Fragment)	HMOX2	Homo sapiens (Human)	316
HMOX2		Q6IBP2	Q6IBP2_HUMAN	unreviewed	HMOX2 protein	HMOX2	Homo sapiens (Human)	316
IPCEF1		E5RGB6	E5RGB6_HUMAN	unreviewed	Interactor protein for cytohesin exchange factors 1 (Fragment)	IPCEF1	Homo sapiens (Human)	128
IPCEF1		E5RGN6	E5RGN6_HUMAN	unreviewed	Interactor protein for cytohesin exchange factors 1 (Fragment)	IPCEF1	Homo sapiens (Human)	108
IPCEF1		E5RJQ7	E5RJQ7_HUMAN	unreviewed	Interactor protein for cytohesin exchange factors 1 (Fragment)	IPCEF1	Homo sapiens (Human)	157
IPCEF1		E5RK08	E5RK08_HUMAN	unreviewed	Interactor protein for cytohesin exchange factors 1 (Fragment)	IPCEF1	Homo sapiens (Human)	78
IPCEF1		G3V132	G3V132_HUMAN	unreviewed	Interactor protein for cytohesin exchange factors 1 (Phosphoinositide-binding protein PIP3-E, isoform CRA_b)	IPCEF1 PIP3-E hCG_1811629	Homo sapiens (Human)	409
IPCEF1		Q8WWN9	ICEF1_HUMAN	reviewed	Interactor protein for cytohesin exchange factors 1 (Phosphoinositide-binding protein PIP3-E)	IPCEF1 KIAA0403	Homo sapiens (Human)	437
JUNB		P17275	JUNB_HUMAN	reviewed	Transcription factor jun-B	JUNB	Homo sapiens (Human)	347
JUNB		Q5U079	Q5U079_HUMAN	unreviewed	Jun B proto-oncogene (cDNA, FLJ94337, Homo sapiens jun B proto-oncogene (JUNB), mRNA)	JUNB hCG_172481	Homo sapiens (Human)	347
JUNB		Q6IBG3	Q6IBG3_HUMAN	unreviewed	Ribonuclease (EC 3.1.26.-)	JUNB	Homo sapiens (Human)	299
LSP1		C9J9B9	C9J9B9_HUMAN	unreviewed	Lymphocyte-specific protein 1 (Fragment)	LSP1	Homo sapiens (Human)	60
LSP1		C9JDV1	C9JDV1_HUMAN	unreviewed	Lymphocyte-specific protein 1 (Fragment)	LSP1	Homo sapiens (Human)	122
LSP1		C9JKF7	C9JKF7_HUMAN	unreviewed	Lymphocyte-specific protein 1 (Fragment)	LSP1	Homo sapiens (Human)	126
LSP1		C9JNQ1	C9JNQ1_HUMAN	unreviewed	Lymphocyte-specific protein 1 (Fragment)	LSP1	Homo sapiens (Human)	64
LSP1		C9JU59	C9JU59_HUMAN	unreviewed	Lymphocyte-specific protein 1 (Fragment)	LSP1	Homo sapiens (Human)	175
LSP1		E7EMG9	E7EMG9_HUMAN	unreviewed	Lymphocyte-specific protein 1 (Fragment)	LSP1	Homo sapiens (Human)	275
LSP1		E9PBD8	E9PBD8_HUMAN	unreviewed	Lymphocyte-specific protein 1 (Fragment)	LSP1	Homo sapiens (Human)	222
LSP1		O43649	O43649_HUMAN	unreviewed	Lymphocyte-specific protein 1 (Fragment)	LSP1	Homo sapiens (Human)	45
LSP1		P33241	LSP1_HUMAN	reviewed	Lymphocyte-specific protein 1 (47 kDa actin-binding protein) (52 kDa phosphoprotein) (pp52) (Lymphocyte-specific antigen WP34)	LSP1 WP34	Homo sapiens (Human)	339
LSP1		Q16003	Q16003_HUMAN	unreviewed	Lymphocyte-specific protein 1 (Fragment)	LSP1	Homo sapiens (Human)	71
LSP1		Q9UEV7	Q9UEV7_HUMAN	unreviewed	Lymphocyte-specific protein 1 (Fragment)	LSP1	Homo sapiens (Human)	45
LSP1		Q9UEV8	Q9UEV8_HUMAN	unreviewed	Lymphocyte specific protein 1 (Fragment)	LSP1	Homo sapiens (Human)	85
MBP		A0A024R384	A0A024R384_HUMAN	unreviewed	Myelin basic protein, isoform CRA_a	MBP hCG_19805	Homo sapiens (Human)	304
MBP		A8MZH3	A8MZH3_HUMAN	unreviewed	Myelin basic protein	MBP	Homo sapiens (Human)	181
MBP		C9J6H1	C9J6H1_HUMAN	unreviewed	Myelin basic protein (Fragment)	MBP	Homo sapiens (Human)	101
MBP		E9PJ72	E9PJ72_HUMAN	unreviewed	Myelin basic protein	MBP	Homo sapiens (Human)	149
MBP		E9PKX9	E9PKX9_HUMAN	unreviewed	Myelin basic protein	MBP	Homo sapiens (Human)	108
MBP		E9PLQ9	E9PLQ9_HUMAN	unreviewed	Myelin basic protein	MBP	Homo sapiens (Human)	59
MBP		E9PLU9	E9PLU9_HUMAN	unreviewed	Myelin basic protein	MBP	Homo sapiens (Human)	32
MBP		E9PMR5	E9PMR5_HUMAN	unreviewed	Myelin basic protein	MBP	Homo sapiens (Human)	98
MBP		E9PNZ1	E9PNZ1_HUMAN	unreviewed	Myelin basic protein (Fragment)	MBP	Homo sapiens (Human)	86
MBP		E9PQE7	E9PQE7_HUMAN	unreviewed	Myelin basic protein	MBP	Homo sapiens (Human)	68
MBP		E9PSE2	E9PSE2_HUMAN	unreviewed	Myelin basic protein	MBP	Homo sapiens (Human)	64
MBP		F5H7N4	F5H7N4_HUMAN	unreviewed	Myelin basic protein	MBP	Homo sapiens (Human)	66
MBP		F8WEU6	F8WEU6_HUMAN	unreviewed	Myelin basic protein	MBP	Homo sapiens (Human)	73
MBP		H0YEA2	H0YEA2_HUMAN	unreviewed	Myelin basic protein	MBP	Homo sapiens (Human)	119
MBP		H0YF02	H0YF02_HUMAN	unreviewed	Myelin basic protein	MBP	Homo sapiens (Human)	108
MBP		H7BYR8	H7BYR8_HUMAN	unreviewed	Myelin basic protein	MBP	Homo sapiens (Human)	236
MBP		J3KS94	J3KS94_HUMAN	unreviewed	Myelin basic protein (Fragment)	MBP	Homo sapiens (Human)	159
MBP		J3KT01	J3KT01_HUMAN	unreviewed	Myelin basic protein (Fragment)	MBP	Homo sapiens (Human)	180
MBP		J3KT34	J3KT34_HUMAN	unreviewed	Myelin basic protein (Fragment)	MBP	Homo sapiens (Human)	60
MBP		J3QKL5	J3QKL5_HUMAN	unreviewed	Myelin basic protein (Fragment)	MBP	Homo sapiens (Human)	171
MBP		J3QKN5	J3QKN5_HUMAN	unreviewed	Myelin basic protein (Fragment)	MBP	Homo sapiens (Human)	41
MBP		J3QL64	J3QL64_HUMAN	unreviewed	Myelin basic protein	MBP	Homo sapiens (Human)	157
MBP		J3QQK6	J3QQK6_HUMAN	unreviewed	Myelin basic protein	MBP	Homo sapiens (Human)	253
MBP		P02686	MBP_HUMAN	reviewed	Myelin basic protein (MBP) (Myelin A1 protein) (Myelin membrane encephalitogenic protein)	MBP	Homo sapiens (Human)	304
