yourlist:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC1491	isomap:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC1491	Entry	Entry name		Protein names	Gene names	Organism	Length
ACAA1		H0Y4D4	H0Y4D4_HUMAN	unreviewed	3-ketoacyl-CoA thiolase, peroxisomal (Fragment)	ACAA1	Homo sapiens (Human)	237
ACAA1		H7C131	H7C131_HUMAN	unreviewed	3-ketoacyl-CoA thiolase, peroxisomal (Fragment)	ACAA1	Homo sapiens (Human)	290
ACAA1		P09110	THIK_HUMAN	reviewed	3-ketoacyl-CoA thiolase, peroxisomal (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase) (Peroxisomal 3-oxoacyl-CoA thiolase)	ACAA1 ACAA PTHIO	Homo sapiens (Human)	424
ACAA2		A0A024R269	A0A024R269_HUMAN	unreviewed	Acetyl-Coenzyme A acyltransferase 2 (Mitochondrial 3-oxoacyl-Coenzyme A thiolase), isoform CRA_d	ACAA2 hCG_1979218	Homo sapiens (Human)	1228
ACAA2		A0A0B4J2A4	A0A0B4J2A4_HUMAN	unreviewed	3-ketoacyl-CoA thiolase, mitochondrial	ACAA2	Homo sapiens (Human)	394
ACAA2		K7EJ68	K7EJ68_HUMAN	unreviewed	3-ketoacyl-CoA thiolase, mitochondrial (Fragment)	ACAA2	Homo sapiens (Human)	124
ACAA2		K7EJB1	K7EJB1_HUMAN	unreviewed	3-ketoacyl-CoA thiolase, mitochondrial (Fragment)	ACAA2	Homo sapiens (Human)	84
ACAA2		K7EME0	K7EME0_HUMAN	unreviewed	3-ketoacyl-CoA thiolase, mitochondrial	ACAA2	Homo sapiens (Human)	342
ACAA2		K7ER88	K7ER88_HUMAN	unreviewed	3-ketoacyl-CoA thiolase, mitochondrial (Fragment)	ACAA2	Homo sapiens (Human)	72
ACAA2		P42765	THIM_HUMAN	reviewed	3-ketoacyl-CoA thiolase, mitochondrial (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase) (Mitochondrial 3-oxoacyl-CoA thiolase) (T1)	ACAA2	Homo sapiens (Human)	397
ACADL		P28330	ACADL_HUMAN	reviewed	Long-chain specific acyl-CoA dehydrogenase, mitochondrial (LCAD) (EC 1.3.8.8)	ACADL	Homo sapiens (Human)	430
ACADM		A0A0S2Z366	A0A0S2Z366_HUMAN	unreviewed	Acyl-CoA dehydrogenase C-4 to C-12 straight chain isoform 1 (Testicular tissue protein Li 7) (Fragment)	ACADM	Homo sapiens (Human)	421
ACADM		A0A0S2Z3A5	A0A0S2Z3A5_HUMAN	unreviewed	Acyl-CoA dehydrogenase C-4 to C-12 straight chain isoform 4 (Fragment)	ACADM	Homo sapiens (Human)	219
ACADM		B7Z9I1	B7Z9I1_HUMAN	unreviewed	Medium-chain-specific acyl-CoA dehydrogenase, mitochondrial (cDNA, FLJ78845, highly similar to Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (EC 1.3.99.3))	ACADM	Homo sapiens (Human)	385
ACADM		E9PIX8	E9PIX8_HUMAN	unreviewed	Acyl-CoA dehydrogenase C-4 to C-12 straight chain isoform 3 (Medium-chain-specific acyl-CoA dehydrogenase, mitochondrial)	ACADM	Homo sapiens (Human)	47
ACADM		E9PJM9	E9PJM9_HUMAN	unreviewed	Medium-chain-specific acyl-CoA dehydrogenase, mitochondrial	ACADM	Homo sapiens (Human)	104
ACADM		E9PLN7	E9PLN7_HUMAN	unreviewed	Medium-chain-specific acyl-CoA dehydrogenase, mitochondrial	ACADM	Homo sapiens (Human)	50
ACADM		E9PQA8	E9PQA8_HUMAN	unreviewed	Medium-chain-specific acyl-CoA dehydrogenase, mitochondrial	ACADM	Homo sapiens (Human)	45
ACADM		E9PRX4	E9PRX4_HUMAN	unreviewed	Medium-chain-specific acyl-CoA dehydrogenase, mitochondrial	ACADM	Homo sapiens (Human)	76
ACADM		H0YDT5	H0YDT5_HUMAN	unreviewed	Medium-chain-specific acyl-CoA dehydrogenase, mitochondrial (Fragment)	ACADM	Homo sapiens (Human)	67
ACADM		P11310	ACADM_HUMAN	reviewed	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (MCAD) (EC 1.3.8.7)	ACADM	Homo sapiens (Human)	421
ACADM		Q5T4U5	Q5T4U5_HUMAN	unreviewed	Acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain, isoform CRA_a (Medium-chain-specific acyl-CoA dehydrogenase, mitochondrial)	ACADM hCG_22915	Homo sapiens (Human)	454
ACADS		D4QEZ8	D4QEZ8_HUMAN	unreviewed	Short-chain acyl-CoA dehydrogenase	ACADS	Homo sapiens (Human)	412
ACADS		E5KSD5	E5KSD5_HUMAN	unreviewed	Acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain (Mitochondrial short-chain specific acyl-CoA dehydrogenase)	ACADS hCG_27359	Homo sapiens (Human)	412
ACADS		E9PE82	E9PE82_HUMAN	unreviewed	Short-chain-specific acyl-CoA dehydrogenase, mitochondrial	ACADS	Homo sapiens (Human)	408
ACADS		P16219	ACADS_HUMAN	reviewed	Short-chain specific acyl-CoA dehydrogenase, mitochondrial (SCAD) (EC 1.3.8.1) (Butyryl-CoA dehydrogenase)	ACADS	Homo sapiens (Human)	412
ACADVL		A0A077H1I5	A0A077H1I5_HUMAN	unreviewed	VLCAD (EC 1.3.8.8) (Fragment)	ACADVL	Homo sapiens (Human)	66
ACADVL		B3KPA6	B3KPA6_HUMAN	unreviewed	Acyl-Coenzyme A dehydrogenase, very long chain, isoform CRA_e (cDNA FLJ31521 fis, clone NT2RI2000255, highly similar to Very-long-chain specific acyl-CoAdehydrogenase, mitochondrial (EC 1.3.99.-))	ACADVL hCG_42007	Homo sapiens (Human)	579
ACADVL		G3V1M7	G3V1M7_HUMAN	unreviewed	Very long-chain-specific acyl-CoA dehydrogenase, mitochondrial (Fragment)	ACADVL	Homo sapiens (Human)	282
ACADVL		J3KS89	J3KS89_HUMAN	unreviewed	Very long-chain-specific acyl-CoA dehydrogenase, mitochondrial (Fragment)	ACADVL	Homo sapiens (Human)	76
ACADVL		J3KSR4	J3KSR4_HUMAN	unreviewed	Very long-chain-specific acyl-CoA dehydrogenase, mitochondrial (Fragment)	ACADVL	Homo sapiens (Human)	204
ACADVL		J3QKU9	J3QKU9_HUMAN	unreviewed	Very long-chain-specific acyl-CoA dehydrogenase, mitochondrial (Fragment)	ACADVL	Homo sapiens (Human)	155
ACADVL		J3QRJ8	J3QRJ8_HUMAN	unreviewed	Very long-chain-specific acyl-CoA dehydrogenase, mitochondrial (Fragment)	ACADVL	Homo sapiens (Human)	194
ACADVL		J9JID6	J9JID6_HUMAN	unreviewed	Very long-chain-specific acyl-CoA dehydrogenase, mitochondrial	ACADVL	Homo sapiens (Human)	39
ACADVL		K7EJW8	K7EJW8_HUMAN	unreviewed	Very long-chain-specific acyl-CoA dehydrogenase, mitochondrial (Fragment)	ACADVL	Homo sapiens (Human)	157
ACADVL		K7EMF8	K7EMF8_HUMAN	unreviewed	Very long-chain-specific acyl-CoA dehydrogenase, mitochondrial (Fragment)	ACADVL	Homo sapiens (Human)	45
ACADVL		K7EQP4	K7EQP4_HUMAN	unreviewed	Very long-chain-specific acyl-CoA dehydrogenase, mitochondrial (Fragment)	ACADVL	Homo sapiens (Human)	224
ACADVL		P49748	ACADV_HUMAN	reviewed	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial (VLCAD) (EC 1.3.8.9)	ACADVL VLCAD	Homo sapiens (Human)	655
ACAT2		O75908	SOAT2_HUMAN	reviewed	Sterol O-acyltransferase 2 (EC 2.3.1.26) (Acyl-coenzyme A:cholesterol acyltransferase 2) (ACAT-2) (Cholesterol acyltransferase 2)	SOAT2 ACACT2 ACAT2	Homo sapiens (Human)	522
ACAT2		Q9BWD1	THIC_HUMAN	reviewed	Acetyl-CoA acetyltransferase, cytosolic (EC 2.3.1.9) (Acetyl-CoA transferase-like protein) (Cytosolic acetoacetyl-CoA thiolase)	ACAT2 ACTL	Homo sapiens (Human)	397
ACO2		A2A274	A2A274_HUMAN	unreviewed	Aconitate hydratase, mitochondrial	ACO2	Homo sapiens (Human)	805
ACO2		Q71UF1	Q71UF1_HUMAN	unreviewed	Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.-)	ACO2	Homo sapiens (Human)	780
ACO2		Q99798	ACON_HUMAN	reviewed	Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)	ACO2	Homo sapiens (Human)	780
ACOT2		A0A087WT95	A0A087WT95_HUMAN	unreviewed	Acyl-coenzyme A thioesterase 2, mitochondrial	ACOT2	Homo sapiens (Human)	463
ACOT2		A0A087X0W7	A0A087X0W7_HUMAN	unreviewed	Acyl-coenzyme A thioesterase 2, mitochondrial	ACOT2	Homo sapiens (Human)	421
ACOT2		F6VI00	F6VI00_HUMAN	unreviewed	Acyl-coenzyme A thioesterase 2, mitochondrial	ACOT2	Homo sapiens (Human)	64
ACOT2		P49753	ACOT2_HUMAN	reviewed	Acyl-coenzyme A thioesterase 2, mitochondrial (Acyl-CoA thioesterase 2) (EC 3.1.2.2) (Acyl-coenzyme A thioester hydrolase 2a) (CTE-Ia) (Long-chain acyl-CoA thioesterase 2) (ZAP128)	ACOT2 PTE2 PTE2A	Homo sapiens (Human)	483
ACOT8		E9PIS4	E9PIS4_HUMAN	unreviewed	Acyl-coenzyme A thioesterase 8	ACOT8	Homo sapiens (Human)	132
ACOT8		E9PJN0	E9PJN0_HUMAN	unreviewed	Acyl-coenzyme A thioesterase 8	ACOT8	Homo sapiens (Human)	226
ACOT8		E9PMC4	E9PMC4_HUMAN	unreviewed	Acyl-coenzyme A thioesterase 8	ACOT8	Homo sapiens (Human)	94
ACOT8		E9PRD4	E9PRD4_HUMAN	unreviewed	Acyl-coenzyme A thioesterase 8	ACOT8	Homo sapiens (Human)	171
ACOT8		F6VBM3	F6VBM3_HUMAN	unreviewed	Acyl-coenzyme A thioesterase 8	ACOT8	Homo sapiens (Human)	107
ACOT8		H0Y698	H0Y698_HUMAN	unreviewed	Acyl-coenzyme A thioesterase 8 (Fragment)	ACOT8	Homo sapiens (Human)	74
ACOT8		H7C5A7	H7C5A7_HUMAN	unreviewed	Acyl-coenzyme A thioesterase 8 (Fragment)	ACOT8	Homo sapiens (Human)	209
ACOT8		O14734	ACOT8_HUMAN	reviewed	Acyl-coenzyme A thioesterase 8 (Acyl-CoA thioesterase 8) (EC 3.1.2.27) (Choloyl-coenzyme A thioesterase) (HIV-Nef-associated acyl-CoA thioesterase) (PTE-2) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (PTE-1) (Peroxisomal long-chain acyl-CoA thioesterase 1) (Thioesterase II) (hACTE-III) (hACTEIII) (hTE)	ACOT8 ACTEIII PTE1 PTE2	Homo sapiens (Human)	319
ACOT8		Q9BR14	Q9BR14_HUMAN	unreviewed	Acyl-coenzyme A thioesterase 8 (Fragment)	ACOT8	Homo sapiens (Human)	92
ACOX1		A0A024R8L7	A0A024R8L7_HUMAN	unreviewed	Acyl-coenzyme A oxidase	ACOX1 hCG_1776087	Homo sapiens (Human)	660
ACOX1		A0A024R8T3	A0A024R8T3_HUMAN	unreviewed	Acyl-coenzyme A oxidase	ACOX1 hCG_1776087	Homo sapiens (Human)	660
ACOX1		I3L0T4	I3L0T4_HUMAN	unreviewed	Peroxisomal acyl-coenzyme A oxidase 1	ACOX1	Homo sapiens (Human)	223
ACOX1		I3L2U4	I3L2U4_HUMAN	unreviewed	Peroxisomal acyl-coenzyme A oxidase 1	ACOX1	Homo sapiens (Human)	71
ACOX1		I3L4S5	I3L4S5_HUMAN	unreviewed	Peroxisomal acyl-coenzyme A oxidase 1 (Fragment)	ACOX1	Homo sapiens (Human)	108
ACOX1		K7ELT1	K7ELT1_HUMAN	unreviewed	Peroxisomal acyl-coenzyme A oxidase 1 (Fragment)	ACOX1	Homo sapiens (Human)	156
ACOX1		K7ENF1	K7ENF1_HUMAN	unreviewed	Peroxisomal acyl-coenzyme A oxidase 1 (Fragment)	ACOX1	Homo sapiens (Human)	132
ACOX1		K7ESC7	K7ESC7_HUMAN	unreviewed	Peroxisomal acyl-coenzyme A oxidase 1 (Fragment)	ACOX1	Homo sapiens (Human)	153
ACOX1		Q15067	ACOX1_HUMAN	reviewed	Peroxisomal acyl-coenzyme A oxidase 1 (AOX) (EC 1.3.3.6) (Palmitoyl-CoA oxidase) (Straight-chain acyl-CoA oxidase) (SCOX)	ACOX1 ACOX	Homo sapiens (Human)	660
ACSL1		B7Z3Z9	B7Z3Z9_HUMAN	unreviewed	Long-chain-fatty-acid--CoA ligase 1 (cDNA FLJ53511, highly similar to Long-chain-fatty-acid--CoA ligase 1 (EC 6.2.1.3))	ACSL1	Homo sapiens (Human)	527
ACSL1		D6RER0	D6RER0_HUMAN	unreviewed	Long-chain-fatty-acid--CoA ligase 1	ACSL1	Homo sapiens (Human)	388
ACSL1		D6RG07	D6RG07_HUMAN	unreviewed	Long-chain-fatty-acid--CoA ligase 1	ACSL1	Homo sapiens (Human)	126
ACSL1		E7EPM6	E7EPM6_HUMAN	unreviewed	Long-chain-fatty-acid--CoA ligase 1	ACSL1	Homo sapiens (Human)	664
ACSL1		H0Y9U7	H0Y9U7_HUMAN	unreviewed	Long-chain-fatty-acid--CoA ligase 1 (Fragment)	ACSL1	Homo sapiens (Human)	294
ACSL1		H0Y9Z9	H0Y9Z9_HUMAN	unreviewed	Long-chain-fatty-acid--CoA ligase 1 (Fragment)	ACSL1	Homo sapiens (Human)	94
ACSL1		P33121	ACSL1_HUMAN	reviewed	Long-chain-fatty-acid--CoA ligase 1 (EC 6.2.1.3) (Acyl-CoA synthetase 1) (ACS1) (Long-chain acyl-CoA synthetase 1) (LACS 1) (Long-chain acyl-CoA synthetase 2) (LACS 2) (Long-chain fatty acid-CoA ligase 2) (Palmitoyl-CoA ligase 1) (Palmitoyl-CoA ligase 2)	ACSL1 FACL1 FACL2 LACS LACS1 LACS2	Homo sapiens (Human)	698
ACSL1		Q108N1	Q108N1_HUMAN	unreviewed	Acyl-CoA synthetase long-chain family member 1 isoform a (Fragment)	ACSL1	Homo sapiens (Human)	373
ACSL1		Q108N2	Q108N2_HUMAN	unreviewed	Acyl-CoA synthetase long-chain family member 1 isoform c (Fragment)	ACSL1	Homo sapiens (Human)	93
ACSL4		A0A0C4DGB7	A0A0C4DGB7_HUMAN	unreviewed	Long-chain-fatty-acid--CoA ligase 4 (Fragment)	ACSL4	Homo sapiens (Human)	54
ACSL4		D6RD96	D6RD96_HUMAN	unreviewed	Long-chain-fatty-acid--CoA ligase 4 (Fragment)	ACSL4	Homo sapiens (Human)	145
ACSL4		D6RDA8	D6RDA8_HUMAN	unreviewed	Long-chain-fatty-acid--CoA ligase 4 (Fragment)	ACSL4	Homo sapiens (Human)	128
ACSL4		D6RF95	D6RF95_HUMAN	unreviewed	Long-chain-fatty-acid--CoA ligase 4 (Fragment)	ACSL4	Homo sapiens (Human)	154
ACSL4		D6RFW9	D6RFW9_HUMAN	unreviewed	Long-chain-fatty-acid--CoA ligase 4 (Fragment)	ACSL4	Homo sapiens (Human)	126
ACSL4		H0Y9A0	H0Y9A0_HUMAN	unreviewed	Long-chain-fatty-acid--CoA ligase 4 (Fragment)	ACSL4	Homo sapiens (Human)	156
ACSL4		O60488	ACSL4_HUMAN	reviewed	Long-chain-fatty-acid--CoA ligase 4 (EC 6.2.1.3) (Long-chain acyl-CoA synthetase 4) (LACS 4)	ACSL4 ACS4 FACL4 LACS4	Homo sapiens (Human)	711
ACSL5		Q9ULC5	ACSL5_HUMAN	reviewed	Long-chain-fatty-acid--CoA ligase 5 (EC 6.2.1.3) (Long-chain acyl-CoA synthetase 5) (LACS 5)	ACSL5 ACS5 FACL5 UNQ633/PRO1250	Homo sapiens (Human)	683
ACSM3		H3BR33	H3BR33_HUMAN	unreviewed	Acyl-coenzyme A synthetase ACSM3, mitochondrial (Fragment)	ACSM3	Homo sapiens (Human)	52
ACSM3		H3BSM0	H3BSM0_HUMAN	unreviewed	Acyl-coenzyme A synthetase ACSM3, mitochondrial (Fragment)	ACSM3	Homo sapiens (Human)	582
ACSM3		H3BT38	H3BT38_HUMAN	unreviewed	Acyl-coenzyme A synthetase ACSM3, mitochondrial (Fragment)	ACSM3	Homo sapiens (Human)	100
ACSM3		H3BTG0	H3BTG0_HUMAN	unreviewed	Acyl-coenzyme A synthetase ACSM3, mitochondrial (Fragment)	ACSM3	Homo sapiens (Human)	25
ACSM3		H3BUF2	H3BUF2_HUMAN	unreviewed	Acyl-coenzyme A synthetase ACSM3, mitochondrial (Fragment)	ACSM3	Homo sapiens (Human)	135
ACSM3		H3BV29	H3BV29_HUMAN	unreviewed	Acyl-coenzyme A synthetase ACSM3, mitochondrial (Fragment)	ACSM3	Homo sapiens (Human)	235
ACSM3		H3BVD5	H3BVD5_HUMAN	unreviewed	Acyl-coenzyme A synthetase ACSM3, mitochondrial (Fragment)	ACSM3	Homo sapiens (Human)	158
ACSM3		Q53FZ2	ACSM3_HUMAN	reviewed	Acyl-coenzyme A synthetase ACSM3, mitochondrial (EC 6.2.1.2) (Acyl-CoA synthetase medium-chain family member 3) (Butyrate--CoA ligase 3) (Butyryl-coenzyme A synthetase 3) (Middle-chain acyl-CoA synthetase 3) (Protein SA homolog)	ACSM3 SAH	Homo sapiens (Human)	586
ACSS1		Q1RMZ4	Q1RMZ4_HUMAN	unreviewed	ACSS1 protein (Fragment)	ACSS1	Homo sapiens (Human)	453
ACSS1		Q5TF43	Q5TF43_HUMAN	unreviewed	Acetyl-coenzyme A synthetase 2-like, mitochondrial	ACSS1	Homo sapiens (Human)	153
ACSS1		Q7Z5G3	Q7Z5G3_HUMAN	unreviewed	Acetyl-coenzyme A synthetase (EC 6.2.1.1)	ACSS1	Homo sapiens (Human)	687
ACSS1		Q9NUB1	ACS2L_HUMAN	reviewed	Acetyl-coenzyme A synthetase 2-like, mitochondrial (EC 6.2.1.1) (Acetate--CoA ligase 2) (Acetyl-CoA synthetase 2) (AceCS2) (Acyl-CoA synthetase short-chain family member 1)	ACSS1 ACAS2L KIAA1846	Homo sapiens (Human)	689
ADH1C		A0A087WU81	A0A087WU81_HUMAN	unreviewed	Alcohol dehydrogenase 1C (Fragment)	ADH1C	Homo sapiens (Human)	192
ADH1C		A0A087WUC4	A0A087WUC4_HUMAN	unreviewed	Alcohol dehydrogenase 1C (Fragment)	ADH1C	Homo sapiens (Human)	170
ADH1C		P00326	ADH1G_HUMAN	reviewed	Alcohol dehydrogenase 1C (EC 1.1.1.1) (Alcohol dehydrogenase subunit gamma)	ADH1C ADH3	Homo sapiens (Human)	375
ADH7		A0A0C4DG85	A0A0C4DG85_HUMAN	unreviewed	Alcohol dehydrogenase class 4 mu/sigma chain	ADH7	Homo sapiens (Human)	374
ADH7		C9JP14	C9JP14_HUMAN	unreviewed	Alcohol dehydrogenase class 4 mu/sigma chain (Fragment)	ADH7	Homo sapiens (Human)	107
ADH7		E9PFG0	E9PFG0_HUMAN	unreviewed	Alcohol dehydrogenase class 4 mu/sigma chain	ADH7	Homo sapiens (Human)	317
ADH7		P40394	ADH7_HUMAN	reviewed	Alcohol dehydrogenase class 4 mu/sigma chain (EC 1.1.1.1) (Alcohol dehydrogenase class IV mu/sigma chain) (Gastric alcohol dehydrogenase) (Retinol dehydrogenase)	ADH7	Homo sapiens (Human)	386
ADIPOR2		Q86V24	ADR2_HUMAN	reviewed	Adiponectin receptor protein 2 (Progestin and adipoQ receptor family member II)	ADIPOR2 PAQR2	Homo sapiens (Human)	386
ADSL		A0A096LNT0	A0A096LNT0_HUMAN	unreviewed	Adenylosuccinate lyase (Fragment)	ADSL	Homo sapiens (Human)	81
ADSL		A0A096LNY4	A0A096LNY4_HUMAN	unreviewed	Adenylosuccinate lyase	ADSL	Homo sapiens (Human)	164
ADSL		A0A096LNY5	A0A096LNY5_HUMAN	unreviewed	Adenylosuccinate lyase (Fragment)	ADSL	Homo sapiens (Human)	262
ADSL		A0A096LNY6	A0A096LNY6_HUMAN	unreviewed	Adenylosuccinate lyase (Fragment)	ADSL	Homo sapiens (Human)	360
ADSL		A0A096LP72	A0A096LP72_HUMAN	unreviewed	Adenylosuccinate lyase	ADSL	Homo sapiens (Human)	149
ADSL		A0A096LP76	A0A096LP76_HUMAN	unreviewed	Adenylosuccinate lyase (Fragment)	ADSL	Homo sapiens (Human)	102
ADSL		A0A096LP92	A0A096LP92_HUMAN	unreviewed	Adenylosuccinate lyase (Fragment)	ADSL	Homo sapiens (Human)	78
ADSL		A0A096LPA2	A0A096LPA2_HUMAN	unreviewed	Adenylosuccinate lyase (Fragment)	ADSL	Homo sapiens (Human)	133
ADSL		A0A0A6YY92	A0A0A6YY92_HUMAN	unreviewed	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase)	ADSL	Homo sapiens (Human)	498
ADSL		A0A1B0GTG9	A0A1B0GTG9_HUMAN	unreviewed	Adenylosuccinate lyase (Fragment)	ADSL	Homo sapiens (Human)	377
ADSL		A0A1B0GTJ7	A0A1B0GTJ7_HUMAN	unreviewed	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase)	ADSL	Homo sapiens (Human)	480
ADSL		A0A1B0GWF8	A0A1B0GWF8_HUMAN	unreviewed	Adenylosuccinate lyase (Fragment)	ADSL	Homo sapiens (Human)	403
ADSL		A0A1B0GWJ0	A0A1B0GWJ0_HUMAN	unreviewed	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase)	ADSL	Homo sapiens (Human)	480
ADSL		B4DEP1	B4DEP1_HUMAN	unreviewed	Adenylosuccinate lyase (cDNA FLJ59852, highly similar to Adenylosuccinate lyase (EC 4.3.2.2))	ADSL	Homo sapiens (Human)	127
ADSL		P30566	PUR8_HUMAN	reviewed	Adenylosuccinate lyase (ADSL) (ASL) (EC 4.3.2.2) (Adenylosuccinase) (ASase)	ADSL AMPS	Homo sapiens (Human)	484
ADSL		V9GY96	V9GY96_HUMAN	unreviewed	Adenylosuccinate lyase (Fragment)	ADSL	Homo sapiens (Human)	57
ADSL		X5D2Z4	X5D2Z4_HUMAN	unreviewed	Adenylosuccinate lyase isoform A	ADSL	Homo sapiens (Human)	369
ADSL		X5D7V4	X5D7V4_HUMAN	unreviewed	Adenylosuccinate lyase isoform E	ADSL	Homo sapiens (Human)	81
ADSL		X5D7W4	X5D7W4_HUMAN	unreviewed	Adenylosuccinate lyase isoform C	ADSL	Homo sapiens (Human)	46
ADSL		X5D8S6	X5D8S6_HUMAN	unreviewed	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase) (Fragment)	ADSL hCG_40060	Homo sapiens (Human)	484
ADSL		X5DP48	X5DP48_HUMAN	unreviewed	Adenylosuccinate lyase isoform D	ADSL	Homo sapiens (Human)	351
ALAD		A0A024R877	A0A024R877_HUMAN	unreviewed	Delta-aminolevulinic acid dehydratase (EC 4.2.1.24)	ALAD hCG_29185	Homo sapiens (Human)	339
ALAD		B7ZBK6	B7ZBK6_HUMAN	unreviewed	Delta-aminolevulinic acid dehydratase (Fragment)	ALAD	Homo sapiens (Human)	120
ALAD		B7ZBK7	B7ZBK7_HUMAN	unreviewed	Delta-aminolevulinic acid dehydratase (Fragment)	ALAD	Homo sapiens (Human)	59
ALAD		B7ZBK8	B7ZBK8_HUMAN	unreviewed	Delta-aminolevulinic acid dehydratase (Fragment)	ALAD	Homo sapiens (Human)	14
ALAD		P13716	HEM2_HUMAN	reviewed	Delta-aminolevulinic acid dehydratase (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase)	ALAD	Homo sapiens (Human)	330
ALDH1A1		P00352	AL1A1_HUMAN	reviewed	Retinal dehydrogenase 1 (RALDH 1) (RalDH1) (EC 1.2.1.-) (EC 1.2.1.36) (ALDH-E1) (ALHDII) (Aldehyde dehydrogenase family 1 member A1) (Aldehyde dehydrogenase, cytosolic)	ALDH1A1 ALDC ALDH1 PUMB1	Homo sapiens (Human)	501
ALDH1A1		Q5SYQ7	Q5SYQ7_HUMAN	unreviewed	Retinal dehydrogenase 1 (Fragment)	ALDH1A1	Homo sapiens (Human)	203
ALDH1A1		Q5SYQ8	Q5SYQ8_HUMAN	unreviewed	Retinal dehydrogenase 1 (Fragment)	ALDH1A1	Homo sapiens (Human)	238
ALDH1A1		Q5SYQ9	Q5SYQ9_HUMAN	unreviewed	Retinal dehydrogenase 1	ALDH1A1	Homo sapiens (Human)	230
ALDH1A1		V9HW83	V9HW83_HUMAN	unreviewed	Aldehyde dehydrogenase 1 family, member A1, isoform CRA_a (Epididymis luminal protein 12) (Epididymis secretory sperm binding protein Li 53e)	HEL-S-53e ALDH1A1 HEL12 hCG_17306	Homo sapiens (Human)	501
ALDH3A1		A8MYB8	A8MYB8_HUMAN	unreviewed	Aldehyde dehydrogenase, dimeric NADP-preferring	ALDH3A1	Homo sapiens (Human)	389
ALDH3A1		C9JKT2	C9JKT2_HUMAN	unreviewed	Aldehyde dehydrogenase, dimeric NADP-preferring (Fragment)	ALDH3A1	Homo sapiens (Human)	259
