yourlist:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC10BW	isomap:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC10BW	Entry	Entry name		Protein names	Gene names	Organism	Length
AGRN		Q96QF9	Q96QF9_HUMAN	unreviewed	Agrin (Fragment)	AGRN	Homo sapiens (Human)	8
AK3		Q7Z4Y4	Q7Z4Y4_HUMAN	unreviewed	GTP:AMP phosphotransferase AK3, mitochondrial (EC 2.7.4.10) (Adenylate kinase 3) (AK 3) (Adenylate kinase 3 alpha-like 1)	AK3	Homo sapiens (Human)	227
AK3		Q7Z531	Q7Z531_HUMAN	unreviewed	GTP:AMP phosphotransferase AK3, mitochondrial (EC 2.7.4.10) (Adenylate kinase 3) (AK 3) (Adenylate kinase 3 alpha-like 1)	AK3	Homo sapiens (Human)	215
AK3		Q9UIJ7	KAD3_HUMAN	reviewed	GTP:AMP phosphotransferase AK3, mitochondrial (EC 2.7.4.10) (Adenylate kinase 3) (AK 3) (Adenylate kinase 3 alpha-like 1)	AK3 AK3L1 AK6 AKL3L	Homo sapiens (Human)	227
AK4		D3DQ64	D3DQ64_HUMAN	unreviewed	Adenylate kinase 4, mitochondrial (HCG2031840, isoform CRA_c)	AK4 hCG_2031840	Homo sapiens (Human)	171
AK4		K4Q5R3	K4Q5R3_HUMAN	unreviewed	Adenylate kinase 4 (Fragment)	AK4	Homo sapiens (Human)	39
AK3,AK4	,	P27144	KAD4_HUMAN	reviewed	Adenylate kinase 4, mitochondrial (AK 4) (EC 2.7.4.10) (EC 2.7.4.6) (Adenylate kinase 3-like) (GTP:AMP phosphotransferase AK4)	AK4 AK3 AK3L1	Homo sapiens (Human)	223
AKR1A1		P14550	AK1A1_HUMAN	reviewed	Alcohol dehydrogenase [NADP(+)] (EC 1.1.1.2) (Aldehyde reductase) (Aldo-keto reductase family 1 member A1)	AKR1A1 ALDR1 ALR	Homo sapiens (Human)	325
AKR1A1		Q5T621	Q5T621_HUMAN	unreviewed	Alcohol dehydrogenase [NADP(+)] (Fragment)	AKR1A1	Homo sapiens (Human)	147
AKR1A1		V9GYG2	V9GYG2_HUMAN	unreviewed	Alcohol dehydrogenase [NADP(+)]	AKR1A1	Homo sapiens (Human)	119
AKR1A1		V9GYP9	V9GYP9_HUMAN	unreviewed	Alcohol dehydrogenase [NADP(+)] (Fragment)	AKR1A1	Homo sapiens (Human)	140
ALDH7A1		A0A0J9YWF7	A0A0J9YWF7_HUMAN	unreviewed	Alpha-aminoadipic semialdehyde dehydrogenase	ALDH7A1	Homo sapiens (Human)	294
ALDH7A1		A0A0J9YWK1	A0A0J9YWK1_HUMAN	unreviewed	Alpha-aminoadipic semialdehyde dehydrogenase (Fragment)	ALDH7A1	Homo sapiens (Human)	27
ALDH7A1		A0A0J9YWM6	A0A0J9YWM6_HUMAN	unreviewed	Alpha-aminoadipic semialdehyde dehydrogenase (Fragment)	ALDH7A1	Homo sapiens (Human)	41
ALDH7A1		A0A140T9V3	A0A140T9V3_HUMAN	unreviewed	Alpha-aminoadipic semialdehyde dehydrogenase	ALDH7A1	Homo sapiens (Human)	502
ALDH7A1		A0A1B0GTG2	A0A1B0GTG2_HUMAN	unreviewed	Alpha-aminoadipic semialdehyde dehydrogenase	ALDH7A1	Homo sapiens (Human)	536
ALDH7A1		A0A1B0GTJ4	A0A1B0GTJ4_HUMAN	unreviewed	Alpha-aminoadipic semialdehyde dehydrogenase	ALDH7A1	Homo sapiens (Human)	499
ALDH7A1		A0A1B0GTY9	A0A1B0GTY9_HUMAN	unreviewed	Alpha-aminoadipic semialdehyde dehydrogenase	ALDH7A1	Homo sapiens (Human)	479
ALDH7A1		A0A1B0GUA1	A0A1B0GUA1_HUMAN	unreviewed	Alpha-aminoadipic semialdehyde dehydrogenase	ALDH7A1	Homo sapiens (Human)	521
ALDH7A1		A0A1B0GUY0	A0A1B0GUY0_HUMAN	unreviewed	Alpha-aminoadipic semialdehyde dehydrogenase (Fragment)	ALDH7A1	Homo sapiens (Human)	348
ALDH7A1		A0A1B0GV49	A0A1B0GV49_HUMAN	unreviewed	Alpha-aminoadipic semialdehyde dehydrogenase	ALDH7A1	Homo sapiens (Human)	472
ALDH7A1		A0A1B0GVU0	A0A1B0GVU0_HUMAN	unreviewed	Alpha-aminoadipic semialdehyde dehydrogenase (Fragment)	ALDH7A1	Homo sapiens (Human)	164
ALDH7A1		A0A1B0GW65	A0A1B0GW65_HUMAN	unreviewed	Alpha-aminoadipic semialdehyde dehydrogenase	ALDH7A1	Homo sapiens (Human)	77
ALDH7A1		A0A1B0GW77	A0A1B0GW77_HUMAN	unreviewed	Alpha-aminoadipic semialdehyde dehydrogenase	ALDH7A1	Homo sapiens (Human)	554
ALDH7A1		A0A1B0GW82	A0A1B0GW82_HUMAN	unreviewed	Alpha-aminoadipic semialdehyde dehydrogenase (Fragment)	ALDH7A1	Homo sapiens (Human)	545
ALDH7A1		F8VVF2	F8VVF2_HUMAN	unreviewed	Alpha-aminoadipic semialdehyde dehydrogenase (Fragment)	ALDH7A1	Homo sapiens (Human)	193
ALDH7A1		F8WD33	F8WD33_HUMAN	unreviewed	Alpha-aminoadipic semialdehyde dehydrogenase	ALDH7A1	Homo sapiens (Human)	97
ALDH7A1		F8WDY6	F8WDY6_HUMAN	unreviewed	Alpha-aminoadipic semialdehyde dehydrogenase	ALDH7A1	Homo sapiens (Human)	136
ALDH7A1		H0YHM6	H0YHM6_HUMAN	unreviewed	Alpha-aminoadipic semialdehyde dehydrogenase (Fragment)	ALDH7A1	Homo sapiens (Human)	239
ALDH7A1		P49419	AL7A1_HUMAN	reviewed	Alpha-aminoadipic semialdehyde dehydrogenase (Alpha-AASA dehydrogenase) (EC 1.2.1.31) (Aldehyde dehydrogenase family 7 member A1) (EC 1.2.1.3) (Antiquitin-1) (Betaine aldehyde dehydrogenase) (EC 1.2.1.8) (Delta1-piperideine-6-carboxylate dehydrogenase) (P6c dehydrogenase)	ALDH7A1 ATQ1	Homo sapiens (Human)	539
ALDH9A1		B9EKV4	B9EKV4_HUMAN	unreviewed	Aldehyde dehydrogenase 9 family, member A1	ALDH9A1 hCG_21745	Homo sapiens (Human)	518
ALDH9A1		P49189	AL9A1_HUMAN	reviewed	4-trimethylaminobutyraldehyde dehydrogenase (TMABADH) (EC 1.2.1.47) (Aldehyde dehydrogenase E3 isozyme) (Aldehyde dehydrogenase family 9 member A1) (EC 1.2.1.3) (Gamma-aminobutyraldehyde dehydrogenase) (EC 1.2.1.19) (R-aminobutyraldehyde dehydrogenase) [Cleaved into: 4-trimethylaminobutyraldehyde dehydrogenase, N-terminally processed]	ALDH9A1 ALDH4 ALDH7 ALDH9	Homo sapiens (Human)	494
ALDOA		A0A0M4FNU3	A0A0M4FNU3_HUMAN	unreviewed	Fructose-bisphosphate aldolase (EC 4.1.2.13) (Fragment)	ALDOA	Homo sapiens (Human)	294
ALDOA		A0A1B0GW02	A0A1B0GW02_HUMAN	unreviewed	Fructose-bisphosphate aldolase A	ALDOA	Homo sapiens (Human)	139
ALDOA		H3BMQ8	H3BMQ8_HUMAN	unreviewed	Fructose-bisphosphate aldolase A (Fragment)	ALDOA	Homo sapiens (Human)	140
ALDOA		H3BPS8	H3BPS8_HUMAN	unreviewed	Fructose-bisphosphate aldolase A (Fragment)	ALDOA	Homo sapiens (Human)	278
ALDOA		H3BQN4	H3BQN4_HUMAN	unreviewed	Fructose-bisphosphate aldolase (EC 4.1.2.13)	ALDOA	Homo sapiens (Human)	361
ALDOA		H3BR04	H3BR04_HUMAN	unreviewed	Fructose-bisphosphate aldolase A (Fragment)	ALDOA	Homo sapiens (Human)	162
ALDOA		H3BR68	H3BR68_HUMAN	unreviewed	Fructose-bisphosphate aldolase A (Fragment)	ALDOA	Homo sapiens (Human)	130
ALDOA		H3BU78	H3BU78_HUMAN	unreviewed	Fructose-bisphosphate aldolase (EC 4.1.2.13) (Fragment)	ALDOA	Homo sapiens (Human)	204
ALDOA		H3BUH7	H3BUH7_HUMAN	unreviewed	Fructose-bisphosphate aldolase A (Fragment)	ALDOA	Homo sapiens (Human)	155
ALDOA		H3BUK5	H3BUK5_HUMAN	unreviewed	Fructose-bisphosphate aldolase A (Fragment)	ALDOA	Homo sapiens (Human)	12
ALDOA		J3KPS3	J3KPS3_HUMAN	unreviewed	Fructose-bisphosphate aldolase (EC 4.1.2.13)	ALDOA hCG_1811258	Homo sapiens (Human)	368
ALDOA		P04075	ALDOA_HUMAN	reviewed	Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Lung cancer antigen NY-LU-1) (Muscle-type aldolase)	ALDOA ALDA	Homo sapiens (Human)	364
ALDOA		V9HWN7	V9HWN7_HUMAN	unreviewed	Fructose-bisphosphate aldolase (EC 4.1.2.13)	HEL-S-87p ALDOA hCG_1811258	Homo sapiens (Human)	364
ALDOB		A0A024R145	A0A024R145_HUMAN	unreviewed	Fructose-bisphosphate aldolase (EC 4.1.2.13)	ALDOB hCG_27655	Homo sapiens (Human)	364
ALDOB		A0A087WXX2	A0A087WXX2_HUMAN	unreviewed	Fructose-bisphosphate aldolase (EC 4.1.2.13)	ALDOB	Homo sapiens (Human)	316
ALDOB		P05062	ALDOB_HUMAN	reviewed	Fructose-bisphosphate aldolase B (EC 4.1.2.13) (Liver-type aldolase)	ALDOB ALDB	Homo sapiens (Human)	364
ALG1		K7EID2	K7EID2_HUMAN	unreviewed	Chitobiosyldiphosphodolichol beta-mannosyltransferase (Fragment)	ALG1	Homo sapiens (Human)	167
ALG1		K7EPU3	K7EPU3_HUMAN	unreviewed	Chitobiosyldiphosphodolichol beta-mannosyltransferase (Fragment)	ALG1	Homo sapiens (Human)	184
ALG1		K7EQK1	K7EQK1_HUMAN	unreviewed	Chitobiosyldiphosphodolichol beta-mannosyltransferase	ALG1	Homo sapiens (Human)	84
ALG1		Q9BT22	ALG1_HUMAN	reviewed	Chitobiosyldiphosphodolichol beta-mannosyltransferase (EC 2.4.1.142) (Asparagine-linked glycosylation protein 1 homolog) (Beta-1,4-mannosyltransferase) (GDP-Man:GlcNAc2-PP-dolichol mannosyltransferase) (GDP-mannose-dolichol diphosphochitobiose mannosyltransferase) (Mannosyltransferase-1) (MT-1) (hMat-1)	ALG1 HMAT1 HMT1 PSEC0061 UNQ861/PRO1870	Homo sapiens (Human)	464
ANG		P03950	ANGI_HUMAN	reviewed	Angiogenin (EC 3.1.27.-) (Ribonuclease 5) (RNase 5)	ANG RNASE5	Homo sapiens (Human)	147
ANGPTL4		M0QZ51	M0QZ51_HUMAN	unreviewed	Angiopoietin-related protein 4 (Fragment)	ANGPTL4	Homo sapiens (Human)	96
ANGPTL4		M0R0N8	M0R0N8_HUMAN	unreviewed	Angiopoietin-related protein 4 (Fragment)	ANGPTL4	Homo sapiens (Human)	85
ANGPTL4		M0R2X8	M0R2X8_HUMAN	unreviewed	Angiopoietin-related protein 4 (Fragment)	ANGPTL4	Homo sapiens (Human)	129
ANGPTL4		M0R369	M0R369_HUMAN	unreviewed	Angiopoietin-related protein 4	ANGPTL4	Homo sapiens (Human)	128
ANGPTL4		M0R3A2	M0R3A2_HUMAN	unreviewed	Angiopoietin-related protein 4 (Fragment)	ANGPTL4	Homo sapiens (Human)	104
ANGPTL4		Q9BY76	ANGL4_HUMAN	reviewed	Angiopoietin-related protein 4 (Angiopoietin-like protein 4) (Hepatic fibrinogen/angiopoietin-related protein) (HFARP)	ANGPTL4 ARP4 HFARP PGAR PP1158 PSEC0166 UNQ171/PRO197	Homo sapiens (Human)	406
ANKZF1		A0A024R464	A0A024R464_HUMAN	unreviewed	Ankyrin repeat and zinc finger domain containing 1, isoform CRA_b	ANKZF1 hCG_15582	Homo sapiens (Human)	726
ANKZF1		B8ZZS4	B8ZZS4_HUMAN	unreviewed	Ankyrin repeat and zinc finger domain-containing protein 1	ANKZF1	Homo sapiens (Human)	516
ANKZF1		C9J5H7	C9J5H7_HUMAN	unreviewed	Ankyrin repeat and zinc finger domain-containing protein 1 (Fragment)	ANKZF1	Homo sapiens (Human)	59
ANKZF1		C9JQZ3	C9JQZ3_HUMAN	unreviewed	Ankyrin repeat and zinc finger domain-containing protein 1 (Fragment)	ANKZF1	Homo sapiens (Human)	90
ANKZF1		C9JS61	C9JS61_HUMAN	unreviewed	Ankyrin repeat and zinc finger domain-containing protein 1 (Fragment)	ANKZF1	Homo sapiens (Human)	115
ANKZF1		C9K022	C9K022_HUMAN	unreviewed	Ankyrin repeat and zinc finger domain-containing protein 1 (Fragment)	ANKZF1	Homo sapiens (Human)	140
ANKZF1		F8WD44	F8WD44_HUMAN	unreviewed	Ankyrin repeat and zinc finger domain-containing protein 1	ANKZF1	Homo sapiens (Human)	53
ANKZF1		Q9H8Y5	ANKZ1_HUMAN	reviewed	Ankyrin repeat and zinc finger domain-containing protein 1 (Zinc finger protein 744)	ANKZF1 ZNF744	Homo sapiens (Human)	726
ARPP19		H3BMD8	H3BMD8_HUMAN	unreviewed	cAMP-regulated phosphoprotein 19	ARPP19	Homo sapiens (Human)	131
ARPP19		H3BQ52	H3BQ52_HUMAN	unreviewed	cAMP-regulated phosphoprotein 19	ARPP19	Homo sapiens (Human)	71
ARPP19		H3BTD3	H3BTD3_HUMAN	unreviewed	cAMP-regulated phosphoprotein 19 (Fragment)	ARPP19	Homo sapiens (Human)	72
ARPP19		P56211	ARP19_HUMAN	reviewed	cAMP-regulated phosphoprotein 19 (ARPP-19)	ARPP19	Homo sapiens (Human)	112
ARTN		D3DPX9	D3DPX9_HUMAN	unreviewed	Artemin, isoform CRA_b	ARTN hCG_25200	Homo sapiens (Human)	228
ARTN		E9PIK2	E9PIK2_HUMAN	unreviewed	Artemin (Fragment)	ARTN	Homo sapiens (Human)	66
ARTN		E9PLG3	E9PLG3_HUMAN	unreviewed	Artemin	ARTN	Homo sapiens (Human)	76
ARTN		E9PN22	E9PN22_HUMAN	unreviewed	Artemin (Fragment)	ARTN	Homo sapiens (Human)	89
ARTN		Q5T4W7	ARTN_HUMAN	reviewed	Artemin (Enovin) (Neublastin)	ARTN EVN	Homo sapiens (Human)	220
AURKA		A3KFJ0	A3KFJ0_HUMAN	unreviewed	Aurora kinase A	AURKA	Homo sapiens (Human)	347
AURKA		A3KFJ1	A3KFJ1_HUMAN	unreviewed	Aurora kinase A (Fragment)	AURKA	Homo sapiens (Human)	188
AURKA		A3KFJ2	A3KFJ2_HUMAN	unreviewed	Aurora kinase A (Fragment)	AURKA	Homo sapiens (Human)	79
AURKA		O14965	AURKA_HUMAN	reviewed	Aurora kinase A (EC 2.7.11.1) (Aurora 2) (Aurora/IPL1-related kinase 1) (ARK-1) (Aurora-related kinase 1) (hARK1) (Breast tumor-amplified kinase) (Serine/threonine-protein kinase 15) (Serine/threonine-protein kinase 6) (Serine/threonine-protein kinase aurora-A)	AURKA AIK AIRK1 ARK1 AURA AYK1 BTAK IAK1 STK15 STK6	Homo sapiens (Human)	403
AURKA		Q5QPD1	Q5QPD1_HUMAN	unreviewed	Aurora kinase A (Fragment)	AURKA	Homo sapiens (Human)	106
AURKA		Q5QPD2	Q5QPD2_HUMAN	unreviewed	Aurora kinase A (Fragment)	AURKA	Homo sapiens (Human)	146
AURKA		Q5QPD4	Q5QPD4_HUMAN	unreviewed	Aurora kinase A (Fragment)	AURKA	Homo sapiens (Human)	271
B3GALT6		Q499Z2	Q499Z2_HUMAN	unreviewed	Hexosyltransferase (EC 2.4.1.-) (Fragment)	B3GALT6	Homo sapiens (Human)	304
B3GALT6		Q96L58	B3GT6_HUMAN	reviewed	Beta-1,3-galactosyltransferase 6 (Beta-1,3-GalTase 6) (Beta3Gal-T6) (Beta3GalT6) (EC 2.4.1.134) (GAG GalTII) (Galactosyltransferase II) (Galactosylxylosylprotein 3-beta-galactosyltransferase) (UDP-Gal:betaGal beta 1,3-galactosyltransferase polypeptide 6)	B3GALT6	Homo sapiens (Human)	329
B3GAT1		Q9P2W7	B3GA1_HUMAN	reviewed	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1 (EC 2.4.1.135) (Beta-1,3-glucuronyltransferase 1) (Glucuronosyltransferase P) (GlcAT-P) (UDP-GlcUA:glycoprotein beta-1,3-glucuronyltransferase) (GlcUAT-P)	B3GAT1 GLCATP	Homo sapiens (Human)	334
B3GAT3		E9PNA1	E9PNA1_HUMAN	unreviewed	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase (EC 2.4.1.135) (Fragment)	B3GAT3	Homo sapiens (Human)	223
B3GAT3		E9PQ60	E9PQ60_HUMAN	unreviewed	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3	B3GAT3	Homo sapiens (Human)	38
B3GAT3		G3V150	G3V150_HUMAN	unreviewed	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase (EC 2.4.1.135)	B3GAT3 hCG_16017	Homo sapiens (Human)	319
B3GAT3		O94766	B3GA3_HUMAN	reviewed	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3 (EC 2.4.1.135) (Beta-1,3-glucuronyltransferase 3) (Glucuronosyltransferase I) (GlcAT-I) (UDP-GlcUA:Gal beta-1,3-Gal-R glucuronyltransferase) (GlcUAT-I)	B3GAT3	Homo sapiens (Human)	335
B3GAT3		Q5U676	Q5U676_HUMAN	unreviewed	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase (EC 2.4.1.135) (Fragment)	B3GAT3	Homo sapiens (Human)	341
B3GNT3		M0QX58	M0QX58_HUMAN	unreviewed	Hexosyltransferase (EC 2.4.1.-) (Fragment)	B3GNT3	Homo sapiens (Human)	127
B3GNT3		M0R199	M0R199_HUMAN	unreviewed	Hexosyltransferase (EC 2.4.1.-) (Fragment)	B3GNT3	Homo sapiens (Human)	250
B3GNT3		Q9Y2A9	B3GN3_HUMAN	reviewed	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 3 (EC 2.4.1.149) (Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase) (EC 2.4.1.146) (Beta-1,3-galactosyltransferase 8) (Beta-1,3-GalTase 8) (Beta3Gal-T8) (Beta3GalT8) (b3Gal-T8) (Beta-3-Gx-T8) (Core 1 extending beta-1,3-N-acetylglucosaminyltransferase) (Core1-beta3GlcNAcT) (Transmembrane protein 3) (UDP-Gal:beta-GlcNAc beta-1,3-galactosyltransferase 8) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3) (BGnT-3) (Beta-1,3-Gn-T3) (Beta-1,3-N-acetylglucosaminyltransferase 3) (Beta3Gn-T3) (UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase 8)	B3GNT3 B3GALT8 TMEM3 UNQ637/PRO1266	Homo sapiens (Human)	372
B4GALT1		P15291	B4GT1_HUMAN	reviewed	Beta-1,4-galactosyltransferase 1 (Beta-1,4-GalTase 1) (Beta4Gal-T1) (b4Gal-T1) (EC 2.4.1.-) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 1) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 1) [Cleaved into: Processed beta-1,4-galactosyltransferase 1] [Includes: Lactose synthase A protein (EC 2.4.1.22); N-acetyllactosamine synthase (EC 2.4.1.90) (Nal synthase); Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase (EC 2.4.1.38); Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase (EC 2.4.1.-)]	B4GALT1 GGTB2	Homo sapiens (Human)	398
B4GALT1		Q86XA6	Q86XA6_HUMAN	unreviewed	B4GALT1 protein (Beta-1,4-galactosyltransferase 1)	B4GALT1	Homo sapiens (Human)	225
B4GALT1		W6MEN3	W6MEN3_HUMAN	unreviewed	Beta-1,4-galactosyltransferase 1	B4GALT1	Homo sapiens (Human)	357
B4GALT1		W6MEN4	W6MEN4_HUMAN	unreviewed	Beta-1,4-galactosyltransferase 1	B4GALT1	Homo sapiens (Human)	219
B4GALT2		O60909	B4GT2_HUMAN	reviewed	Beta-1,4-galactosyltransferase 2 (Beta-1,4-GalTase 2) (Beta4Gal-T2) (b4Gal-T2) (EC 2.4.1.-) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 2) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 2) [Includes: Lactose synthase A protein (EC 2.4.1.22); N-acetyllactosamine synthase (EC 2.4.1.90) (Nal synthase); Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase (EC 2.4.1.38); Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase (EC 2.4.1.-)]	B4GALT2	Homo sapiens (Human)	372
B4GALT4		B2RAZ5	B2RAZ5_HUMAN	unreviewed	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 4 (UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 4, isoform CRA_a) (cDNA, FLJ95212, Homo sapiens UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase,polypeptide 4 (B4GALT4), mRNA)	B4GALT4 hCG_22565	Homo sapiens (Human)	344
B4GALT4		C9J3R8	C9J3R8_HUMAN	unreviewed	Beta-1,4-galactosyltransferase 4	B4GALT4	Homo sapiens (Human)	301
B4GALT4		C9J4S5	C9J4S5_HUMAN	unreviewed	Beta-1,4-galactosyltransferase 4 (Fragment)	B4GALT4	Homo sapiens (Human)	136
B4GALT4		C9J5S0	C9J5S0_HUMAN	unreviewed	Beta-1,4-galactosyltransferase 4 (Fragment)	B4GALT4	Homo sapiens (Human)	118
B4GALT4		C9J644	C9J644_HUMAN	unreviewed	Beta-1,4-galactosyltransferase 4 (Fragment)	B4GALT4	Homo sapiens (Human)	41
B4GALT4		C9JA31	C9JA31_HUMAN	unreviewed	Beta-1,4-galactosyltransferase 4	B4GALT4	Homo sapiens (Human)	62
B4GALT4		C9JE00	C9JE00_HUMAN	unreviewed	Beta-1,4-galactosyltransferase 4 (Fragment)	B4GALT4	Homo sapiens (Human)	54
B4GALT4		C9JY35	C9JY35_HUMAN	unreviewed	Beta-1,4-galactosyltransferase 4 (Fragment)	B4GALT4	Homo sapiens (Human)	25
B4GALT4		C9JY38	C9JY38_HUMAN	unreviewed	Beta-1,4-galactosyltransferase 4 (Fragment)	B4GALT4	Homo sapiens (Human)	21
B4GALT4		E7ETS9	E7ETS9_HUMAN	unreviewed	Beta-1,4-galactosyltransferase 4	B4GALT4	Homo sapiens (Human)	246
