yourlist:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC14D9	isomap:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC14D9	Entry	Entry name		Protein names	Gene names	Organism	Length
CBL		A0A0U1RRJ5	A0A0U1RRJ5_HUMAN	unreviewed	E3 ubiquitin-protein ligase CBL (Fragment)	CBL	Homo sapiens (Human)	89
CBL		A0A1B0GW38	A0A1B0GW38_HUMAN	unreviewed	E3 ubiquitin-protein ligase CBL (Fragment)	CBL	Homo sapiens (Human)	869
CBL		L0R4V5	L0R4V5_HUMAN	unreviewed	Alternative protein CBL	CBL	Homo sapiens (Human)	51
CBL		P22681	CBL_HUMAN	reviewed	E3 ubiquitin-protein ligase CBL (EC 2.3.2.27) (Casitas B-lineage lymphoma proto-oncogene) (Proto-oncogene c-Cbl) (RING finger protein 55) (RING-type E3 ubiquitin transferase CBL) (Signal transduction protein CBL)	CBL CBL2 RNF55	Homo sapiens (Human)	906
CCL7		A8MVH1	A8MVH1_HUMAN	unreviewed	C-C motif chemokine 7	CCL7	Homo sapiens (Human)	81
CCL7		A8MX17	A8MX17_HUMAN	unreviewed	C-C motif chemokine 7	CCL7	Homo sapiens (Human)	47
CCL7		P80098	CCL7_HUMAN	reviewed	C-C motif chemokine 7 (Monocyte chemoattractant protein 3) (Monocyte chemotactic protein 3) (MCP-3) (NC28) (Small-inducible cytokine A7)	CCL7 MCP3 SCYA6 SCYA7	Homo sapiens (Human)	99
CCL7		Q7Z7Q8	Q7Z7Q8_HUMAN	unreviewed	C-C motif chemokine	MCP-3 CCL7 hCG_29304	Homo sapiens (Human)	109
CCR1		P32246	CCR1_HUMAN	reviewed	C-C chemokine receptor type 1 (C-C CKR-1) (CC-CKR-1) (CCR-1) (CCR1) (HM145) (LD78 receptor) (Macrophage inflammatory protein 1-alpha receptor) (MIP-1alpha-R) (RANTES-R) (CD antigen CD191)	CCR1 CMKBR1 CMKR1 SCYAR1	Homo sapiens (Human)	355
CCR1		Q5U003	Q5U003_HUMAN	unreviewed	Chemokine (C-C motif) receptor 1 (Chemokine (C-C motif) receptor 1, isoform CRA_a)	CCR1 hCG_15324	Homo sapiens (Human)	355
CD14		D6RD81	D6RD81_HUMAN	unreviewed	Monocyte differentiation antigen CD14 (Fragment)	CD14	Homo sapiens (Human)	55
CD14		D6RFL4	D6RFL4_HUMAN	unreviewed	Monocyte differentiation antigen CD14 (Fragment)	CD14	Homo sapiens (Human)	213
CD14		E7EVL5	E7EVL5_HUMAN	unreviewed	Monocyte differentiation antigen CD14 (Fragment)	CD14	Homo sapiens (Human)	81
CD14		F1C4A7	F1C4A7_HUMAN	unreviewed	Monocyte differentiation antigen CD14 (Myeloid cell-specific leucine-rich glycoprotein)	CD14	Homo sapiens (Human)	375
CD14		P08571	CD14_HUMAN	reviewed	Monocyte differentiation antigen CD14 (Myeloid cell-specific leucine-rich glycoprotein) (CD antigen CD14) [Cleaved into: Monocyte differentiation antigen CD14, urinary form; Monocyte differentiation antigen CD14, membrane-bound form]	CD14	Homo sapiens (Human)	375
CD36		A0A0A1EAI1	A0A0A1EAI1_HUMAN	unreviewed	CD36 antigen (Fragment)	CD36	Homo sapiens (Human)	109
CD36		A0A0A1ED81	A0A0A1ED81_HUMAN	unreviewed	CD36 antigen (Fragment)	CD36	Homo sapiens (Human)	127
CD36		A0A0G3VPD9	A0A0G3VPD9_HUMAN	unreviewed	Thrombospondin receptor (Fragment)	CD36	Homo sapiens (Human)	103
CD36		A0A0G3VQ57	A0A0G3VQ57_HUMAN	unreviewed	Thrombospondin receptor (Fragment)	CD36	Homo sapiens (Human)	109
CD36		A0A0G3VR70	A0A0G3VR70_HUMAN	unreviewed	Thrombospondin receptor (Fragment)	CD36	Homo sapiens (Human)	102
CD36		A0A0G3VRE1	A0A0G3VRE1_HUMAN	unreviewed	Thrombospondin receptor (Fragment)	CD36	Homo sapiens (Human)	97
CD36		A0A0G3VSQ7	A0A0G3VSQ7_HUMAN	unreviewed	Thrombospondin receptor (Fragment)	CD36	Homo sapiens (Human)	109
CD36		A0A0H3WBE8	A0A0H3WBE8_HUMAN	unreviewed	Thrombospondin receptor (Fragment)	CD36	Homo sapiens (Human)	72
CD36		A0A0H3WC42	A0A0H3WC42_HUMAN	unreviewed	Thrombospondin receptor (Fragment)	CD36	Homo sapiens (Human)	102
CD36		A0A0H3WDH4	A0A0H3WDH4_HUMAN	unreviewed	Thrombospondin receptor (Fragment)	CD36	Homo sapiens (Human)	109
CD36		A0A0H3WDK6	A0A0H3WDK6_HUMAN	unreviewed	Thrombospondin receptor (Fragment)	CD36	Homo sapiens (Human)	93
CD36		A0A0H3WE82	A0A0H3WE82_HUMAN	unreviewed	Thrombospondin receptor (Fragment)	CD36	Homo sapiens (Human)	71
CD36		A0A0S2Z3J6	A0A0S2Z3J6_HUMAN	unreviewed	CD36 molecule isoform 3	CD36	Homo sapiens (Human)	93
CD36		A0A0S2Z452	A0A0S2Z452_HUMAN	unreviewed	CD36 molecule isoform 2	CD36	Homo sapiens (Human)	100
CD36		A4D1B1	A4D1B1_HUMAN	unreviewed	CD36 antigen (Collagen type I receptor, thrombospondin receptor) (CD36 antigen (Collagen type I receptor, thrombospondin receptor), isoform CRA_a) (CD36 molecule isoform 1) (cDNA, FLJ93369, highly similar to Homo sapiens CD36 antigen (collagen type I receptor, thrombospondinreceptor) (CD36), mRNA)	CD36 hCG_17062 tcag7.257	Homo sapiens (Human)	472
CD36		D9IX63	D9IX63_HUMAN	unreviewed	Platelet glycoprotein IV variant	CD36	Homo sapiens (Human)	472
CD36		D9IX64	D9IX64_HUMAN	unreviewed	Platelet glycoprotein IV variant	CD36	Homo sapiens (Human)	472
CD36		D9IX65	D9IX65_HUMAN	unreviewed	Platelet glycoprotein IV variant	CD36	Homo sapiens (Human)	472
CD36		E7ERZ9	E7ERZ9_HUMAN	unreviewed	Platelet glycoprotein 4 (Fragment)	CD36	Homo sapiens (Human)	143
CD36		E7EU05	E7EU05_HUMAN	unreviewed	Platelet glycoprotein 4 (Fragment)	CD36	Homo sapiens (Human)	463
CD36		E7EVU1	E7EVU1_HUMAN	unreviewed	Platelet glycoprotein 4	CD36	Homo sapiens (Human)	99
CD36		E7EWI4	E7EWI4_HUMAN	unreviewed	Platelet glycoprotein 4 (Fragment)	CD36	Homo sapiens (Human)	148
CD36		E7EX47	E7EX47_HUMAN	unreviewed	Platelet glycoprotein 4 (Fragment)	CD36	Homo sapiens (Human)	203
CD36		E9PC45	E9PC45_HUMAN	unreviewed	Platelet glycoprotein 4 (Fragment)	CD36	Homo sapiens (Human)	93
CD36		E9PJX8	E9PJX8_HUMAN	unreviewed	Platelet glycoprotein 4 (Fragment)	CD36	Homo sapiens (Human)	65
CD36		E9PLT1	E9PLT1_HUMAN	unreviewed	Platelet glycoprotein 4	CD36	Homo sapiens (Human)	396
CD36		H0YEE7	H0YEE7_HUMAN	unreviewed	Platelet glycoprotein 4 (Fragment)	CD36	Homo sapiens (Human)	66
CD36		P16671	CD36_HUMAN	reviewed	Platelet glycoprotein 4 (Fatty acid translocase) (FAT) (Glycoprotein IIIb) (GPIIIB) (Leukocyte differentiation antigen CD36) (PAS IV) (PAS-4) (Platelet collagen receptor) (Platelet glycoprotein IV) (GPIV) (Thrombospondin receptor) (CD antigen CD36)	CD36 GP3B GP4	Homo sapiens (Human)	472
CD36		Q13965	Q13965_HUMAN	unreviewed	CD36 antigen (Fragment)	CD36	Homo sapiens (Human)	43
CD36		V5M404	V5M404_HUMAN	unreviewed	Mutant thrombospondin receptor (Fragment)	CD36	Homo sapiens (Human)	33
CD38		H0Y950	H0Y950_HUMAN	unreviewed	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 (Fragment)	CD38	Homo sapiens (Human)	151
CD38		P28907	CD38_HUMAN	reviewed	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 (EC 3.2.2.6) (2'-phospho-ADP-ribosyl cyclase) (2'-phospho-ADP-ribosyl cyclase/2'-phospho-cyclic-ADP-ribose transferase) (EC 2.4.99.20) (2'-phospho-cyclic-ADP-ribose transferase) (ADP-ribosyl cyclase 1) (ADPRC 1) (Cyclic ADP-ribose hydrolase 1) (cADPr hydrolase 1) (T10) (CD antigen CD38)	CD38	Homo sapiens (Human)	300
CD44		C0STK4	C0STK4_HUMAN	unreviewed	CD44 molecule (Fragment)	CD44	Homo sapiens (Human)	40
CD44		C1PHC2	C1PHC2_HUMAN	unreviewed	CD44 molecule (Fragment)	CD44	Homo sapiens (Human)	42
CD44		C1PHC3	C1PHC3_HUMAN	unreviewed	CD44 molecule (Fragment)	CD44	Homo sapiens (Human)	45
CD44		C1PHC4	C1PHC4_HUMAN	unreviewed	CD44 molecule (Fragment)	CD44	Homo sapiens (Human)	44
CD44		C1PHE6	C1PHE6_HUMAN	unreviewed	CD44 molecule (Fragment)	CD44	Homo sapiens (Human)	29
CD44		E9PKC6	E9PKC6_HUMAN	unreviewed	CD44 antigen	CD44	Homo sapiens (Human)	78
CD44		H0Y2P0	H0Y2P0_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	287
CD44		H0Y5E4	H0Y5E4_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	294
CD44		H0YCL4	H0YCL4_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	195
CD44		H0YCV9	H0YCV9_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	249
CD44		H0YD13	H0YD13_HUMAN	unreviewed	CD44 antigen	CD44	Homo sapiens (Human)	206
CD44		H0YD17	H0YD17_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	229
CD44		H0YD90	H0YD90_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	195
CD44		H0YDV8	H0YDV8_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	191
CD44		H0YDW7	H0YDW7_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	240
CD44		H0YDX6	H0YDX6_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	181
CD44		H0YE40	H0YE40_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	82
CD44		H0YEA1	H0YEA1_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	193
CD44		H0YES0	H0YES0_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	118
CD44		H0YEU1	H0YEU1_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	249
CD44		H0YEV3	H0YEV3_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	243
CD44		H0YF08	H0YF08_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	186
CD44		J3KN83	J3KN83_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	232
CD44		O95658	O95658_HUMAN	unreviewed	Soluble CD44 (Fragment)	CD44	Homo sapiens (Human)	31
CD44		O95659	O95659_HUMAN	unreviewed	Soluble CD44 (Fragment)	CD44	Homo sapiens (Human)	33
CD44		P16070	CD44_HUMAN	reviewed	CD44 antigen (CDw44) (Epican) (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Heparan sulfate proteoglycan) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44)	CD44 LHR MDU2 MDU3 MIC4	Homo sapiens (Human)	742
CD44		Q86UZ1	Q86UZ1_HUMAN	unreviewed	CD44 antigen (CD44 protein)	CD44	Homo sapiens (Human)	80
CD44		Q99900	Q99900_HUMAN	unreviewed	CD44 protein (Fragment)	CD44	Homo sapiens (Human)	177
CD44		Q9P2Z2	Q9P2Z2_HUMAN	unreviewed	CD44 epithelial domain (Fragment)	CD44	Homo sapiens (Human)	127
CD9		A0A087WU13	A0A087WU13_HUMAN	unreviewed	Tetraspanin	CD9	Homo sapiens (Human)	182
CD9		A6NNI4	A6NNI4_HUMAN	unreviewed	Tetraspanin	CD9	Homo sapiens (Human)	159
CD9		F5GXT1	F5GXT1_HUMAN	unreviewed	CD9 antigen (Fragment)	CD9	Homo sapiens (Human)	141
CD9		G8JLH6	G8JLH6_HUMAN	unreviewed	Tetraspanin (Fragment)	CD9	Homo sapiens (Human)	228
CD9		P21926	CD9_HUMAN	reviewed	CD9 antigen (5H9 antigen) (Cell growth-inhibiting gene 2 protein) (Leukocyte antigen MIC3) (Motility-related protein) (MRP-1) (Tetraspanin-29) (Tspan-29) (p24) (CD antigen CD9)	CD9 MIC3 TSPAN29 GIG2	Homo sapiens (Human)	228
CNTFR		A0A0A0N0N2	A0A0A0N0N2_HUMAN	unreviewed	CNTFR isoform 3	CNTFR	Homo sapiens (Human)	380
CNTFR		P26992	CNTFR_HUMAN	reviewed	Ciliary neurotrophic factor receptor subunit alpha (CNTF receptor subunit alpha) (CNTFR-alpha)	CNTFR	Homo sapiens (Human)	372
CNTFR		Q5T8H6	Q5T8H6_HUMAN	unreviewed	Ciliary neurotrophic factor receptor subunit alpha (Fragment)	CNTFR	Homo sapiens (Human)	256
CRLF2		A0A0C4DH06	A0A0C4DH06_HUMAN	unreviewed	Cytokine receptor-like factor 2	CRLF2	Homo sapiens (Human)	232
CRLF2		Q9HC73	CRLF2_HUMAN	reviewed	Cytokine receptor-like factor 2 (Cytokine receptor-like 2) (IL-XR) (Thymic stromal lymphopoietin protein receptor) (TSLP receptor)	CRLF2 CRL2 ILXR TSLPR	Homo sapiens (Human)	371
CSF1		A0A024R0A1	A0A024R0A1_HUMAN	unreviewed	Macrophage colony-stimulating factor 1 (CSF-1) (MCSF)	CSF1 hCG_40247	Homo sapiens (Human)	554
CSF1		E9PJA2	E9PJA2_HUMAN	unreviewed	Macrophage colony-stimulating factor 1 (Fragment)	CSF1	Homo sapiens (Human)	285
CSF1		E9PKP4	E9PKP4_HUMAN	unreviewed	Macrophage colony-stimulating factor 1 (Fragment)	CSF1	Homo sapiens (Human)	113
CSF1		E9PQ08	E9PQ08_HUMAN	unreviewed	Macrophage colony-stimulating factor 1 (Fragment)	CSF1	Homo sapiens (Human)	150
CSF1		H7BY18	H7BY18_HUMAN	unreviewed	Macrophage colony-stimulating factor 1 (Fragment)	CSF1	Homo sapiens (Human)	119
CSF1		P09603	CSF1_HUMAN	reviewed	Macrophage colony-stimulating factor 1 (CSF-1) (M-CSF) (MCSF) (Lanimostim) [Cleaved into: Processed macrophage colony-stimulating factor 1]	CSF1	Homo sapiens (Human)	554
CSF2		P04141	CSF2_HUMAN	reviewed	Granulocyte-macrophage colony-stimulating factor (GM-CSF) (Colony-stimulating factor) (CSF) (Molgramostin) (Sargramostim)	CSF2 GMCSF	Homo sapiens (Human)	144
CSF2RA		A0A024RBT5	A0A024RBT5_HUMAN	unreviewed	Colony stimulating factor 2 receptor, alpha, low-affinity (Granulocyte-macrophage), isoform CRA_a	CSF2RA hCG_1795031	Homo sapiens (Human)	27
CSF2RA		A0A1B4XX95	A0A1B4XX95_HUMAN	unreviewed	Colony stimulating factor 2 receptor alpha subunit	CSF2RA	Homo sapiens (Human)	169
CSF2RA		F2Z3C9	F2Z3C9_HUMAN	unreviewed	Granulocyte-macrophage colony-stimulating factor receptor subunit alpha	CSF2RA	Homo sapiens (Human)	285
CSF2RA		J3JS74	J3JS74_HUMAN	unreviewed	Granulocyte-macrophage colony-stimulating factor receptor subunit alpha (Fragment)	CSF2RA	Homo sapiens (Human)	238
CSF2RA		P15509	CSF2R_HUMAN	reviewed	Granulocyte-macrophage colony-stimulating factor receptor subunit alpha (GM-CSF-R-alpha) (GMCSFR-alpha) (GMR-alpha) (CDw116) (CD antigen CD116)	CSF2RA CSF2R CSF2RY	Homo sapiens (Human)	400
CSF2RA		Q16498	Q16498_HUMAN	unreviewed	GM-CSF receptor alpha subunit	CSF2RA	Homo sapiens (Human)	25
CSF2RA		V9GYE9	V9GYE9_HUMAN	unreviewed	Granulocyte-macrophage colony-stimulating factor receptor subunit alpha	CSF2RA	Homo sapiens (Human)	90
CSF2RB		B0QY07	B0QY07_HUMAN	unreviewed	Cytokine receptor common subunit beta (Fragment)	CSF2RB	Homo sapiens (Human)	228
CSF2RB		L0R5A1	L0R5A1_HUMAN	unreviewed	Alternative protein CSF2RB	CSF2RB	Homo sapiens (Human)	108
CSF2RB		L8EC56	L8EC56_HUMAN	unreviewed	Alternative protein CSF2RB	CSF2RB	Homo sapiens (Human)	55
CSF2RB		P32927	IL3RB_HUMAN	reviewed	Cytokine receptor common subunit beta (CDw131) (GM-CSF/IL-3/IL-5 receptor common beta subunit) (CD antigen CD131)	CSF2RB IL3RB IL5RB	Homo sapiens (Human)	897
CSF2RB		Q6NSJ8	Q6NSJ8_HUMAN	unreviewed	CSF2RB protein (Cytokine receptor common subunit beta)	CSF2RB	Homo sapiens (Human)	889
CSF3R		E9PK56	E9PK56_HUMAN	unreviewed	Granulocyte colony-stimulating factor receptor (Fragment)	CSF3R	Homo sapiens (Human)	21
CSF3R		H0YE86	H0YE86_HUMAN	unreviewed	Granulocyte colony-stimulating factor receptor (Fragment)	CSF3R	Homo sapiens (Human)	388
CSF3R		Q99062	CSF3R_HUMAN	reviewed	Granulocyte colony-stimulating factor receptor (G-CSF receptor) (G-CSF-R) (CD antigen CD114)	CSF3R GCSFR	Homo sapiens (Human)	836
CXCL1		P09341	GROA_HUMAN	reviewed	Growth-regulated alpha protein (C-X-C motif chemokine 1) (GRO-alpha(1-73)) (Melanoma growth stimulatory activity) (MGSA) (Neutrophil-activating protein 3) (NAP-3) [Cleaved into: GRO-alpha(4-73); GRO-alpha(5-73); GRO-alpha(6-73)]	CXCL1 GRO GRO1 GROA MGSA SCYB1	Homo sapiens (Human)	107
CXCL10		A0A024RDA4	A0A024RDA4_HUMAN	unreviewed	C-X-C motif chemokine	CXCL10 hCG_23842	Homo sapiens (Human)	98
CXCL10		P02778	CXL10_HUMAN	reviewed	C-X-C motif chemokine 10 (10 kDa interferon gamma-induced protein) (Gamma-IP10) (IP-10) (Small-inducible cytokine B10) [Cleaved into: CXCL10(1-73)]	CXCL10 INP10 SCYB10	Homo sapiens (Human)	98
CXCL11		L8E879	L8E879_HUMAN	unreviewed	Alternative protein CXCL11	CXCL11	Homo sapiens (Human)	65
CXCL11		O14625	CXL11_HUMAN	reviewed	C-X-C motif chemokine 11 (Beta-R1) (H174) (Interferon gamma-inducible protein 9) (IP-9) (Interferon-inducible T-cell alpha chemoattractant) (I-TAC) (Small-inducible cytokine B11)	CXCL11 ITAC SCYB11 SCYB9B	Homo sapiens (Human)	94
CXCL13		L8E878	L8E878_HUMAN	unreviewed	Alternative protein CXCL13	CXCL13	Homo sapiens (Human)	62
CXCL13		O43927	CXL13_HUMAN	reviewed	C-X-C motif chemokine 13 (Angie) (B cell-attracting chemokine 1) (BCA-1) (B lymphocyte chemoattractant) (CXC chemokine BLC) (Small-inducible cytokine B13)	CXCL13 BCA1 BLC SCYB13	Homo sapiens (Human)	109
CXCL13		Q53X90	Q53X90_HUMAN	unreviewed	C-X-C motif chemokine (Fragment)	CXCL13 hCG_22991	Homo sapiens (Human)	109
CXCL3		P19876	CXCL3_HUMAN	reviewed	C-X-C motif chemokine 3 (GRO-gamma(1-73)) (Growth-regulated protein gamma) (GRO-gamma) (Macrophage inflammatory protein 2-beta) (MIP2-beta) [Cleaved into: GRO-gamma(5-73)]	CXCL3 GRO3 GROG SCYB3	Homo sapiens (Human)	107
CXCL9		L8E8X0	L8E8X0_HUMAN	unreviewed	Alternative protein CXCL9	CXCL9	Homo sapiens (Human)	52
CXCL9		Q07325	CXCL9_HUMAN	reviewed	C-X-C motif chemokine 9 (Gamma-interferon-induced monokine) (Monokine induced by interferon-gamma) (HuMIG) (MIG) (Small-inducible cytokine B9)	CXCL9 CMK MIG SCYB9	Homo sapiens (Human)	125
DNTT		P04053	TDT_HUMAN	reviewed	DNA nucleotidylexotransferase (EC 2.7.7.31) (Terminal addition enzyme) (Terminal deoxynucleotidyltransferase) (Terminal transferase)	DNTT TDT	Homo sapiens (Human)	509
DNTT		Q14182	Q14182_HUMAN	unreviewed	Deoxynucleotidyltransferase (Fragment)	DNTT	Homo sapiens (Human)	13
EBI3		Q14213	IL27B_HUMAN	reviewed	Interleukin-27 subunit beta (IL-27 subunit beta) (IL-27B) (Epstein-Barr virus-induced gene 3 protein) (EBV-induced gene 3 protein)	EBI3 IL27B	Homo sapiens (Human)	229
FAS		A0A087WTM9	A0A087WTM9_HUMAN	unreviewed	Tumor necrosis factor receptor superfamily member 6	FAS	Homo sapiens (Human)	244
FAS		E6Y7C3	E6Y7C3_HUMAN	unreviewed	FAS variant	FAS	Homo sapiens (Human)	255
FAS		E6Y7C4	E6Y7C4_HUMAN	unreviewed	FAS variant	FAS	Homo sapiens (Human)	214
FAS		F0UWG7	F0UWG7_HUMAN	unreviewed	FAS 827dupA variant	FAS	Homo sapiens (Human)	217
FAS		H7C5Z8	H7C5Z8_HUMAN	unreviewed	Tumor necrosis factor receptor superfamily member 6	FAS	Homo sapiens (Human)	233
FAS		P25445	TNR6_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member 6 (Apo-1 antigen) (Apoptosis-mediating surface antigen FAS) (FASLG receptor) (CD antigen CD95)	FAS APT1 FAS1 TNFRSF6	Homo sapiens (Human)	335
FAS		P49327	FAS_HUMAN	reviewed	Fatty acid synthase (EC 2.3.1.85) [Includes: [Acyl-carrier-protein] S-acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] S-malonyltransferase (EC 2.3.1.39); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41); 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100); 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase (EC 1.3.1.39); Oleoyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.14)]	FASN FAS	Homo sapiens (Human)	2511
FAS		Q9UET8	Q9UET8_HUMAN	unreviewed	Apoptosis signaling receptor FAS (Fragment)	FAS	Homo sapiens (Human)	18
FAS		S5PSV7	S5PSV7_HUMAN	unreviewed	FAS (Fragment)	FAS	Homo sapiens (Human)	110
FAS		S5PZ57	S5PZ57_HUMAN	unreviewed	FAS (Fragment)	FAS	Homo sapiens (Human)	110
GRB2		B0LPF3	B0LPF3_HUMAN	unreviewed	Growth factor receptor-bound protein 2 (Growth factor receptor-bound protein 2, isoform CRA_a) (cDNA, FLJ96637, Homo sapiens growth factor receptor-bound protein 2 (GRB2), mRNA)	GRB2 hCG_27179	Homo sapiens (Human)	217
GRB2		J3KT38	J3KT38_HUMAN	unreviewed	Growth factor receptor-bound protein 2 (Fragment)	GRB2	Homo sapiens (Human)	110
GRB2		J3QLF6	J3QLF6_HUMAN	unreviewed	Growth factor receptor-bound protein 2 (Fragment)	GRB2	Homo sapiens (Human)	42
GRB2		J3QRL5	J3QRL5_HUMAN	unreviewed	Growth factor receptor-bound protein 2	GRB2	Homo sapiens (Human)	156
GRB2		P62993	GRB2_HUMAN	reviewed	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217
