yourlist:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC128G	isomap:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC128G	Entry	Entry name		Protein names	Gene names	Organism	Length
ADAM10		O14672	ADA10_HUMAN	reviewed	Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10) (EC 3.4.24.81) (CDw156) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease) (CD antigen CD156c)	ADAM10 KUZ MADM	Homo sapiens (Human)	748
ANP32E		E9PI45	E9PI45_HUMAN	unreviewed	Acidic leucine-rich nuclear phosphoprotein 32 family member E (Fragment)	ANP32E	Homo sapiens (Human)	105
ANP32E		E9PLC4	E9PLC4_HUMAN	unreviewed	Acidic leucine-rich nuclear phosphoprotein 32 family member E	ANP32E	Homo sapiens (Human)	165
ANP32E		E9PPH5	E9PPH5_HUMAN	unreviewed	Acidic leucine-rich nuclear phosphoprotein 32 family member E (Fragment)	ANP32E	Homo sapiens (Human)	114
ANP32E		H0YCE2	H0YCE2_HUMAN	unreviewed	Acidic leucine-rich nuclear phosphoprotein 32 family member E (Fragment)	ANP32E	Homo sapiens (Human)	100
ANP32E		Q5TB19	Q5TB19_HUMAN	unreviewed	Acidic (Leucine-rich) nuclear phosphoprotein 32 family, member E (Acidic leucine-rich nuclear phosphoprotein 32 family member E)	ANP32E RP4-790G17.1-004	Homo sapiens (Human)	149
ANP32E		Q5TB25	Q5TB25_HUMAN	unreviewed	Acidic (Leucine-rich) nuclear phosphoprotein 32 family, member E (Acidic leucine-rich nuclear phosphoprotein 32 family member E)	ANP32E RP4-790G17.1-003	Homo sapiens (Human)	136
ANP32E		Q9BTT0	AN32E_HUMAN	reviewed	Acidic leucine-rich nuclear phosphoprotein 32 family member E (LANP-like protein) (LANP-L)	ANP32E	Homo sapiens (Human)	268
AP1G1		B3KNW1	B3KNW1_HUMAN	unreviewed	AP-1 complex subunit gamma-1 (cDNA FLJ30560 fis, clone BRAWH2004217, highly similar to AP-1 complex subunit gamma-1)	AP1G1	Homo sapiens (Human)	247
AP1G1		B4DGE1	B4DGE1_HUMAN	unreviewed	AP-1 complex subunit gamma-1	AP1G1	Homo sapiens (Human)	176
AP1G1		H3BN71	H3BN71_HUMAN	unreviewed	AP-1 complex subunit gamma-1 (Fragment)	AP1G1	Homo sapiens (Human)	144
AP1G1		H3BN75	H3BN75_HUMAN	unreviewed	AP-1 complex subunit gamma-1 (Fragment)	AP1G1	Homo sapiens (Human)	53
AP1G1		H3BNN2	H3BNN2_HUMAN	unreviewed	AP-1 complex subunit gamma-1 (Fragment)	AP1G1	Homo sapiens (Human)	58
AP1G1		H3BNR4	H3BNR4_HUMAN	unreviewed	AP-1 complex subunit gamma-1	AP1G1	Homo sapiens (Human)	236
AP1G1		H3BPN9	H3BPN9_HUMAN	unreviewed	AP-1 complex subunit gamma-1 (Fragment)	AP1G1	Homo sapiens (Human)	26
AP1G1		H3BR36	H3BR36_HUMAN	unreviewed	AP-1 complex subunit gamma-1 (Fragment)	AP1G1	Homo sapiens (Human)	187
AP1G1		H3BRM7	H3BRM7_HUMAN	unreviewed	AP-1 complex subunit gamma-1 (Fragment)	AP1G1	Homo sapiens (Human)	139
AP1G1		H3BS13	H3BS13_HUMAN	unreviewed	AP-1 complex subunit gamma-1 (Fragment)	AP1G1	Homo sapiens (Human)	85
AP1G1		H3BUN9	H3BUN9_HUMAN	unreviewed	AP-1 complex subunit gamma-1	AP1G1	Homo sapiens (Human)	208
AP1G1		H3BV30	H3BV30_HUMAN	unreviewed	AP-1 complex subunit gamma-1 (Fragment)	AP1G1	Homo sapiens (Human)	91
AP1G1		O43747	AP1G1_HUMAN	reviewed	AP-1 complex subunit gamma-1 (Adaptor protein complex AP-1 subunit gamma-1) (Adaptor-related protein complex 1 subunit gamma-1) (Clathrin assembly protein complex 1 gamma-1 large chain) (Gamma1-adaptin) (Golgi adaptor HA1/AP1 adaptin subunit gamma-1)	AP1G1 ADTG CLAPG1	Homo sapiens (Human)	822
AP1G1		Q8IY97	Q8IY97_HUMAN	unreviewed	Adaptor-related protein complex 1, gamma 1 subunit	AP1G1	Homo sapiens (Human)	825
AP1G1		Q9BTR5	Q9BTR5_HUMAN	unreviewed	AP1G1 protein (Fragment)	AP1G1	Homo sapiens (Human)	25
AP2B1		A0A087WU93	A0A087WU93_HUMAN	unreviewed	AP-2 complex subunit beta (Fragment)	AP2B1	Homo sapiens (Human)	663
AP2B1		A0A087WXS3	A0A087WXS3_HUMAN	unreviewed	AP-2 complex subunit beta	AP2B1	Homo sapiens (Human)	49
AP2B1		A0A087WYD1	A0A087WYD1_HUMAN	unreviewed	AP-2 complex subunit beta (Fragment)	AP2B1	Homo sapiens (Human)	639
AP2B1		A0A087WZQ6	A0A087WZQ6_HUMAN	unreviewed	AP-2 complex subunit beta (Fragment)	AP2B1	Homo sapiens (Human)	677
AP2B1		A0A087X253	A0A087X253_HUMAN	unreviewed	AP-2 complex subunit beta	AP2B1	Homo sapiens (Human)	913
AP2B1		A0A140VJE8	A0A140VJE8_HUMAN	unreviewed	AP complex subunit beta	AP2B1 hCG_1992160	Homo sapiens (Human)	951
AP2B1		H0UID3	H0UID3_HUMAN	unreviewed	AP complex subunit beta	AP2B1 hCG_1992160	Homo sapiens (Human)	949
AP2B1		H0UID4	H0UID4_HUMAN	unreviewed	AP complex subunit beta	AP2B1 hCG_1992160	Homo sapiens (Human)	935
AP2B1		H0UID5	H0UID5_HUMAN	unreviewed	AP complex subunit beta	AP2B1 hCG_1992160	Homo sapiens (Human)	934
AP2B1		K7EJ01	K7EJ01_HUMAN	unreviewed	AP-2 complex subunit beta (Fragment)	AP2B1	Homo sapiens (Human)	164
AP2B1		K7EJX1	K7EJX1_HUMAN	unreviewed	AP-2 complex subunit beta (Fragment)	AP2B1	Homo sapiens (Human)	80
AP2B1		K7EKZ5	K7EKZ5_HUMAN	unreviewed	AP-2 complex subunit beta	AP2B1	Homo sapiens (Human)	63
AP2B1		K7EMN7	K7EMN7_HUMAN	unreviewed	AP-2 complex subunit beta (Fragment)	AP2B1	Homo sapiens (Human)	181
AP2B1		K7EN71	K7EN71_HUMAN	unreviewed	AP-2 complex subunit beta (Fragment)	AP2B1	Homo sapiens (Human)	132
AP2B1		K7ERB2	K7ERB2_HUMAN	unreviewed	AP-2 complex subunit beta (Fragment)	AP2B1	Homo sapiens (Human)	151
AP2B1		P63010	AP2B1_HUMAN	reviewed	AP-2 complex subunit beta (AP105B) (Adaptor protein complex AP-2 subunit beta) (Adaptor-related protein complex 2 subunit beta) (Beta-2-adaptin) (Beta-adaptin) (Clathrin assembly protein complex 2 beta large chain) (Plasma membrane adaptor HA2/AP2 adaptin beta subunit)	AP2B1 ADTB2 CLAPB1	Homo sapiens (Human)	937
AP2M1		A0A087WY71	A0A087WY71_HUMAN	unreviewed	AP-2 complex subunit mu	AP2M1	Homo sapiens (Human)	434
AP2M1		C9JGT8	C9JGT8_HUMAN	unreviewed	AP-2 complex subunit mu (Fragment)	AP2M1	Homo sapiens (Human)	195
AP2M1		C9JJ47	C9JJ47_HUMAN	unreviewed	AP-2 complex subunit mu (Fragment)	AP2M1	Homo sapiens (Human)	252
AP2M1		C9JJD3	C9JJD3_HUMAN	unreviewed	AP-2 complex subunit mu (Fragment)	AP2M1	Homo sapiens (Human)	113
AP2M1		C9JPV8	C9JPV8_HUMAN	unreviewed	AP-2 complex subunit mu (Fragment)	AP2M1	Homo sapiens (Human)	136
AP2M1		C9JTK4	C9JTK4_HUMAN	unreviewed	AP-2 complex subunit mu (Fragment)	AP2M1	Homo sapiens (Human)	160
AP2M1		E9PFW3	E9PFW3_HUMAN	unreviewed	AP-2 complex subunit mu	AP2M1	Homo sapiens (Human)	460
AP2M1		H7C4C3	H7C4C3_HUMAN	unreviewed	AP-2 complex subunit mu (Fragment)	AP2M1	Homo sapiens (Human)	122
AP2M1		Q96CW1	AP2M1_HUMAN	reviewed	AP-2 complex subunit mu (AP-2 mu chain) (Adaptin-mu2) (Adaptor protein complex AP-2 subunit mu) (Adaptor-related protein complex 2 subunit mu) (Clathrin assembly protein complex 2 mu medium chain) (Clathrin coat assembly protein AP50) (Clathrin coat-associated protein AP50) (HA2 50 kDa subunit) (Plasma membrane adaptor AP-2 50 kDa protein)	AP2M1 CLAPM1 KIAA0109	Homo sapiens (Human)	435
AP2S1		M0QYZ2	M0QYZ2_HUMAN	unreviewed	AP-2 complex subunit sigma	AP2S1	Homo sapiens (Human)	158
AP2S1		M0QZ21	M0QZ21_HUMAN	unreviewed	AP-2 complex subunit sigma	AP2S1	Homo sapiens (Human)	122
AP2S1		M0R0N4	M0R0N4_HUMAN	unreviewed	AP-2 complex subunit sigma	AP2S1	Homo sapiens (Human)	144
AP2S1		M0R1S0	M0R1S0_HUMAN	unreviewed	AP-2 complex subunit sigma	AP2S1	Homo sapiens (Human)	92
AP2S1		P53680	AP2S1_HUMAN	reviewed	AP-2 complex subunit sigma (Adaptor protein complex AP-2 subunit sigma) (Adaptor-related protein complex 2 subunit sigma) (Clathrin assembly protein 2 sigma small chain) (Clathrin coat assembly protein AP17) (Clathrin coat-associated protein AP17) (HA2 17 kDa subunit) (Plasma membrane adaptor AP-2 17 kDa protein) (Sigma2-adaptin)	AP2S1 AP17 CLAPS2	Homo sapiens (Human)	142
AP2S1		X6R390	X6R390_HUMAN	unreviewed	AP-2 complex subunit sigma	AP2S1	Homo sapiens (Human)	156
AP3B1		A0A0S2Z4X7	A0A0S2Z4X7_HUMAN	unreviewed	Adaptor-related protein complex 3 beta 1 subunit isoform 3	AP3B1	Homo sapiens (Human)	70
AP3B1		A0A0S2Z4Z4	A0A0S2Z4Z4_HUMAN	unreviewed	Adaptor-related protein complex 3 beta 1 subunit isoform 2	AP3B1	Homo sapiens (Human)	860
AP3B1		A0A0S2Z5J4	A0A0S2Z5J4_HUMAN	unreviewed	Adaptor-related protein complex 3 beta 1 subunit isoform 1 (Fragment)	AP3B1	Homo sapiens (Human)	1094
AP3B1		H0YBD0	H0YBD0_HUMAN	unreviewed	AP-3 complex subunit beta-1 (Fragment)	AP3B1	Homo sapiens (Human)	154
AP3B1		L8EA53	L8EA53_HUMAN	unreviewed	Alternative protein AP3B1	AP3B1	Homo sapiens (Human)	52
AP3B1		O00203	AP3B1_HUMAN	reviewed	AP-3 complex subunit beta-1 (Adaptor protein complex AP-3 subunit beta-1) (Adaptor-related protein complex 3 subunit beta-1) (Beta-3A-adaptin) (Clathrin assembly protein complex 3 beta-1 large chain)	AP3B1 ADTB3A	Homo sapiens (Human)	1094
AP3S1		F5H459	F5H459_HUMAN	unreviewed	AP-3 complex subunit sigma-1	AP3S1	Homo sapiens (Human)	162
AP3S1		Q92572	AP3S1_HUMAN	reviewed	AP-3 complex subunit sigma-1 (AP-3 complex subunit sigma-3A) (Adaptor-related protein complex 3 subunit sigma-1) (Clathrin-associated/assembly/adaptor protein, small 3) (Sigma-3A-adaptin) (Sigma3A-adaptin) (Sigma-adaptin 3a)	AP3S1 CLAPS3	Homo sapiens (Human)	193
ARCN1		B0YIW5	B0YIW5_HUMAN	unreviewed	Coatomer subunit delta	ARCN1 hCG_40220	Homo sapiens (Human)	511
ARCN1		B0YIW6	B0YIW6_HUMAN	unreviewed	Archain 1, isoform CRA_a (Coatomer subunit delta) (Coatomer subunit delta variant 2)	ARCN1 hCG_40220	Homo sapiens (Human)	552
ARCN1		E9PK34	E9PK34_HUMAN	unreviewed	Coatomer subunit delta	ARCN1	Homo sapiens (Human)	83
ARCN1		P48444	COPD_HUMAN	reviewed	Coatomer subunit delta (Archain) (Delta-coat protein) (Delta-COP)	ARCN1 COPD	Homo sapiens (Human)	511
ARCN1		Q6P1Q5	Q6P1Q5_HUMAN	unreviewed	Coatomer subunit delta	ARCN1	Homo sapiens (Human)	189
ARF1		A0A024R3Q3	A0A024R3Q3_HUMAN	unreviewed	ADP-ribosylation factor 1, isoform CRA_a	ARF1 hCG_42236	Homo sapiens (Human)	181
ARF1		P84077	ARF1_HUMAN	reviewed	ADP-ribosylation factor 1	ARF1	Homo sapiens (Human)	181
ARFGAP3		A0A024R4U0	A0A024R4U0_HUMAN	unreviewed	ADP-ribosylation factor GTPase activating protein 3, isoform CRA_a	ARFGAP3 hCG_41908	Homo sapiens (Human)	516
ARFGAP3		B0QYV8	B0QYV8_HUMAN	unreviewed	ADP-ribosylation factor GTPase-activating protein 3 (Fragment)	ARFGAP3	Homo sapiens (Human)	152
ARFGAP3		B0QYV9	B0QYV9_HUMAN	unreviewed	ADP-ribosylation factor GTPase-activating protein 3 (Fragment)	ARFGAP3	Homo sapiens (Human)	92
ARFGAP3		H0Y6A0	H0Y6A0_HUMAN	unreviewed	ADP-ribosylation factor GTPase-activating protein 3 (Fragment)	ARFGAP3	Homo sapiens (Human)	273
ARFGAP3		Q9NP61	ARFG3_HUMAN	reviewed	ADP-ribosylation factor GTPase-activating protein 3 (ARF GAP 3)	ARFGAP3 ARFGAP1	Homo sapiens (Human)	516
ARFGEF1		A0A024R7X0	A0A024R7X0_HUMAN	unreviewed	ADP-ribosylation factor guanine nucleotide-exchange factor 1(Brefeldin A-inhibited), isoform CRA_a	ARFGEF1 hCG_27804	Homo sapiens (Human)	1849
ARFGEF1		E5RHL7	E5RHL7_HUMAN	unreviewed	Brefeldin A-inhibited guanine nucleotide-exchange protein 1 (Fragment)	ARFGEF1	Homo sapiens (Human)	825
ARFGEF1		E5RHZ1	E5RHZ1_HUMAN	unreviewed	Brefeldin A-inhibited guanine nucleotide-exchange protein 1 (Fragment)	ARFGEF1	Homo sapiens (Human)	192
ARFGEF1		E5RIF2	E5RIF2_HUMAN	unreviewed	Brefeldin A-inhibited guanine nucleotide-exchange protein 1 (Fragment)	ARFGEF1	Homo sapiens (Human)	1279
ARFGEF1		E5RJN9	E5RJN9_HUMAN	unreviewed	Brefeldin A-inhibited guanine nucleotide-exchange protein 1 (Fragment)	ARFGEF1	Homo sapiens (Human)	118
ARFGEF1		Q9Y6D6	BIG1_HUMAN	reviewed	Brefeldin A-inhibited guanine nucleotide-exchange protein 1 (Brefeldin A-inhibited GEP 1) (ADP-ribosylation factor guanine nucleotide-exchange factor 1) (p200 ARF guanine nucleotide exchange factor) (p200 ARF-GEP1)	ARFGEF1 ARFGEP1 BIG1	Homo sapiens (Human)	1849
ARFGEF2		L8E9E5	L8E9E5_HUMAN	unreviewed	Alternative protein ARFGEF2	ARFGEF2	Homo sapiens (Human)	59
ARFGEF2		Q86TH5	Q86TH5_HUMAN	unreviewed	ARFGEF2 protein (Fragment)	ARFGEF2	Homo sapiens (Human)	832
ARFGEF2		Q9Y6D5	BIG2_HUMAN	reviewed	Brefeldin A-inhibited guanine nucleotide-exchange protein 2 (Brefeldin A-inhibited GEP 2) (ADP-ribosylation factor guanine nucleotide-exchange factor 2)	ARFGEF2 ARFGEP2 BIG2	Homo sapiens (Human)	1785
ARFIP1		B4E273	B4E273_HUMAN	unreviewed	ADP-ribosylation factor interacting protein 1 (Arfaptin 1), isoform CRA_b (ARFIP1 protein) (cDNA FLJ53696, highly similar to Arfaptin-1)	ARFIP1 hCG_26981	Homo sapiens (Human)	373
ARFIP1		P53367	ARFP1_HUMAN	reviewed	Arfaptin-1 (ADP-ribosylation factor-interacting protein 1)	ARFIP1	Homo sapiens (Human)	373
ATP1A1		L0R4U4	L0R4U4_HUMAN	unreviewed	Alternative protein ATP1A1	ATP1A1	Homo sapiens (Human)	54
ATP1A1		P05023	AT1A1_HUMAN	reviewed	Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 3.6.3.9) (Sodium pump subunit alpha-1)	ATP1A1	Homo sapiens (Human)	1023
ATP1A1		Q13818	Q13818_HUMAN	unreviewed	ATP1A1 protein (Fragment)	ATP1A1	Homo sapiens (Human)	45
ATP1A1		Q58I23	Q58I23_HUMAN	unreviewed	Na+/K+ transporting ATPase alpha 1 polypeptide (Fragment)	ATP1A1	Homo sapiens (Human)	56
ATP1A1		Q5TC01	Q5TC01_HUMAN	unreviewed	Sodium/potassium-transporting ATPase subunit alpha-1 (Fragment)	ATP1A1	Homo sapiens (Human)	144
ATP1A1		Q5TC02	Q5TC02_HUMAN	unreviewed	Sodium/potassium-transporting ATPase subunit alpha-1 (Fragment)	ATP1A1	Homo sapiens (Human)	106
ATP1A1		Q5TC05	Q5TC05_HUMAN	unreviewed	Sodium/potassium-transporting ATPase subunit alpha-1 (Fragment)	ATP1A1	Homo sapiens (Human)	157
ATP6V1B1		A0A097NUG1	A0A097NUG1_HUMAN	unreviewed	Truncated ATPase V-type subunit B1 (Fragment)	ATP6V1B1	Homo sapiens (Human)	14
ATP6V1B1		C9J5E3	C9J5E3_HUMAN	unreviewed	V-type proton ATPase subunit B, kidney isoform	ATP6V1B1	Homo sapiens (Human)	248
ATP6V1B1		C9JL73	C9JL73_HUMAN	unreviewed	V-type proton ATPase subunit B, kidney isoform	ATP6V1B1	Homo sapiens (Human)	496
ATP6V1B1		C9JNS9	C9JNS9_HUMAN	unreviewed	V-type proton ATPase subunit B, kidney isoform (Fragment)	ATP6V1B1	Homo sapiens (Human)	249
ATP6V1B1		C9JTN0	C9JTN0_HUMAN	unreviewed	V-type proton ATPase subunit B, kidney isoform (Fragment)	ATP6V1B1	Homo sapiens (Human)	74
ATP6V1B1		C9JZ02	C9JZ02_HUMAN	unreviewed	V-type proton ATPase subunit B, kidney isoform (Fragment)	ATP6V1B1	Homo sapiens (Human)	118
ATP6V1B1		P15313	VATB1_HUMAN	reviewed	V-type proton ATPase subunit B, kidney isoform (V-ATPase subunit B 1) (Endomembrane proton pump 58 kDa subunit) (Vacuolar proton pump subunit B 1)	ATP6V1B1 ATP6B1 VATB VPP3	Homo sapiens (Human)	513
ATP6V1B1		V5NR16	V5NR16_HUMAN	unreviewed	ATPase V-type subunit B1 (Fragment)	ATP6V1B1	Homo sapiens (Human)	64
ATP6V1H		A0A024R7U9	A0A024R7U9_HUMAN	unreviewed	ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H, isoform CRA_a	ATP6V1H hCG_27354	Homo sapiens (Human)	483
ATP6V1H		A0A024R7X3	A0A024R7X3_HUMAN	unreviewed	ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H, isoform CRA_b	ATP6V1H hCG_27354	Homo sapiens (Human)	465
ATP6V1H		A0A0D9SG68	A0A0D9SG68_HUMAN	unreviewed	V-type proton ATPase subunit H	ATP6V1H	Homo sapiens (Human)	48
ATP6V1H		E5RG49	E5RG49_HUMAN	unreviewed	V-type proton ATPase subunit H (Fragment)	ATP6V1H	Homo sapiens (Human)	101
ATP6V1H		E5RHH0	E5RHH0_HUMAN	unreviewed	V-type proton ATPase subunit H (Fragment)	ATP6V1H	Homo sapiens (Human)	102
ATP6V1H		E5RJG1	E5RJG1_HUMAN	unreviewed	V-type proton ATPase subunit H	ATP6V1H	Homo sapiens (Human)	48
ATP6V1H		E5RK31	E5RK31_HUMAN	unreviewed	V-type proton ATPase subunit H	ATP6V1H	Homo sapiens (Human)	36
ATP6V1H		G3V126	G3V126_HUMAN	unreviewed	ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H, isoform CRA_c (V-type proton ATPase subunit H)	ATP6V1H hCG_27354	Homo sapiens (Human)	443
ATP6V1H		H0YB41	H0YB41_HUMAN	unreviewed	V-type proton ATPase subunit H (Fragment)	ATP6V1H	Homo sapiens (Human)	86
ATP6V1H		Q9UI12	VATH_HUMAN	reviewed	V-type proton ATPase subunit H (V-ATPase subunit H) (Nef-binding protein 1) (NBP1) (Protein VMA13 homolog) (V-ATPase 50/57 kDa subunits) (Vacuolar proton pump subunit H) (Vacuolar proton pump subunit SFD)	ATP6V1H CGI-11	Homo sapiens (Human)	483
ATP7A		Q04656	ATP7A_HUMAN	reviewed	Copper-transporting ATPase 1 (EC 3.6.3.54) (Copper pump 1) (Menkes disease-associated protein)	ATP7A MC1 MNK	Homo sapiens (Human)	1500
ATP7A		Q762B6	Q762B6_HUMAN	unreviewed	ATP7A protein	ATP7A	Homo sapiens (Human)	274
BET1		C9JTT8	C9JTT8_HUMAN	unreviewed	BET1 homolog	BET1	Homo sapiens (Human)	98
BET1		H7C1N3	H7C1N3_HUMAN	unreviewed	BET1 homolog (Fragment)	BET1	Homo sapiens (Human)	133
BET1		O15155	BET1_HUMAN	reviewed	BET1 homolog (hBET1) (Golgi vesicular membrane-trafficking protein p18)	BET1	Homo sapiens (Human)	118
BET1		Q53XK0	Q53XK0_HUMAN	unreviewed	BET1 homolog (S. cerevisiae) (BET1 homolog (S. cerevisiae), isoform CRA_d) (cDNA, FLJ94635, Homo sapiens BET1 homolog (S. cerevisiae) (BET1), mRNA)	BET1 hCG_19198 tcag7.252	Homo sapiens (Human)	118
BET1		Q68DU7	Q68DU7_HUMAN	unreviewed	BET1 homolog (Putative uncharacterized protein DKFZp781C0425)	DKFZp781C0425 BET1	Homo sapiens (Human)	127
BNIP3		A0A0J9YW18	A0A0J9YW18_HUMAN	unreviewed	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3 (Fragment)	BNIP3	Homo sapiens (Human)	243
BNIP3		F6RP06	F6RP06_HUMAN	unreviewed	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3 (Fragment)	BNIP3	Homo sapiens (Human)	219
BNIP3		Q12983	BNIP3_HUMAN	reviewed	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3	BNIP3 NIP3	Homo sapiens (Human)	194
BNIP3		Q66K24	Q66K24_HUMAN	unreviewed	BNIP3 protein (Fragment)	BNIP3	Homo sapiens (Human)	228
BNIP3		Q6NVY4	Q6NVY4_HUMAN	unreviewed	BNIP3 protein (Fragment)	BNIP3	Homo sapiens (Human)	244
CAV2		E9PCT3	E9PCT3_HUMAN	unreviewed	Caveolin	CAV2	Homo sapiens (Human)	113
CAV2		P51636	CAV2_HUMAN	reviewed	Caveolin-2	CAV2	Homo sapiens (Human)	162
CAV2		Q53X57	Q53X57_HUMAN	unreviewed	Caveolin (Fragment)	CAV2 hCG_39087 tcag7.25	Homo sapiens (Human)	162
CD63		A0A024RB05	A0A024RB05_HUMAN	unreviewed	Tetraspanin	CD63 hCG_20743	Homo sapiens (Human)	238
CD63		F8VNT9	F8VNT9_HUMAN	unreviewed	CD63 antigen (Fragment)	CD63	Homo sapiens (Human)	133
CD63		F8VV56	F8VV56_HUMAN	unreviewed	CD63 antigen	CD63	Homo sapiens (Human)	145
CD63		F8VWK8	F8VWK8_HUMAN	unreviewed	Tetraspanin (Fragment)	CD63	Homo sapiens (Human)	217
CD63		F8VX62	F8VX62_HUMAN	unreviewed	CD63 antigen	CD63	Homo sapiens (Human)	110
CD63		F8W022	F8W022_HUMAN	unreviewed	Tetraspanin (Fragment)	CD63	Homo sapiens (Human)	215
CD63		P08962	CD63_HUMAN	reviewed	CD63 antigen (Granulophysin) (Lysosomal-associated membrane protein 3) (LAMP-3) (Melanoma-associated antigen ME491) (OMA81H) (Ocular melanoma-associated antigen) (Tetraspanin-30) (Tspan-30) (CD antigen CD63)	CD63 MLA1 TSPAN30	Homo sapiens (Human)	238
CD63		W6A4U0	W6A4U0_HUMAN	unreviewed	Tetraspanin (Fragment)	CD63	Homo sapiens (Human)	238
CLCN3		A0A087WU31	A0A087WU31_HUMAN	unreviewed	Chloride channel protein	CLCN3	Homo sapiens (Human)	791
CLCN3		A0A0A0MTB7	A0A0A0MTB7_HUMAN	unreviewed	Chloride channel protein	CLCN3	Homo sapiens (Human)	801
CLCN3		D6RDZ6	D6RDZ6_HUMAN	unreviewed	H(+)/Cl(-) exchange transporter 3 (Fragment)	CLCN3	Homo sapiens (Human)	173
CLCN3		D6RIX3	D6RIX3_HUMAN	unreviewed	H(+)/Cl(-) exchange transporter 3 (Fragment)	CLCN3	Homo sapiens (Human)	138
CLCN3		E9PE15	E9PE15_HUMAN	unreviewed	Chloride channel protein (Fragment)	CLCN3	Homo sapiens (Human)	725
CLCN3		H0Y8Z8	H0Y8Z8_HUMAN	unreviewed	H(+)/Cl(-) exchange transporter 3 (Fragment)	CLCN3	Homo sapiens (Human)	245
CLCN3		P51790	CLCN3_HUMAN	reviewed	H(+)/Cl(-) exchange transporter 3 (Chloride channel protein 3) (ClC-3) (Chloride transporter ClC-3)	CLCN3	Homo sapiens (Human)	818
CLCN3		Q7Z4M4	Q7Z4M4_HUMAN	unreviewed	CLCN3 protein (Fragment)	CLCN3	Homo sapiens (Human)	191
CLN5		A0A024R644	A0A024R644_HUMAN	unreviewed	Ceroid-lipofuscinosis neuronal protein 5 (Ceroid-lipofuscinosis, neuronal 5, isoform CRA_a)	CLN5 hCG_28176	Homo sapiens (Human)	407
