04_orf01595 05_orf00692_rev 08_orf01374 16_orf09479
04_orf13212_rev 05_orf00039 08_orf01937_rev 16_orf09573_rev
04_orf08666_rev 05_orf00705_rev 08_orf02029_rev 16_orf01806
04_orf16460 05_orf00157_rev 08_orf01216_rev 16_orf02872_rev
04_orf07039 05_orf00433_rev 08_orf01737_rev 16_orf09590
04_orf13209_rev 05_orf00040 08_orf01936_rev 16_orf09571_rev
04_orf08834 05_orf00440_rev 08_orf01272 16_orf00806_rev
04_orf01270 05_orf00134_rev 08_orf01523 16_orf08295
04_orf07053 05_orf00609_rev 08_orf01244 16_orf03846_rev
04_orf10548_rev 05_orf00545 08_orf01370 16_orf03836
04_orf08668_rev 05_orf00639_rev 08_orf02031_rev 16_orf08299
04_orf07078 05_orf00720_rev 08_orf01264 16_orf03805_rev
04_orf12904_rev 05_orf00065 08_orf01725_rev 16_orf05746_rev
04_orf11362 05_orf00807 08_orf01299 16_orf01106_rev
04_orf08718_rev 05_orf00364_rev 08_orf01065 16_orf06898_rev
04_orf13003_rev 05_orf00298 08_orf01403 16_orf05773_rev
04_orf01181 05_orf00109_rev 08_orf01952_rev 16_orf06919
04_orf05458 05_orf00044 08_orf01824_rev 16_orf01721_rev
04_orf01598 05_orf00987_rev 08_orf00155_rev 16_orf01350_rev
04_orf07864 05_orf00742_rev 08_orf01061 16_orf04459
04_orf13228 05_orf01169_rev 08_orf01203 16_orf02179_rev
04_orf05383 05_orf00993_rev 08_orf01463 16_orf11082
04_orf07548 05_orf00568 08_orf02135 16_orf04382_rev
04_orf13206_rev 05_orf00041 08_orf01933_rev 16_orf09569_rev
04_orf07060 05_orf00734_rev 08_orf01248 16_orf03830_rev
04_orf07856 05_orf00105 08_orf01509_rev 16_orf08240_rev
04_orf01498_rev 05_orf00511_rev 08_orf01448 16_orf01264
04_orf10135 05_orf00262_rev 08_orf01023 16_orf09948_rev
04_orf07034 05_orf00435_rev 08_orf01739_rev 16_orf09585
04_orf07069 05_orf00727_rev 08_orf01256 16_orf03820_rev
04_orf05437_rev 05_orf01137 08_orf01720_rev 16_orf05745_rev
04_orf04195 05_orf00031 08_orf01807 16_orf08771
04_orf01238 05_orf00811 08_orf01854_rev 16_orf02824
04_orf13176 05_orf00510_rev 08_orf01733 16_orf05635_rev
04_orf01605 05_orf00976 08_orf00270 16_orf10475_rev
04_orf04224 05_orf01195 08_orf01555_rev 16_orf11390
04_orf01361_rev 05_orf00139_rev 08_orf01747 16_orf10789
04_orf07068 05_orf00728_rev 08_orf01254 16_orf03821_rev
04_orf13322_rev 05_orf00582_rev 08_orf01615_rev 16_orf04344_rev
04_orf00008_rev 05_orf00163 08_orf01152 16_orf08379_rev
04_orf07546 05_orf00602_rev 08_orf01046 16_orf03604_rev
04_orf01518_rev 05_orf00553 08_orf00022 16_orf08381_rev
04_orf01352_rev 05_orf00241 08_orf00909 16_orf08981
04_orf12914 05_orf00463 08_orf01133 16_orf03689
04_orf00534_rev 05_orf00464 08_orf00337 16_orf02761
04_orf13721 05_orf01056_rev 08_orf01902 16_orf03616_rev
04_orf07066 05_orf00730_rev 08_orf01252 16_orf03823_rev
04_orf00570 05_orf00694_rev 08_orf01130 16_orf09548_rev
04_orf07062 05_orf00733_rev 08_orf01249 16_orf03828_rev
04_orf01745 05_orf00113_rev 08_orf02057_rev 16_orf03170
04_orf09855_rev 05_orf00386_rev 08_orf01909 16_orf03295_rev
04_orf03598_rev 05_orf01191 08_orf01116_rev 16_orf03333
04_orf05427_rev 05_orf00701 08_orf01719_rev 16_orf04127
04_orf02711 05_orf01214 08_orf01462 16_orf05484_rev
04_orf01190 05_orf00264_rev 08_orf01948_rev 16_orf08388_rev
04_orf04217 05_orf00800_rev 08_orf01367 16_orf03776_rev
04_orf01268 05_orf00136_rev 08_orf01521 16_orf08291
04_orf07076 05_orf00722_rev 08_orf01262 16_orf03807_rev
04_orf07504 05_orf00408 08_orf01201 16_orf10001
04_orf07420_rev 05_orf00907 08_orf01924_rev 16_orf03692
04_orf04033_rev 05_orf01161 08_orf01293 16_orf05667_rev
04_orf06196_rev 05_orf00259 08_orf00068 16_orf04242
04_orf07031 05_orf00437_rev 08_orf01742_rev 16_orf03765_rev
04_orf05478_rev 05_orf00492_rev 08_orf01880 16_orf07710
04_orf06573_rev 05_orf00849 08_orf01768_rev 16_orf07722
04_orf01477 05_orf01026_rev 08_orf01990_rev 16_orf09114
04_orf06499 05_orf00743_rev 08_orf01059 16_orf09990_rev
04_orf07081 05_orf00718_rev 08_orf01266 16_orf03801_rev
04_orf13261 05_orf00527_rev 08_orf00914 16_orf03360
04_orf10815_rev 05_orf00038 08_orf01042 16_orf05466_rev
04_orf01258 05_orf01178 08_orf01982_rev 16_orf03855_rev
04_orf05450 05_orf00325_rev 08_orf01197 16_orf09102
04_orf10207_rev 05_orf00531_rev 08_orf01372 16_orf01649_rev
04_orf03988 05_orf00141 08_orf00986_rev 16_orf08726
04_orf07065 05_orf00731_rev 08_orf01251 16_orf03824_rev
04_orf15732 05_orf00354_rev 08_orf00937_rev 16_orf05556
04_orf05452 05_orf01086 08_orf01199 16_orf09104
04_orf05447 05_orf00327_rev 08_orf01195 16_orf09098
04_orf07074 05_orf00724_rev 08_orf01259 16_orf03812_rev
04_orf07857 05_orf00106 08_orf01032 16_orf08238_rev
04_orf04104_rev 05_orf01132 08_orf01020 16_orf05751_rev
04_orf07845 05_orf00960_rev 08_orf01515_rev 16_orf08972
04_orf10835_rev 05_orf00508_rev 08_orf01736 16_orf02919_rev
04_orf13285 05_orf01097_rev 08_orf01822_rev 16_orf07291
04_orf07473 05_orf00006 08_orf01471 16_orf04963
04_orf10141 05_orf00825_rev 08_orf01552_rev 16_orf04350_rev
04_orf07040 05_orf00432_rev 08_orf01240 16_orf02531
04_orf12743_rev 05_orf00458 08_orf01323 16_orf04741_rev
04_orf07075 05_orf00723_rev 08_orf01261 16_orf03810_rev
04_orf10877 05_orf00517 08_orf01336 16_orf07894
04_orf04101_rev 05_orf00131 08_orf01600 16_orf02307_rev
04_orf01493_rev 05_orf00986_rev 08_orf00895 16_orf12394
04_orf03597_rev 05_orf01192 08_orf01114_rev 16_orf09713
04_orf07851 05_orf00631 08_orf01511_rev 16_orf00688_rev
04_orf01331 05_orf00747_rev 08_orf01227_rev 16_orf03370_rev
04_orf07038 05_orf00434_rev 08_orf01738_rev 16_orf09589
04_orf01628_rev 05_orf01041_rev 08_orf01453 16_orf11117_rev
04_orf10592_rev 05_orf00971 08_orf01955 16_orf06808_rev
04_orf07846 05_orf00958_rev 08_orf01514_rev 16_orf06173_rev
04_orf04083 05_orf00812 08_orf01132 16_orf07309
04_orf13516_rev 05_orf00695_rev 08_orf01692_rev 16_orf07500
04_orf01254 05_orf00744_rev 08_orf00197_rev 16_orf02300
04_orf03919 05_orf00932 08_orf02283_rev 16_orf12336
04_orf01250 05_orf00024_rev 08_orf01685_rev 16_orf01835
04_orf07853 05_orf00632 08_orf01510_rev 16_orf01833
04_orf04149_rev 05_orf00754_rev 08_orf01233_rev 16_orf11442_rev
04_orf07088 05_orf00715_rev 08_orf01269 16_orf03790_rev
04_orf13330_rev 05_orf00583_rev 08_orf01616_rev 16_orf01442_rev
04_orf07091 05_orf00714_rev 08_orf01274 16_orf05163_rev
04_orf07665 05_orf00995_rev 08_orf01381 16_orf05754_rev
04_orf13312_rev 05_orf01085 08_orf00523_rev 16_orf05891_rev
04_orf01273 05_orf01194_rev 08_orf01445 16_orf05943
04_orf07868 05_orf00741_rev 08_orf01062 16_orf09988_rev
04_orf10491 05_orf01065 08_orf01316 16_orf11996
04_orf07630 05_orf00179 08_orf01286 16_orf00808_rev
04_orf04110 05_orf00347_rev 08_orf01206 16_orf02988
04_orf07058 05_orf00607_rev 08_orf01247 16_orf03831_rev
04_orf01711_rev 05_orf00275 08_orf01222_rev 16_orf08358
04_orf01529 05_orf00078_rev 08_orf01404 16_orf05715
04_orf05566 05_orf00753_rev 08_orf01231_rev 16_orf04572
04_orf07848 05_orf00957_rev 08_orf01513_rev 16_orf06170_rev
04_orf13114_rev 05_orf00926_rev 08_orf01338 16_orf02696
04_orf01347_rev 05_orf00403_rev 08_orf01761_rev 16_orf10710_rev
04_orf07080 05_orf00719_rev 08_orf01265 16_orf03803_rev
04_orf03937_rev 05_orf00857_rev 08_orf01669_rev 16_orf00694_rev
04_orf01463 05_orf01185 08_orf01663_rev 16_orf01746_rev
04_orf07052 05_orf00610_rev 08_orf01243 16_orf03848_rev
04_orf01277 05_orf01193_rev 08_orf01446 16_orf05945
04_orf07632 05_orf00180 08_orf01287 16_orf00807_rev
04_orf01350_rev 05_orf00242 08_orf00910 16_orf08250_rev
04_orf04219_rev 05_orf00687_rev 08_orf01440 16_orf03754_rev
04_orf04171 05_orf01118_rev 08_orf01872_rev 16_orf01650_rev
04_orf01461 05_orf01184 08_orf01665_rev 16_orf01747_rev
04_orf07094 05_orf00712_rev 08_orf01278 16_orf05159_rev
04_orf10511_rev 05_orf00624_rev 08_orf02015_rev 16_orf06460
04_orf07873 05_orf00573 08_orf01063 16_orf04250
04_orf01364_rev 05_orf00514 08_orf01340 16_orf10485_rev
04_orf13094_rev 05_orf00813 08_orf01802_rev 16_orf07706_rev
04_orf01264 05_orf00137_rev 08_orf01519 16_orf08290
04_orf08692 05_orf00710_rev 08_orf01963_rev 16_orf04345_rev
04_orf12872_rev 05_orf00267_rev 08_orf02020_rev 16_orf07950
04_orf16908 05_orf00037 08_orf01041 16_orf05468_rev
04_orf09860 05_orf01057_rev 08_orf01297 16_orf06313_rev
04_orf07042 05_orf00431_rev 08_orf01241 16_orf02535
04_orf08667_rev 05_orf00706_rev 08_orf02030_rev 16_orf10553_rev
04_orf07843 05_orf00961_rev 08_orf01516_rev 16_orf08971
04_orf01178 05_orf00377 08_orf00001 16_orf04122
04_orf11694 05_orf00394_rev 08_orf00902 16_orf02705_rev
04_orf06669 05_orf01081 08_orf01369 16_orf03944_rev
04_orf10601 05_orf00094 08_orf01878 16_orf08410
04_orf07096 05_orf00711_rev 08_orf01280 16_orf05155_rev
